	cdhap	ce4p	cf6p	cfdp	cg1p	cg6p	cgap	cglcex	cpep	cpg	cpg2	cpg3	cpgp	cpyr	crib5p	cribu5p	csed7p	cxyl5p
43	0.3771995385415285	0.1808237597010463	0.960508148905786	1.310389061639174	0.8669077582909627	5.599963614909345	0.42730477263040184	1.798945857829613	3.3409880291002985	1.1497613691746138	0.5101405011932869	2.766111245512743	0.0035594896482673668	4.1116098289411465	0.634173019799748	0.1688847655529509	0.39628117617884806	0.22761468472601226
44	0.3859223317309822	0.18300400235469322	0.9549745506771762	1.3701342618258114	0.8680219799413026	5.568651981046454	0.4359272472890032	1.7950886209247607	3.2644444943796347	1.1539963165088947	0.49917444212896245	2.709277806702016	0.003541660040340373	4.108297564144598	0.6372367263149465	0.1695462237013641	0.3912270365973944	0.22821391815882702
45	0.39502074616088406	0.1850539944969366	0.9478462445138297	1.433633135067382	0.8687059305549321	5.528220034801817	0.4444375493976706	1.791252607609503	3.167169272034009	1.1579102150173648	0.48514348435058113	2.6362267262923704	0.003502582887417724	4.10444615949045	0.6397838796531322	0.1700382791162009	0.3855847982953376	0.22849676078979603
46	0.4045354060335154	0.1869262420412274	0.9388148728640113	1.5012253080825264	0.868911199740232	5.476900707972535	0.4527222473906738	1.7874424198031813	3.0462427239306242	1.1614526596159345	0.4675958189099536	2.5445042096194146	0.0034382687656766713	4.099897922964496	0.6416851235665427	0.1703152811646053	0.37925618826504953	0.22838589684628757
47	0.41449156365500234	0.18855282563669284	0.9275219665581002	1.5731058596779781	0.868580753908007	5.412630097428959	0.46060069491473077	1.7836640364547809	2.89888838015025	1.1645620542152193	0.44608701304489545	2.431649837166898	0.003344508699068973	4.094446892131802	0.6427737050948698	0.1703195294221113	0.3721384598836579	0.22778328325244734
48	0.42487363670774414	0.1898366851778904	0.9135755301966584	1.6490866766982968	0.8676487433196628	5.33313039701971	0.46778793433236193	1.779925090135521	2.7231080747125285	1.1671640334044544	0.4202680149649347	2.2956403691503113	0.003217423199620542	4.087832139348767	0.6428349224386894	0.16997892718634866	0.3641369887058185	0.2265673472630859
49	0.4355751070645622	0.1906417180340759	0.8966041823653694	1.7281263325532812	0.8660423410292551	5.236197300387323	0.4738459959503552	1.776234858508669	2.518903876003311	1.1691706825965316	0.3900612351993167	2.1358010727137176	0.0030546586978129724	4.079748850842661	0.6415962333318671	0.16920642513861503	0.35519159485337276	0.22459572706582212
50	0.4463075243306157	0.19078736911492036	0.8763862863435594	1.8074877498040656	0.8636881253231384	5.120403761101361	0.4781405890604166	1.7726033120168054	2.2903535417079404	1.1704822828324462	0.3559717460552977	1.9544578969969177	0.0028576535920131485	4.069912100789054	0.6387259573488444	0.16790553685053058	0.3453247310793087	0.22172370844906406
51	0.45645914027774814	0.19006432086279446	0.8530983313063507	1.8814906868554553	0.8605271142283945	4.986488220750183	0.47986543834643836	1.769037809975383	2.0484354655014925	1.1709949772069512	0.3195336580032794	1.7593859548907385	0.0026351599867731083	4.058245274787579	0.6338605437842362	0.16599073390882121	0.3347143145077744	0.21785708324661227
52	0.4649464823021883	0.1883023546306089	0.8276693894682701	1.9404226310709332	0.8565426175804617	4.839416480594757	0.4782664509899213	1.7655353399673763	1.813134063932737	1.1706192867342304	0.28368746765566466	1.5660323613809812	0.002406786749797958	4.045291446094256	0.6266971417536349	0.1634346028730533	0.3237674161563524	0.21305796118154197
53	0.4702394728563629	0.1855062001590809	0.8020265389260958	1.971474013424131	0.8517982005910184	4.689993840424995	0.47315539955353797	1.762069777372584	1.6111604466589309	1.1693121378966218	0.2525144125239904	1.3963881520441945	0.002202308790792876	4.032831491899145	0.6171820224474217	0.16033994901954554	0.3131229972061251	0.20767556295324455
54	0.4708417114717262	0.18197020787843207	0.7787960531264837	1.9638860212471685	0.8464651656190411	4.553484667193758	0.4653720754855146	1.7585812679132637	1.4663739087478485	1.1671133844910107	0.22979550705315543	1.2713306132836955	0.0020518608425200637	4.024243814318517	0.6057314796652855	0.1569852840697995	0.3035176816253183	0.202361766447392
55	0.4661581317138095	0.17818783440197558	0.7603307203304543	1.9161863391476903	0.8408067729025966	4.444084637221498	0.45644833818906233	1.7549839563344785	1.3881557058804324	1.1641618237631448	0.21714014335588783	1.2002030819710614	0.001971274431430121	4.02370195405569	0.5932708481724931	0.15375608183972453	0.2955868752746136	0.19782435381629002
56	0.4569862596371128	0.17458749923198122	0.747763249214296	1.8381567724917869	0.8351135621686199	4.369040813285822	0.4476329944719042	1.751198253245125	1.3688771657513588	1.160670582757733	0.21349578825294377	1.177770256613533	0.0019565411659225227	4.034099748801586	0.5809553516595148	0.1509769042884443	0.28973740617360083	0.19447798928979249
57	0.4450809935180561	0.17139152247569167	0.7408494547603481	1.7451437761168198	0.8296311066615052	4.327317915289045	0.4394688590404868	1.7471849081539657	1.3917045758700275	1.1568741941459988	0.21633349591769072	1.1905596910741267	0.001991432917660096	4.05532298987315	0.5697806458442064	0.14879964129242398	0.28608440176607614	0.1923392608777425
58	0.43230919164332865	0.16867533437516005	0.7384792315171224	1.651083711512762	0.8245221174298768	4.312522455590661	0.43211735449356203	1.7429534618728484	1.4394655068328488	1.1529799533241178	0.22304210562466492	1.224524028870194	0.0020578432264823747	4.084405446771344	0.5603679854645395	0.14722258526560558	0.28443727176131595	0.19118293456038632
59	0.42010937456530895	0.16645885844834732	0.7392871205216895	1.5653169640885582	0.8198664187842224	4.316617593484608	0.42570234270795176	1.7385456551829792	1.4989256821699994	1.1491429968445621	0.23160514596648227	1.2687887187066145	0.0021412383847886824	4.117129591129781	0.5529609064340238	0.14616586430972658	0.28438009088520183	0.19072958717332458
60	0.40937427662212506	0.16474462742010423	0.7420415067443946	1.4927215036461774	0.8156800999257123	4.3323185345196675	0.4203863109549485	1.7340129280777432	1.5613138271177827	1.145463516904078	0.2406860382751018	1.3161389308626839	0.00223165561009977	4.149636091700561	0.5475260858882506	0.14553015708615002	0.2854090477098503	0.19074533748648287
61	0.4005478730831298	0.16352229573122687	0.7457936000607861	1.4350369106803738	0.8119377733692807	4.3540099372012895	0.4163178893167459	1.7294014318746964	1.6213570412199767	1.141995918585437	0.24948044226854382	1.3622259201456917	0.0023228315779507207	4.179242765123065	0.543869531181838	0.14522456392457345	0.287047494411027	0.1910657564883215
