time	TFPI	VIIa_TF	VIIa_TF_X	VIIa_TF_Xa	X	Xa	Xa_TFPI	Xa_TFPI_VIIa_TF
0.0.	2.399999	0.9999996999999999	0.0	0.0	169.9999	0.0	0.0	0.0
0.0.16.0	2.189834731938977	0.47523975055578804	0.29649276682671305	0.22589547284675202	148.37455985482416	20.892787637441412	0.20779255829027501	0.002371709770746
0.0.32.0	1.688975575896035	0.46902572112682306	0.256118468874915	0.258008315739634	129.8585585843439	38.91619120693754	0.694176229845337	0.016847194258627
0.0.48.0	1.129856767458603	0.45496957644120306	0.218079203970649	0.279107671218748	113.97959877633977	54.25297211592936	1.2222989841719971	0.047843248369399
0.0.64.0	0.6709831959308941	0.434311174650014	0.18363884416721502	0.289795441236736	100.54032322348404	67.25712668704283	1.636761564123071	0.092254239946034
0.0.8.0	0.36159618420704104	0.409974138031089	0.15389511047746401	0.29228607838167103	89.25680522517001	78.25851077017782	1.894558442683182	0.14384437310977602
0.0.96.0	0.180934201689282	0.384673447993702	0.129096674930563	0.289178551618335	79.8000763768029	87.5624835983374	2.022013772853318	0.19705102545739903
1.0.12.0	0.086501072750172	0.360153955367355	0.108822555677722	0.282634406582749	71.84973973798043	95.44520537250921	2.065109144877652	0.24838878237217402
1.0.28.0	0.041234762008313004	0.337259339213102	0.09236432522687	0.27416021257210904	65.12557893656926	102.14903228764005	2.062548415003768	0.29621582298791804
1.0.44.0	0.020925347249509	0.31626164330788203	0.078991534689097	0.264713312801373	59.39677037682897	107.88035112293002	2.039040443548842	0.34003320920164903
1.0.6.0	0.01221518232586	0.29714516492991905	0.068068937643161	0.254878379875141	54.47862234283941	112.8105465219681	2.00787660012236	0.37990721755177903
1.0.76.0	0.008544619213852	0.279777163104936	0.05908393368935701	0.24500951893050002	50.224895025688035	117.07945714090587	1.9753252965109391	0.416129084275207
1.0.92.0	0.006958719419240001	0.26399181461631804	0.051635870013117	0.23532196403737002	46.51981486603107	120.80008701933758	1.94399022924756	0.44905005133319603
2.0.08.0	0.006210911266975001	0.24962541112389403	0.045414807540720005	0.22594629466145802	43.271270339312956	124.06348046975174	1.914774902059094	0.47901318667392706
2.0.24.0	0.005800351545029001	0.23652852087039103	0.040180876423848	0.21695993107612802	40.405447353128	126.94311319091696	1.887868276825333	0.506330371629634
2.0.4.0	0.005532063310146	0.22456860379999202	0.035747419356125	0.208405873411626	37.86272713169113	129.49855263885118	1.863189133257594	0.5312778034322571
2.0.56.0	0.005330801232838	0.21362917543121102	0.031968094035957004	0.20030433657339802	35.594577111594724	131.77838225902866	1.840570104807723	0.554098093959435
2.0.72.0	0.005166737946571001	0.203607984812491	0.028727233357593	0.19266029460400402	33.56119126557343	133.82248894441148	1.819828074827512	0.5750041872259131
2.0.88.0	0.005027064219359	0.194415101957	0.025932677908693	0.18546854116896302	31.72968857229908	135.66383827284255	1.800788556815292	0.594183378965345
3.0.04.0	0.004905456074228	0.18597119293126702	0.023510429538401	0.17871716156486803	30.07272695794461	137.32985190702627	1.7832926279603032	0.611800915965465
3.0.2.0	0.004798218988241	0.17820603885618402	0.021400636433916	0.17238994618726602	28.56742811677177	138.84348051959526	1.7671977024891201	0.628003078522634
3.0.36.0	0.004702858933756	0.17105728412575702	0.019554553855022	0.16646807848179002	27.194536695916657	140.22404453068026	1.7523763575288092	0.6429197835374311
3.0.52.0	0.004617524636889	0.16446938161327201	0.017932224322623	0.16093131657346502	25.937757616054668	141.48789736768614	1.738714697872466	0.6566667774906421
3.0.68.0	0.004540765922524	0.158392702301796	0.016500692544205	0.15575881751998003	24.783229906967293	142.64895234889104	1.7261107464434522	0.66934748763402
3.0.84.0	0.004471412189228001	0.152782781059592	0.015232621095153002	0.150929707526839	23.719105997088917	143.71910408647832	1.7144729974923512	0.6810545903184171
4.0.	0.0044085011076890005	0.147599675138435	0.014105208915747002	0.146423470806915	22.73521308422381	144.7085677371612	1.703719153753402	0.691871345138904
4.0.16.0	0.004351231481336	0.142807416276371	0.013099340432690001	0.142220208692444	21.82277885743834	145.62615382491785	1.693775033920164	0.7018727345984961
4.0.32.0	0.004298929637846	0.138373540838062	0.012198911653229	0.13830080589881202	20.974208016313273	146.4794921957725	1.684573628752252	0.711126441609898
4.0.48.0	0.004251024392749	0.134268685291588	0.011390293038401	0.13464703046414	20.182899149714334	147.27521555117582	1.676054284401373	0.719693691205872
4.0.64.0	0.00420702790218	0.130466236620083	0.010661898813684002	0.131241586509165	19.44309387941608	148.0191106631632	1.668161994040745	0.7276299780570701
