	NN	Nplus
0	50.0	0.0
1	50.2043403268081	0.0290936786573729
2	50.408561353725524	0.05797574729062384
3	50.61266315036151	0.08664774393678727
4	50.81664578635086	0.11511119701172833
5	51.02050933126471	0.14336762421159754
6	51.22425385462247	0.1714185298859964
7	51.42787942591447	0.19926540917050517
8	51.631386114591656	0.22690974680084758
9	51.83477399005828	0.25435301524369236
10	52.038043121683465	0.28159667761503243
11	52.24119357879039	0.30864218494949147
12	52.444225430668396	0.33549097946351975
13	52.64713874655761	0.36214449061185944
14	52.84993359566938	0.38860414045349667
15	53.05261004715978	0.41487133690475825
16	53.25516817015403	0.44094748006321843
17	53.45760803373846	0.46683396022221524
18	53.65992970696016	0.492532157830906
19	53.86213325882426	0.5180434428658832
20	54.06421875829161	0.5433691743446435
21	54.266186274282674	0.5685107013644608
22	54.46803587567851	0.5934693634279385
23	54.66976763132101	0.6182464905574077
24	54.87138161001224	0.6428434031951291
25	55.07287788051409	0.6672614121720057
26	55.274256511548124	0.6915018187439478
27	55.475517571795706	0.7155659146788482
28	55.67666112989808	0.7394549823459738
29	55.87768725445643	0.7631702947901275
30	56.07859601403194	0.7867131157990743
31	56.27938747714575	0.8100846999813127
32	56.480061712279	0.8332862928198336
33	56.68061878787286	0.8563191307384596
34	56.881058772328515	0.8791844411611546
35	57.08138173400722	0.901883442583315
36	57.28158774123033	0.9244173446399706
37	57.48167686227931	0.946787348169219
38	57.68164916539575	0.9689946452743233
39	57.88150471878141	0.991040419387001
40	58.08124359059822	1.012925845331343
41	58.28086584896834	1.0346520893868905
42	58.480371561974124	1.0562203093505496
43	58.679760797658204	1.0776316545979505
44	58.87903362402347	1.0988872661446736
45	59.07819010903312	1.1199882767072147
46	59.27723032061068	1.1409358107634273
47	59.47615432663999	1.161730984612398
48	59.674962194965296	1.1823749064338762
49	59.87365399339121	1.2028686763473266
50	60.072229789682765	1.223213386470585
51	60.27068965156543	1.2434101209780704
52	60.46903364672512	1.2634599561585511
53	60.66726184280827	1.2833639604724916
54	60.86537430742179	1.303123194608989
55	61.06337110813311	1.3227387115423042
56	61.26125231247025	1.342211556587977
57	61.45901798792177	1.3615427674585294
58	61.656668201936846	1.3807333743187642
59	61.85420302192527	1.3997843998406618
60	62.05162251525749	1.4186968592578801
61	62.248926749264605	1.4374717604198575
62	62.4461157912384	1.45611010384552
63	62.64318970843139	1.4746128827765999
64	62.840148568056826	1.4929810832305648
65	63.0369924372887	1.511215684053164
66	63.2337213832618	1.5293176569705904
67	63.430335473071715	1.5472879666412647
68	63.62683477377487	1.565127570707242
69	63.82321935238851	1.5828374198452448
70	64.0194892758908	1.6004184578173246
71	64.21564461122077	1.6178716215211555
72	64.41168542527836	1.635197841039962
73	64.6076117849245	1.6523980396920819
74	64.80342375698103	1.669473134080172
75	64.9991214082308	1.6864240341400536
76	65.19470480541767	1.7032516431892017
77	65.39017401524654	1.7199568579748856
78	65.58552910438335	1.7365405687219537
79	65.78077013945514	1.753003659180277
80	65.97589718705004	1.7693470066718415
81	66.17091031371729	1.7855714821375028
82	66.36580958596728	1.8016779501833986
83	66.5605950702716	1.817667269127022
84	66.75526683306299	1.8335402910429635
85	66.94982494073544	1.8492978618083178
86	67.14426945964415	1.8649408211477596
87	67.33860045610561	1.8804700026782943
88	67.53281799639755	1.8958862339536804
89	67.72692214675905	1.9111903365085312
90	67.92091297339049	1.9263831259020936
91	68.1147905424536	1.9414654117617094
92	68.3085549200715	1.9564379978259616
93	68.5022061723287	1.9713016819875049
94	68.69574436527111	1.9860572563355856
95	68.8891695649061	2.000705507198253
96	69.0824818372025	2.015247215184262
97	69.2756812480906	2.029683155224672
98	69.46876786346225	2.0440140966141445
99	69.66174174917079	2.0582408030519375
100	69.85460297103111	2.072364032682604
