parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	HierarchicalOptimization (optional)
KiADP	KiADP	log10	-5	5	0.0071550693	1			
KpgkADP	KpgkADP	log10	-5	5	-0.4263349783	1			
KpgkATP	KpgkATP	log10	-5	5	0.9689216711	1			
KpgkBPG	KpgkBPG	log10	-5	5	-2.083890091	1			
KpgkP3G	KpgkP3G	log10	-5	5	-0.2458040977	1			
VmfPGK	VmfPGK	log10	-5	5	1.2358453967	1			
VmrPGK	VmrPGK	log10	-5	5	1.579329227	1			
kPK	kPK	log10	-5	5	1	0			
kd	kd	log10	-5	5	-0.1328767842	0			
protPGK	protPGK	log10	-5	5	-2.468521083	0			
sigma_P3G	sigma_P3G	log10	-5	5	4	1			
sigma_SD	sigma_SD	log10	-5	5	4	1			
sigma_PYR	sigma_PYR	log10	-5	5	4	1			
sigma_SD_1	sigma_SD_1	log10	-5	5	4	1			
sigma_BPG	sigma_BPG	log10	-5	5	4	1			
sigma_SD_2	sigma_SD_2	log10	-5	5	4	1			
