time	ACA	ADP	AMP	ATP	BPG	EtOH	F6P	FBP	GAP	Glc	NAD	NADH	PEP	Pyr
0.0.	0.0738334	0.10836699999999999	0.00261149	4.49064	0.299109	0.339813	0.65939	0.00770135	0.00190919	0.011281699999999999	3.62057	0.6161179999999999	0.00211259	0.00422702
3.0.3000000000000003.0	0.33468598561176904	0.7354949844938391	0.14711078512880002	3.7189550227380073	0.7704516729262361	0.9495780590010541	0.08089821650375201	0.9008311125629611	0.10490832407224501	0.6082574447668391	2.771095449231001	1.465710620439816	0.016295190904941	0.10732898702972601
6.0.6000000000000005.0	0.23743322642282602	0.319886418779584	0.024354726835468	4.257264005972571	1.381000087496052	2.592722912327589	0.400951197099065	0.823978884438557	0.100784701295569	0.9551943308446441	2.285310361472361	1.951609568797066	0.017043915707949	0.07907478223431101
9.0.9.0	0.140783042729681	0.19467711382969302	0.008613998222822	4.398160382303079	1.966625146333322	3.743419993207598	1.094348912950029	0.549757602262628	0.079228805259243	1.239803493457111	1.8129552362911021	2.42407449555417	0.018906864120504	0.06059699011952201
13.0.200000000000001.0	0.18073122960923801	0.250159682377592	0.014542595254675002	4.336697472320928	2.193299572676283	4.900026610310272	1.046714838600642	0.977817214957272	0.115052822696002	1.4897978794590672	1.501378398465656	2.73575722063302	0.024503014880070003	0.099959795319962
16.0.5.0	0.089430496121049	0.11951204876360301	0.0031896874001920003	4.478648114026056	2.770638546350104	5.947961708874793	1.802538757477922	0.575186685363357	0.086516821110454	1.715255607600409	1.069183569916604	3.1680541616549442	0.021892330673831003	0.048731630578290004
19.0.8.0	0.11448507919865801	0.180569120018611	0.0072280351552290005	4.41350457413208	2.795346104992168	6.724453238169473	2.288244966815596	0.5828222184760621	0.08629883885636001	1.9219760520292961	0.9874212890752241	3.249914914756009	0.026565389961488002	0.076063110445462
23.0.1.0	0.14110948068099302	0.12185287085447201	0.0033920867339370005	4.476010366297633	2.828295164725862	8.421860633031438	1.196705909364225	1.769367582944228	0.16884132121238302	2.114139799081306	0.9433266570519071	3.2941045085959892	0.022790440059964	0.06436347433037501
26.0.400000000000002.0	0.06922429404378701	0.094124289146505	0.001965057895857	4.505121225733167	3.446013851617215	9.061495772393501	2.2743896561617802	1.054798997670585	0.133132830094141	2.292552903971478	0.41360995254396704	3.823912789621549	0.025168262184827	0.045872948370186004
29.0.700000000000003.0	0.079313313948906	0.11022929895810502	0.002694590384328	4.488243527657399	3.409935800927732	9.640110101626576	2.993075614761052	0.817135273185383	0.11507640517490801	2.459768837360289	0.42924670216540806	3.8083643519013943	0.026579500618156	0.054817937137906
33.0.	0.208204762076097	0.311398471328586	0.022676467820065	4.267050860538108	2.891726628673175	10.738002141690439	1.85765011875007	2.195764914095127	0.19253283900789903	2.617530508538337	0.665447930666281	3.572248287065967	0.038395608511980005	0.196122130236168
36.0.300000000000004.0	0.070341437437571	0.09205976442557501	0.0018837657730550001	4.507142135792946	3.466022064045452	12.162718284651465	1.862791295222556	2.237349655314021	0.20022448858190803	2.76629457047977	0.393351980024544	3.8444263653689363	0.025053612254648003	0.045131636109395
