time	C1	C2	C2a	C2b	C3	C3a	C3b	C4	C4BP	C4BP_C4b	C4BP_GlcNac_LF_CRP	C4BP_PC_CRP	C4BP_PC_CRP_LF	C4a	C4b	C4b_C2a	C4b_C2a_C4BP	CRP	GlcNac	GlcNac_HF	GlcNac_HF_MASP	GlcNac_LF	GlcNac_LF_C1_MASP	GlcNac_LF_CRP	GlcNac_LF_CRP_C1	GlcNac_LF_CRP_MASP	GlcNac_LF_MASP	HF	LF	MASP	PC	PC_CRP	PC_CRP_C1	PC_CRP_LF	PC_CRP_LF_C1	PC_CRP_LF_C1_MASP	PC_CRP_LF_MASP	X	dC3b	dC4b_C2a	dC4b_C2a_C4BP	iC4b_C2a
0.0.	2470.0	310.0	0.0	0.0	4650.0	0.0	0.0	770.0	260.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	20.0	6.8	0.0327796	0.0	0.0	0.0	0.0	0.0	0.0	0.0005	0.0	0.0	0.0	0.0
200.0.	2469.997158092625	309.6631866244976	0.33526495588314104	0.336813375502276	4649.999785006175	0.00021499382764	1.040090517680933e-05	769.6455996009638	242.4266694142384	0.350510500687961	0.0	0.029926580037853003	0	0.354400399036557	0.002341478729461	1.9738705700149942e-06	0.000292486499585	1.9672227750022242	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	19.99999755619532	6.799998279116027	2.375002223335685e-06	8.729369098180814e-06	0.002839471786105	6.405189394922565e-09	7.165155547684272e-07	1.71907433992801e-06	1.8096349987744302e-09	0.0005	4.234040311131716e-06	4.933991152138177e-07	7.273947815893334e-05	0.0011770432832350001
400.0.	2469.9948646788243	308.73078431230925	1.227190604613254	1.269215687690759	4649.993141867245	0.006858132759821001	0.00016642743799100002	768.6625098565736	225.47624676444798	1.2862754525083941	0.0	0.027633853810898	0	1.337490143427015	0.009189607841115001	3.0671461334736415e-05	0.0042722319844790005	1.967222141466261	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	19.999995098346368	6.7999965228490264	1.7414662597911992e-06	8.673897121787094e-06	0.005130429172050001	6.789012694622796e-09	1.417713677100419e-06	3.474290002604211e-06	2.8609761345718013e-09	0.0005	6.847728853161425e-05	1.592268966525793e-05	0.002211726264211	0.035377042989877004
600.0.	2469.9930227549585	307.32760404459407	2.403701080926132	2.672395955405808	4649.951621215198	0.048378784807082006	0.000753235062598	767.1781489206347	209.32798940323931	2.533695598444675	0.0	0.025791867193466003	0	2.821851079365752	0.0194606064414	0.000137333245698	0.017827775777368	1.9672221502088871	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	19.9999926402583	6.799994766723968	1.7502088862160612e-06	8.726386711407714e-06	0.006969896469197	7.246944343963816e-09	2.119218758041862e-06	5.229354212170667e-06	3.9218242084448636e-09	0.0005	0.000311113417167	0.000113927267737	0.014758842723492002	0.23502820763817703
800.0.	2469.99151247935	305.54823789647185	3.541226366629251	4.451762103528026	4649.822323957701	0.177676042300799	0.001930099048803	765.2876499451546	194.22648305811828	3.7706343048545463	0.0	0.024281431985938	0	4.712350054845861	0.031180013092536003	0.000349806904821	0.042224100875423005	1.9672221755555441	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	19.999990155369463	6.799992991682698	1.7755555434967899e-06	8.859042779573359e-06	0.008477688785164	7.76448976317104e-09	2.828548776626137e-06	7.003316132279389e-06	5.001175360676513e-09	0.0005	0.0007988986273860001	0.00042089061366500004	0.050716777323665	0.8137803106799251
1000.0.	2469.9902462372875	303.46347749021953	4.403220474657534	6.536522509780484	4649.553055700024	0.446944299977288	0.0035308268761920004	763.0611578149526	180.3262163615096	4.763144047500253	0.0	0.023014962069727002	0	6.938842185047909	0.042396102424704006	0.000637565048214	0.07154541928067601	1.967222212622923	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	19.999987624514997	6.799991183963538	1.812622921271729e-06	9.048161642345883e-06	0.009741401660664001	8.328676524117404e-09	3.551119899259306e-06	8.80993126747321e-06	6.105200373945774e-09	0.0005	0.001463396146254	0.001050804809746	0.11774493421750401	1.934666280430205
1200.0.	2469.9891602241682	301.1265448002515	4.926011139063553	8.873455199748449	4649.1179781663595	0.882021833641437	0.005243866920904	760.550576603809	167.61753573039877	5.449813273444717	-2.4540940125270392e-27	0.021928672151037002	0	9.449423396191856	0.052166062062232	0.0009448134764140001	0.098630927347659	1.967222258057252	-1.097101804129463e-26	3.411211863400082e-25	7.232432293239716e-25	-3.851304361593268e-25	0	-1.3335092914407002e-30	-6.036701131055952e-29	-2.9013026739035895e-30	-8.325214805626954e-25	-4.757626253385121e-25	19.99998503417746	6.799989333862138	1.858057250467556e-06	9.27779290548297e-06	0.010824826176235001	8.930875605083204e-09	4.290753828344515e-06	1.0658899550266241e-05	7.238316986370718e-09	0.0005	0.002175138760931	0.0020269379402070003	0.21134049958809903	3.6193894135905538
1400.0.	2469.9882072039104	298.5776767805832	5.168329477758918	11.422323219416478	4648.517202259908	1.482797740091335	0.0068785472650730005	757.794424337666	155.9782113283745	5.890997703148874	-2.5366029406409552e-26	0.020975337024807	0	12.205575662335331	0.060584217528887006	0.0012378538506110002	0.120304751522986	1.967222309952597	-2.927043688048366e-26	-1.674068452768641e-26	-4.817879346201844e-26	-1.048339338266578e-24	0	-1.2400243493211349e-29	-2.204351316320991e-27	-2.950453712000011e-29	-2.624470064246377e-24	-9.291575046200958e-26	19.99998237429495	6.7999874341633095	1.9099525957202868e-06	9.538966441154153e-06	0.011775188351078	9.56665540588894e-09	5.050301731165813e-06	1.2557432624349902e-05	8.404066467209939e-09	0.0005	0.0028545330212500003	0.0032838722287480003	0.318849864164282	5.7849113399754195
1600.0.	2469.98735151292	295.8473717351132	5.219416790052899	14.15262826488638	4647.760908412683	2.239091587314044	0.008406486346431001	754.8212086337114	145.26192379772988	6.17737120975238	-4.8214486513150874e-26	0.020119299621373002	0	15.178791366289833	0.06820868170397501	0.001511935648618	0.13688240173250102	1.96722236718302	-2.4991868200069872e-26	-6.233903757499687e-25	-2.286812938906158e-24	-8.92803772635347e-25	0	-2.4243671581979437e-29	-7.901138963182757e-27	-5.942324384690603e-29	-2.2238162392683617e-24	-4.018796637987273e-25	19.999979636757967	6.799985479057298	1.9671830177315833e-06	9.826281720591407e-06	0.012628143671830001	1.0233702225832611e-08	5.832065653175583e-06	1.4511337239622401e-05	9.605463042533789e-09	0.0005	0.0034895287434200005	0.004725317998623	0.427496316017868	8.324228083971956
1800.0.	2469.9865660786577	292.95876238808194	5.149788747570447	17.04123761191767	4646.857496117975	3.142503882025056	0.009874823054954001	751.6518566189444	135.34487708647222	6.3810777710597915	-1.0600232005960999e-25	0.019333492615626002	0	18.3481433810569	0.075616745649904	0.001775618650229	0.14980204103774603	1.9672224288685292	-8.643964094321778e-26	3.1919903977034013e-26	9.295345507631748e-26	-3.0959049509450507e-24	0	-5.835296104051979e-29	-1.9330261038358232e-26	-1.410296708024679e-28	-7.750405789895654e-24	-3.032168159127091e-24	19.99997681479673	6.799983463694682	2.0288685265253588e-06	1.0135401410958342e-05	0.013410757911142001	1.0930203991870009e-08	6.637967769047035e-06	1.6525460282028192e-05	1.084503840579564e-08	0.0005	0.0040996401761220005	0.006270624161500001	0.528748015453773	11.150999706235991
