time	species_0	species_1	species_10	species_11	species_12	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
0.0.	999.999903689	0.0	499.999951844	99.9999903689	0.0	3999.99961476	0.0	0.0	999.999903689	0.0	0.0	99.9999903689	499.999951844
50.0.	896.6651491835763	103.33475450542478	499.999951844	97.36850400959746	2.631486359302456	3923.9905363581747	74.83304294940883	1.176035452425319	999.792876413076	0.206988816016954	3.8459905670877275e-05	99.9999903689	499.999951844
100.0.	871.8886218387282	128.1112818502731	499.999951844	95.71653593934343	4.283454429556483	3780.428306781389	210.14747359698077	9.423834381640615	998.1132344774027	1.88333967435223	0.0033295372438340003	99.9999903689	499.999951844
150.0.	861.8639695832467	138.1359341057545	499.999951844	94.63967881894402	5.360311549955884	3605.7536442105907	364.49514317273116	29.75082737668662	992.4870109263215	7.460075902684302	0.05281685999267301	99.9999903689	499.999951844
200.0.	848.9371049460141	151.06279874298673	499.999951844	93.8219707910085	6.1780195778913995	3423.069933597972	513.9735386458548	62.95614251618145	975.165456784744	24.280050859072443	0.554396045181878	99.9999903689	499.999951844
250.0.	739.2170465688564	260.7828571201445	499.999951844	92.05032637541777	7.949663993482123	3229.9193958369515	659.4585758720486	110.62164305100806	910.368905118266	83.18028166585769	6.450716904874364	99.9999903689	499.999951844
300.0.	2.110721300044637	997.8891823889572	499.999951844	78.53263608875476	21.467354280145067	2998.2850601129367	818.1007556369777	183.61379901009332	697.7404571287143	237.28342562071995	64.97602093956476	99.9999903689	499.999951844
350.0.	0.7699231978252671	999.2299804911767	499.999951844	32.68328951026396	67.31670085863588	3133.921085996162	705.7638670824672	160.3146616813774	452.5650527917047	329.4672301034797	217.967620793814	99.9999903689	499.999951844
400.0.	0.631259479080584	999.3686442099217	499.999951844	7.130900786377674	92.86908958252221	3396.8905340090105	502.9449597170378	100.16412103395984	374.1107356784859	333.6804506930928	292.2087173174194	99.9999903689	499.999951844
450.0.	0.7379421372271201	999.2619615517752	499.999951844	5.327099768796949	94.67289060010287	3659.8435157903104	295.8388651545469	44.31723381515255	450.85340857562676	318.0523333038703	231.0941618095008	99.9999903689	499.999951844
