	CDK2cycA	CDK2cycA_star_	Cdk2	CyclinA
0	0.0	0.0	1e-07	4e-07
1	2.1172153010338813e-08	1.5693029792842236e-09	7.725854401037695e-08	3.7725854401037704e-07
2	2.106447553350191e-08	3.4693137397145797e-09	7.54662107267835e-08	3.7546621072678357e-07
3	2.0654523579247434e-08	5.213171902995763e-09	7.413230451775679e-08	3.7413230451775685e-07
4	2.0277482268406852e-08	6.8075559093774285e-09	7.291496182221571e-08	3.729149618222158e-07
5	1.9933969946622987e-08	8.26443660385102e-09	7.180159344952599e-08	3.718015934495261e-07
6	1.9621322728715647e-08	9.596092289443041e-09	7.07825849818413e-08	3.707825849818414e-07
7	1.933654028292703e-08	1.081345530750172e-08	6.985000440957124e-08	3.6985000440957135e-07
8	1.9077047816530915e-08	1.1926537628887739e-08	6.899641455458133e-08	3.689964145545815e-07
9	1.8840555327600544e-08	1.2944205811287592e-08	6.821523886111185e-08	3.68215238861112e-07
10	1.862494581627003e-08	1.3874689650618575e-08	6.750036453311138e-08	3.675003645331115e-07
11	1.84283038174094e-08	1.472557140312465e-08	6.684612477946594e-08	3.6684612477946603e-07
12	1.8248895665952513e-08	1.5503776943186247e-08	6.624732739086123e-08	3.662473273908613e-07
13	1.8085163757035788e-08	1.6215584758795925e-08	6.569925148416828e-08	3.6569925148416836e-07
14	1.7935712456619957e-08	1.6866660274505166e-08	6.519762726887487e-08	3.651976272688749e-07
15	1.7799273842139238e-08	1.7462177371496122e-08	6.473854878636465e-08	3.647385487863647e-07
16	1.767469417903413e-08	1.800688069341827e-08	6.431842512754761e-08	3.643184251275477e-07
17	1.756092277447867e-08	1.8505123434316404e-08	6.393395379120494e-08	3.63933953791205e-07
18	1.7457003481368893e-08	1.896088883168645e-08	6.358210768694467e-08	3.635821076869447e-07
19	1.7362067406799602e-08	1.9377815052356612e-08	6.32601175408438e-08	3.6326011754084386e-07
20	1.7275325737564373e-08	1.9759223567510635e-08	6.2965450694925e-08	3.629654506949251e-07
21	1.7196061811678044e-08	2.0108147030153358e-08	6.26957911581686e-08	3.6269579115816865e-07
22	1.7123623195541408e-08	2.0427356416757428e-08	6.244902038770117e-08	3.6244902038770123e-07
23	1.705741449541286e-08	2.0719389224368718e-08	6.222319628021843e-08	3.622231962802185e-07
24	1.699689363948748e-08	2.09865664876666e-08	6.201653987284593e-08	3.62016539872846e-07
25	1.694156662131371e-08	2.123101047895835e-08	6.182742289972795e-08	3.6182742289972805e-07
26	1.6890983222252446e-08	2.1454659341187872e-08	6.165435743655968e-08	3.616543574365598e-07
27	1.6844733192391583e-08	2.1659284789139374e-08	6.149598201846904e-08	3.6149598201846917e-07
28	1.6802442885586915e-08	2.1846506742683063e-08	6.135105037173002e-08	3.613510503717302e-07
29	1.6763770690341652e-08	2.201780772442166e-08	6.121842158523668e-08	3.6121842158523687e-07
30	1.6728404633461156e-08	2.2174543983069984e-08	6.109705138346886e-08	3.61097051383469e-07
31	1.669606036455288e-08	2.2317955540795984e-08	6.098598409465112e-08	3.6098598409465127e-07
32	1.666647840154298e-08	2.244917624474398e-08	6.088434535371303e-08	3.6088434535371315e-07
33	1.6639421583647238e-08	2.2569243315110133e-08	6.079133510124262e-08	3.6079133510124274e-07
34	1.6614673264937627e-08	2.2679105758550378e-08	6.070622097651198e-08	3.607062209765121e-07
35	1.659203564223609e-08	2.2779631743852963e-08	6.062833261391093e-08	3.6062833261391106e-07
36	1.6571327992964348e-08	2.2871615372243264e-08	6.055705663479237e-08	3.605570566347925e-07
