time	ATP	Ade	DNA	GTP	Gua	HX	IMP	PRPP	RNA	SAM	SAMP	UA	XMP	Xa	dATP	dGTP
0.0.	2475.35	0.9847300000000001	5179.34	410.223	5.50638	9.51785	98.2634	50.0	28680.5	3.99187	0.198189	100.293	24.793	5.05941	6.01413	3.02581
0.0.7000000000000001.0	2474.62356465472	0.7546370817092941	5179.340232140612	413.2693447151954	1.9041808680459391	6.431684338961429	117.54518331000045	6.162257583879239	28682.695861938966	3.991734168296895	0.21335215181667602	100.25612676100722	24.81931445259125	4.608678794966958	6.014078724215355	3.025985069236351
1.0.4000000000000001.0	2474.0803964281263	0.823984065193571	5179.340565418105	412.13872200182	2.729256736890005	7.302885693003084	116.83583223491551	5.471561233257854	28684.188713368283	3.9915069021591822	0.212696599220585	100.1448714395806	24.848672219357066	4.285319468233467	6.013970997234102	3.026068663439061
2.0.1.0	2473.994375523526	0.8733484754309461	5179.340879788478	411.44690339939916	3.344230932602548	8.089284377560123	115.97305383753724	5.3495724834999745	28684.920275114855	3.991424907021615	0.21198104549169103	99.99491698116363	24.876572189920463	4.136335702438248	6.013878076768258	3.026097976790532
2.0.8000000000000003.0	2474.163862861687	0.9055000259018231	5179.34115198904	411.04111667287333	3.795560138396856	8.749727787198944	115.14562669429995	5.275191763462147	28685.22187239149	3.991449991465152	0.21133467040897203	99.83343976430022	24.902951973883457	4.098759442439307	6.013813692291932	3.026108218396968
3.0.5000000000000004.0	2474.4653502963683	0.9269261353112491	5179.341389066738	410.8033255773762	4.137480759654418	9.301058082094375	114.36565212070934	5.221023966219532	28685.29052788958	3.991534149031794	0.21074704848362902	99.67769688610473	24.927857303895177	4.131511192878343	6.013773424092398	3.026111691084452
4.0.2.0	2474.827828154638	0.941629137711902	5179.341602457531	410.66459224167755	4.402687968116323	9.759513782845673	113.63406695178818	5.17969082468626	28685.239927159637	3.9916474714779513	0.210207535694792	99.53804815782154	24.9513543898954	4.207559553614874	6.013750196368751	3.026112537928944
4.0.9.0	2475.2110202856707	0.952028967093802	5179.341801414055	410.5842549299159	4.611994753782848	10.138989377149166	112.94898311604078	5.147248944017703	28685.13505144614	3.991772708448035	0.20970828407354902	99.42015491375462	24.973516058636196	4.308780438628617	6.013738224629312	3.026112141636538
5.0.6000000000000005.0	2475.592685405745	0.9596089371540891	5179.341992222389	410.5380953730924	4.779396419239496	10.45126841769149	112.30746092161971	5.121278719921008	28685.012240237185	3.9919001898445163	0.20924349547040302	99.32654457034458	24.994415822669616	4.422942276430833	6.013733498897707	3.026110958321979
6.0.300000000000001.0	2475.9611535677363	0.965293018612099	5179.3421788195665	410.5116557575768	4.9146924777540875	10.706347977228923	111.70623182796992	5.100190155956503	28684.89100007688	3.992024705069131	0.208808774066602	99.25770610617104	25.014124966619107	4.541804083394614	6.013733423858548	3.026109137250405
7.0.000000000000001.0	2476.310892532388	0.9696669895616781	5179.342363541477	410.4963357710272	5.024960687944575	10.912728807614666	111.14202956057642	5.082885093223921	28684.781032597315	3.992143645706048	0.20840068166087303	99.21284358978987	25.032711154400126	4.659866187183251	6.013736376646259	3.026106729767166
7.0.700000000000001.0	2476.639865215284	0.9731095585417161	5179.342547704179	410.4870658361763	5.115441010844521	11.07765781997367	110.61174358898863	5.068574808286248	28684.686430809787	3.992255899416355	0.208016444580836	99.19038725944368	25.050237850175932	4.7735303256367025	6.013741361313075	3.02610375919445
8.0.4.0	2476.9479588948584	0.975870958266528	5179.342731999781	410.4809038051116	5.190092326681556	11.20732740878584	110.11248586343474	5.056674540406371	28684.608177618993	3.992361191620969	0.20765376258440302	99.18833637356663	25.066764182045663	4.880525616639551	6.013747772434807	3.026100243674574
9.0.100000000000001.0	2477.2360593886933	0.9781205442077421	5179.342916750557	410.4761835917567	5.251956856374136	11.307039107726705	109.64161355485193	5.046739237149058	28684.54562089355	3.9924596959436203	0.20731068395031302	99.20448685106253	25.0823450441014	4.979510924630982	6.013755242517533	3.026096203100286
9.0.8.0	2477.5055137064874	0.9799759237739061	5179.343102066837	410.4719977050007	5.303406340178923	11.381338530036508	109.1967292215626	5.038422721883135	28684.49733120575	3.992551806433436	0.20698552287472702	99.23658053640564	25.09703132125555	5.06979618055751	6.013763546482127	3.0260916606917
10.0.500000000000002.0	2477.7578259348243	0.9815209807976061	5179.343287942873	410.46788320208066	5.346312790716024	11.434127311737859	108.77566960886391	5.031450803240014	28684.461588503098	3.992638007045986	0.20667680374524003	99.28240129208604	25.110870170690937	5.151145076398981	6.013772543032111	3.026086642818608
11.0.200000000000001.0	2477.9944921015463	0.9828171651978381	5179.34347431391	410.46363199444284	5.382169641199592	11.468756583143433	108.37648910412948	5.025603007369085	28684.436647457573	3.992718799277855	0.20638322248349703	99.33983504598723	25.123905322136547	5.223634178334769	6.013782139216209	3.026081178306615
11.0.9.0	2478.216916810386	0.983910661702845	5179.3436610893295	410.45917721339924	5.412179410081017	11.488105509277577	107.99744112738935	5.020699820339744	28684.420872499988	3.99279466422242	0.20610361877705702	99.4069054187294	25.136177375719278	5.287551655427196	6.01379226934047	3.026075297657782
12.0.600000000000001.0	2478.4263770356697	0.9848370130189231	5179.343848171316	410.45452600398875	5.437318246854724	11.494647667915139	107.63695924130917	5.016593554198202	28684.4127976484	3.9928660446701523	0.205836955329868	99.48179283732111	25.14772408589332	5.343324157667835	6.01380288265067	3.026069032334125
13.0.3.0	2478.624012277712	0.9856241540549611	5179.344035464824	410.4497205287407	5.458384193507729	11.490507439973175	107.29363893080111	5.01316165830426	28684.411144267706	3.9929333385879513	0.205582301715614	99.56284253301236	25.158580625709476	5.391463915486454	6.013813936313855	3.026062414149884
14.0.000000000000002.0	2478.8108287130153	0.9862944426034611	5179.3442228824815	410.44481598202026	5.476033769553882	11.477508132246346	106.96622053161173	5.010301720046004	28684.41481646539	3.992996898799735	0.20533882132882303	99.64856512556742	25.16877982907428	5.432530508231153	6.013825391559714	3.026055474779607
14.0.700000000000001.0	2478.987710106676	0.9868660477211271	5179.344410346549	410.43986874572437	5.49081004962976	11.457213203913165	106.65357351974568	5.007927658282714	28684.422885645752	3.993057035816194	0.20510576049525803	99.73763234466831	25.178352410610962	5.467103364075468	6.013837211674062	3.026048245373863
15.0.400000000000002.0	2479.1554313604033	0.9873539207922031	5179.344597789282	410.4349304915307	5.5031644523469865	11.430961699907384	106.3546822221367	5.005966775975548	28684.434570791924	3.993114022051134	0.20488243915363502	99.82886965246755	25.187327163838983	5.495762165640965	6.013849361052243	3.02604075626885
16.0.1.0	2479.3146724316216	0.9877704908493341	5179.344785152453	410.4300456857905	5.513473819218786	11.399898786411985	106.06863292457848	5.004357443419218	28684.449218075504	3.993168096438165	0.204668242736381	99.92124699020172	25.19573113897587	5.519073110686087	6.013861804837903	3.026033036774824
16.0.8.0	2479.466031460073	0.9881261742835561	5179.344972386494	410.42525096988714	5.522053923927304	11.3650021215816	105.79460230758487	5.003047252426203	28684.466281639303	3.993219468923565	0.20446261500894203	100.01386849694475	25.20358980194288	5.537579524171802	6.013874508867238	3.0260251150289
