	CDK2cycA	CDK2cycA_star_	Cdk2	CyclinA
0	0.0	0.0	1e-07	4e-07
1	1.9575761015763355e-08	1.6092518509934426e-09	7.88149871332432e-08	3.788149871332432e-07
2	2.0923050361771555e-08	3.421792062809675e-09	7.565515757541877e-08	3.7565515757541873e-07
3	2.069191322150104e-08	5.099635481139922e-09	7.420845129735905e-08	3.7420845129735897e-07
4	2.032604690549296e-08	6.638900507329884e-09	7.303505258717717e-08	3.730350525871771e-07
5	1.998858342079213e-08	8.050866770895694e-09	7.19605498083122e-08	3.719605498083121e-07
6	1.9683010837117862e-08	9.346426182150005e-09	7.097056298073214e-08	3.7097056298073204e-07
7	1.9404372955487978e-08	1.0535335015266965e-08	7.006029202924506e-08	3.7006029202924494e-07
8	1.9149612754905056e-08	1.162645873386403e-08	6.922392851123092e-08	3.692239285112308e-07
9	1.8916510534306397e-08	1.2627904373280868e-08	6.845558509241274e-08	3.684555850924126e-07
10	1.8703153507472766e-08	1.3547096124507808e-08	6.774975036801943e-08	3.677497503680193e-07
11	1.8507816591815545e-08	1.4390835281021831e-08	6.710134812716263e-08	3.671013481271625e-07
12	1.8328933286661536e-08	1.5165353766702156e-08	6.650571294663631e-08	3.6650571294663616e-07
13	1.8165079734660722e-08	1.587636285255114e-08	6.595855741278814e-08	3.65958557412788e-07
14	1.801496095745175e-08	1.652909756248372e-08	6.545594148006454e-08	3.654559414800644e-07
15	1.7877398409649786e-08	1.7128357158832767e-08	6.499424443151746e-08	3.6499424443151726e-07
16	1.7751318803191587e-08	1.767854206935636e-08	6.457013912745206e-08	3.645701391274519e-07
17	1.7635744096835977e-08	1.8183687585245846e-08	6.418056831791819e-08	3.64180568317918e-07
18	1.7529782523501294e-08	1.8647494627346777e-08	6.382272284915194e-08	3.6382272284915176e-07
19	1.7432620537113828e-08	1.9073357848363017e-08	6.349402161452317e-08	3.63494021614523e-07
20	1.7343515574776025e-08	1.9464391312509997e-08	6.3192093112714e-08	3.631920931127138e-07
21	1.7261789543085188e-08	1.9823451970617327e-08	6.291475848629751e-08	3.629147584862973e-07
22	1.718682294871525e-08	2.0153161127717355e-08	6.266001592356741e-08	3.626600159235672e-07
23	1.7118049603125536e-08	2.0455924081397663e-08	6.242602631547682e-08	3.6242602631547655e-07
24	1.7054951839711675e-08	2.0733948092384926e-08	6.221110006790342e-08	3.6221110006790317e-07
25	1.6997056189052597e-08	2.098925883374161e-08	6.201368497720582e-08	3.6201368497720557e-07
26	1.6943929464290757e-08	2.1223715451499584e-08	6.18323550842097e-08	3.6183235508420945e-07
27	1.689517521424289e-08	2.143902435735548e-08	6.166580042840168e-08	3.616658004284014e-07
28	1.6850430506689878e-08	2.1636751863061137e-08	6.151281763024904e-08	3.6151281763024875e-07
29	1.680936300853382e-08	2.1818335756227453e-08	6.137230123523878e-08	3.6137230123523846e-07
30	1.6771668333221223e-08	2.1985095908305383e-08	6.124323575847345e-08	3.6124323575847317e-07
31	1.6737067629085273e-08	2.213824399741193e-08	6.112468837350285e-08	3.6112468837350257e-07
32	1.670530538511796e-08	2.2278892421341567e-08	6.101580219354052e-08	3.6101580219354026e-07
33	1.6676147433197518e-08	2.240806246946526e-08	6.091579009733726e-08	3.60915790097337e-07
34	1.6649379128012858e-08	2.2526691816199424e-08	6.082392905578776e-08	3.6082392905578753e-07
35	1.6624803687883492e-08	2.26356413932636e-08	6.073955491885295e-08	3.607395549188527e-07
36	1.660224068140428e-08	2.2735701692982456e-08	6.06620576256133e-08	3.606620576256131e-07
37	1.6581524646377555e-08	2.2827598550375922e-08	6.059087680324656e-08	3.6059087680324635e-07
38	1.6562503828856243e-08	2.2911998447676444e-08	6.052549772346735e-08	3.6052549772346713e-07
39	1.6545039031331417e-08	2.2989513381175374e-08	6.046544758749325e-08	3.60465447587493e-07
40	1.652900256017506e-08	2.3060705326896305e-08	6.041029211292868e-08	3.604102921129284e-07
41	1.651427726340983e-08	2.3126090338489904e-08	6.035963239810032e-08	3.603596323981e-07
42	1.650075565073603e-08	2.3186142307914693e-08	6.031310204134933e-08	3.60313102041349e-07
43	1.6488339088514183e-08	2.324129641688551e-08	6.027036449460037e-08	3.6027036449460004e-07
44	1.6476937063089835e-08	2.32919523047135e-08	6.023111063219673e-08	3.602311106321964e-07
45	1.64664665064649e-08	2.333847697600785e-08	6.019505651752732e-08	3.6019505651752693e-07
46	1.6456851178874934e-08	2.3381207469741377e-08	6.016194135138376e-08	3.601619413513834e-07
