	APC_PS_VIIIa_l	APC_PS_Va_l	APC_PS_l	APC_f	APC_l	AT_f	II_f	II_l	IIa_AT_f	IIa_TM_PC_l	IIa_TM_l	IIa_f	IX_f	IX_l	IXa_AT_f	IXa_VIIIa_X_l	IXa_VIIIa_l	IXa_f	IXa_l	LIPID	PC_f	PC_l	PS_f	PS_l	TFPI_Xa_TF_VIIa_l	TFPI_Xa_l	TFPI_f	TF_VII_Xa_l	TF_VII_l	TF_VIIa_IX_l	TF_VIIa_IXa_l	TF_VIIa_X_l	TF_VIIa_Xa_l	TF_VIIa_l	TF_l	TM_l	VIII_IIa_l	VIII_Xa_l	VIII_f	VIII_l	VIII_mIIa_l	VIIIa_f	VIIIa_l	VIIIai_f	VIIIai_l	VII_Xa_l	VII_f	VII_l	VIIa_f	VIIa_l	V_IIa_l	V_Xa_l	V_f	V_l	V_mIIa_l	Va_f	Va_l	Vai_f	Vai_l	XI_IIa_l	XI_f	XIa_IX_l	XIa_l	X_f	X_l	Xa_AT_f	Xa_Va_II_l	Xa_Va_l	Xa_Va_mIIa_l	Xa_f	Xa_l	mIIa_AT_l	mIIa_f	mIIa_l
0	0.0	0.0	0.0	0.0	0.0	3400.0	1400.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	254723.7	60.0	0.0	300.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	1.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.1	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	170.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	8.595360250632853e-19	7.32120463671116e-17	2.050507333478501e-10	1.2563949061950037e-12	1.5751378550199864e-11	3399.9999996420497	302.2509017645307	1097.749098225971	1.0608868756692937e-10	1.0989940157032949e-10	2.698959940779689e-10	7.276726495325413e-10	0.2444110752568207	89.75530769407474	9.910773751713764e-10	7.980265589609121e-13	1.163672976561465e-12	3.5714185395698987e-07	0.0001323466100908728	84463.11680589743	12.841615254813233	47.15838474485476	1.4140418668322652	298.585958132963	8.14180199634647e-12	1.824590631772211e-06	2.4999981754012266	1.6443442770251718e-10	0.0009585567381223934	0.00014852589146998547	0.0	0.00017397415124919467	0.00021993001590082145	0.0004279990693289055	0.0030710139613524716	0.9999999996202051	3.1555450909316325e-12	5.702487755854073e-06	0.001653598835292446	0.6983404973344166	2.411802976917106e-11	1.5603286486235993e-09	1.997529707731448e-07	1.0087426518315883e-21	1.3482034897191176e-19	1.6931857483713076e-06	0.1538610580744343	9.845135752930865	0.0005296958599733448	0.0985428139103416	1.688114779128223e-10	0.0002760675546904056	0.06843306910689971	19.931273669291556	1.1770990616732827e-09	5.963151812165675e-08	1.7130980366558422e-05	3.82579052344419e-20	1.1413047401067285e-17	1.700314094953016e-10	29.999999999679776	3.2083946958268355e-11	1.181105195070886e-10	31.218690578063843	138.78039468256915	3.5685325792614993e-07	9.501417928163222e-10	9.88722810275548e-10	1.5020311492206511e-10	2.749676319429354e-05	0.00020769150196877376	8.526658108672655e-13	6.066217000542438e-11	5.5817107996244745e-09
2	5.876034199460176e-15	5.61099839898687e-13	1.291760766653227e-07	4.168459397396136e-10	5.108912119071693e-09	3399.9999972471387	302.25091800780507	1097.7490806808169	2.901936313156239e-08	2.541734663122328e-08	5.718392657229453e-08	7.876525149740954e-08	0.24440998293748434	89.75488150206756	7.509711068877298e-09	5.260442763320365e-11	7.396526854222864e-11	1.2667898874868334e-06	0.00046714506862538746	84463.09353950569	12.841617994689047	47.158381845191165	1.4140422516270266	298.58595761919656	2.1338533511322908e-10	1.3880331013220094e-05	2.4999861194556026	9.298630400372255e-10	0.0015298601943060195	0.00024008282797194038	0.0	0.000271273049394019	0.0003819931456525682	0.0006656809129243393	0.0019111087265027405	0.9999999173987274	3.6051798520844184e-10	2.2152937060411617e-05	0.0016535568898227288	0.6983225439180895	3.7145868972049157e-09	1.361529474040642e-08	1.7284380487800854e-06	2.291493411787406e-17	2.946093982508025e-15	5.984752597720068e-06	0.15384791491398123	9.84429192283812	0.0005280378751791075	0.0982372483466361	2.0307768322509414e-08	0.0011794599781421542	0.06842949692225289	19.930224479696392	1.8924214111030656e-07	5.812052208083044e-07	0.00016564921099612178	9.76699260740388e-16	2.8147406144667095e-13	1.9711334306712808e-08	29.99999993585188	1.2672286377767474e-08	3.176450034807893e-08	31.21837199090933	138.77892109345072	2.7160128636013685e-06	5.627083201495379e-08	5.81895453408861e-08	8.975869690457686e-09	9.768506353417362e-05	0.0007316457374352852	3.1967086691285074e-10	9.01226699395734e-09	8.130795668633392e-07
3	6.346734071471793e-13	6.292288404246832e-11	2.8929622115579447e-06	7.464685535530197e-09	9.095858661142641e-08	3399.9999911225555	302.25098645112206	1097.7489970840927	4.84278880503123e-07	3.6398447793038945e-07	8.018460858826055e-07	8.52559689716538e-07	0.24440865437231957	89.75436820937726	2.3132739849870265e-08	4.80645158810369e-10	6.697220133945989e-10	2.5098749747811075e-06	0.0009241173210784978	84463.06987296263	12.841620137916841	47.158376506649596	1.4140426319196076	298.58595447505485	1.2512603874418622e-09	4.272265533698615e-05	2.4999572760934035	2.239241524779573e-09	0.0018671353115725271	0.0002962521708834513	0.0	0.0003310470833825657	0.00048128094656553266	0.0008117213797291153	0.0012125596173648977	0.9999988341694368	3.953565485746267e-09	4.506404474788366e-05	0.0016534938936021023	0.6982957071673087	4.7887828240131183e-08	4.451713192856036e-08	5.637384383502396e-06	3.3341065281309786e-15	4.2643411038925973e-13	1.1810447791630797e-05	0.15383235656604807	9.843292422021765	0.0005296835226113111	0.09854628705916262	2.256430816277367e-07	0.0024791546259767465	0.06842371545389446	19.928532211436647	2.466532367475942e-06	1.9667843688219485e-06	0.0005592407541938351	1.4763215313005596e-13	4.2347874149485096e-11	2.1696049604128683e-07	29.999999027462334	2.326004766530798e-07	5.229766922159149e-07	31.21795274512421	138.77701127921102	8.363766716914312e-06	4.646821071695401e-07	4.796980039565345e-07	7.428394537088426e-08	0.00019309881123601226	0.0014424106476393951	6.266493235800228e-09	1.1521211597985192e-07	1.0340695995315667e-05
4	1.0282246597721793e-11	1.0247106572693681e-09	2.181231811145478e-05	4.988396227286357e-08	6.065053173074237e-07	3399.999978752009	302.25104730800024	1097.7488643513589	3.1078327809996205e-06	2.0580506735222555e-06	4.4894100225350765e-06	4.1207035930783285e-06	0.24440718029482383	89.75379782756036	4.999906423894707e-08	2.1313006034423668e-09	2.9567328538326434e-09	3.964104617585223e-06	0.001458459285050537	84463.04272266028	12.841618876597451	47.158356595609455	1.4140429956048481	298.58593519104227	4.097257797929592e-09	9.213210659167221e-05	2.4999078637961514	3.885828310816604e-09	0.002060900093593127	0.000330952298533872	0.0	0.000368032344955713	0.0005424461346169693	0.0009021027916037233	0.0007955583536104888	0.9999934525393045	1.9226697812041146e-08	7.188413998951704e-05	0.0016534132028399814	0.6982613712436255	2.601161684375932e-07	1.0232744053969223e-07	1.2944636136953711e-05	6.832815386248761e-14	8.7166178584073e-12	1.856313236893111e-05	0.15381164361838867	9.841961998169905	0.0005346263237692753	0.09946872710918996	1.104207497335512e-06	0.004018635523164139	0.06841592912215452	19.926255269513405	1.346705385543295e-05	4.530712568992664e-06	0.0012869508777822141	3.047528170163941e-12	8.721927365771474e-10	1.0569871273440315e-06	29.99999405218405	1.56136962707929e-06	3.329459193829499e-06	31.21747192808238	138.7748242146693	1.804543793540466e-05	1.8758215289871697e-06	1.9350860996665675e-06	3.00181994608987e-07	0.0003037791991904846	0.0022662180253360475	4.47217530672989e-08	6.231643815539331e-07	5.581316451004407e-05
5	1.0254467339720961e-10	9.995299092082482e-09	9.941747012585104e-05	2.0987647643967347e-07	2.547572306903744e-06	3399.9999547761086	302.2510867351788	1097.7485976277635	1.2703720720803012e-05	7.514970988941206e-06	1.62985406073017e-05	1.3558995020152033e-05	0.24440560454758908	89.75318596768649	8.955569608067972e-08	6.736780427630582e-09	9.324183074080656e-09	5.555969209170818e-06	0.002043263031260501	84463.01163272305	12.84160444234682	47.158285857665405	1.414043149575001	298.58585742285726	9.978268713816085e-09	0.00016447971634614701	2.499835510305386	5.6981125826653205e-09	0.0021691569481007236	0.0003529435367340005	0.0	0.00039152169792388815	0.00058106354859391	0.0009595229343332898	0.0005457756579328929	0.9999761864884045	6.348911769259043e-08	0.00010097169373935725	0.0016533137656175574	0.6982190782644342	9.360630872285045e-07	2.0104000346446966e-07	2.5419419251346305e-05	7.89201209725227e-13	1.004513573336392e-10	2.5851145526078408e-05	0.15378403090550824	9.840189242884566	0.0005428621011748294	0.1010037886211712	3.659456489266213e-06	0.005697239404888132	0.06840600940476065	19.92335557509625	4.8609592816075886e-05	8.694599874462925e-06	0.002468380630835541	3.4695870232690114e-11	9.90852800611318e-09	3.494093485579652e-06	29.999976410532927	6.559612153639061e-06	1.3535761430443733e-05	31.216952961337253	138.7724629857745	3.2232055241507894e-05	5.390543735335332e-06	5.558193430357279e-06	8.631384013478201e-07	0.0004233091776674844	0.0031555501594327825	1.9856019183023404e-07	2.2375055898596334e-06	0.00020010838921731138
6	6.555672632322896e-10	6.103661330438231e-08	0.0003361261232891351	6.699392475294585e-07	8.125034374913998e-06	3399.999908297442	302.25107554273046	1097.7480383171007	3.969423398728258e-05	2.1222516869813606e-05	4.5853179230642205e-05	3.5584065195122863e-05	0.2444039415633145	89.75253381817562	1.4282911059473314e-07	1.7578506938947394e-08	2.4292769907741864e-08	7.2522409835984295e-06	0.0026663957343710395	84462.97278737719	12.841554393326772	47.15807940136723	1.4140426855859105	298.5856211265989	2.0251632181195088e-08	0.00026114550832658304	2.499738834240042	7.575628157393867e-09	0.0022274075863255452	0.00036753086324432663	0.0	0.00040714704359207424	0.0006065515091110372	0.0009977370075143802	0.0003935981629522992	0.9999329243039002	1.6698866182741657e-07	0.00013130301217731627	0.0016531882444120682	0.6981656800024849	2.6400269130046555e-06	3.6869074761639494e-07	4.6609787654674685e-05	5.6169335484190175e-12	7.14487005028574e-10	3.342932681994498e-05	0.15374847816327156	9.837907323185776	0.0005543829206196568	0.10314998456647698	9.6467489474668e-06	0.007452279527185118	0.06839332537291495	19.91964746356363	0.00013735982213389393	1.520871938441481e-05	0.00431668614697573	2.392764407535775e-10	6.829109232281383e-08	9.196732456796619e-06	29.999927797707713	2.0876722171786094e-05	4.212883765261497e-05	31.216411277992062	138.76998930059958	5.120183030530232e-05	1.273421533469623e-05	1.3126481367554017e-05	2.039835143731665e-06	0.0005476833797211243	0.004080734333288562	6.636648228813223e-07	6.30057485108735e-06	0.0005630375656617256
7	3.400867439066672e-09	2.964292202947625e-07	0.0009399773982115497	1.7956834642122662e-06	2.1761319934940052e-05	3399.9998181864316	302.2509644223518	1097.7468910754787	0.00010465933336130861	5.113922206088681e-05	0.00011022546160991961	8.160258519847119e-05	0.24440216837611656	89.75182388078589	2.1068717191973212e-07	4.155947033680636e-08	5.739884766722412e-08	9.061921236398513e-06	0.003331212159613877	84462.91769298074	12.841422549984845	47.15756247656136	1.4140407658531369	298.5850189569188	3.629514198620019e-08	0.0003827810067230562	2.499617182698136	9.435615709715482e-09	0.002255134315962998	0.000377617347331535	0.0	0.0004179948867857168	0.0006240562091175939	0.0010242791101020535	0.00030087239994240817	0.9998386353163298	3.834440922483861e-07	0.00016227088303491112	0.00165301872967324	0.6980935216632167	6.40738996828207e-06	6.615653780362907e-07	8.362983735934271e-05	3.223848507504925e-11	4.0958526786127185e-09	4.1150931479001615e-05	0.153704460879948	9.835081733537363	0.0005691729732344848	0.10590435407792978	2.218050152779028e-05	0.00924673232140898	0.06837638167377312	19.91469219915481	0.0003337653799829679	2.5522654923084234e-05	0.00724327122784496	1.3043122983818125e-09	3.7182036022631274e-07	2.1128477039152224e-05	29.999812358644448	5.574976439720301e-05	0.00011076311411092069	31.215857177456776	138.76743479231752	7.509096370885047e-05	2.7056248600640656e-05	2.7886552725312507e-05	4.334730506678504e-06	0.0006745182162526004	0.005024069984901369	1.852584813226914e-06	1.5278614707791354e-05	0.0013644881978665134
8	1.519669568452398e-08	1.22551887600574e-06	0.0023108606405856263	4.2793856448021394e-06	5.1836538080706934e-05	3399.999644763819	302.2506653622161	1097.744613614436	0.00024640936934361283	0.00011154045154664249	0.00024004801902834355	0.00017227779338357003	0.24440021125541903	89.75101145453995	2.942758540084307e-07	9.331070205119957e-08	1.2882969214195247e-07	1.1043615252727148e-05	0.004059362455798503	84462.8299014815	12.84112041249077	47.15639982977776	1.4140357826228387	298.5836521160212	5.95359671437569e-08	0.000529637230934953	2.4994703032330987	1.126228633614898e-08	0.002264257910714449	0.0003849859577390867	0.0	0.000425957797032638	0.0006367362510798891	0.0010437772388720034	0.0002442140463084548	0.9996484115294256	8.1009433117328e-07	0.00019342150323751307	0.0016527691361451523	0.6979871750743959	1.4130746361860018e-05	1.1885180984368915e-06	0.00015024734799891096	1.5819196327250201e-10	2.0084148574712904e-08	4.8905157047634195e-05	0.15365172687598275	9.83169456091331	0.000587205146610272	0.10926181595337069	4.689300403545489e-05	0.011053194092522338	0.0683521795872169	19.907609514181605	0.0007365649185023042	4.2416056130161434e-05	0.012037611312261024	5.977725067628483e-09	1.7029741053152587e-06	4.465504960596624e-05	29.999562672844338	0.00013242575968298935	0.00026024634637214164	31.21530021533295	138.7648148748716	0.00010395764817147504	5.417648784808607e-05	5.583519706099591e-05	8.680692109045796e-06	0.0008020150150779373	0.005972228614127213	4.574888107506078e-06	3.3677847905193163e-05	0.0030065839875601155
9	6.220142736045616e-08	4.638528350635377e-06	0.005192557982240503	9.407800139543537e-06	0.00011392207874894055	3399.999314285008	302.25001569308523	1097.7401910400527	0.0005371622797244261	0.00022885141960804104	0.0004920970416324188	0.0003467961909276525	0.2443979115190051	89.7500051721324	3.955333580692707e-07	2.0536743992826184e-07	2.835236479298284e-07	1.3334905255469181e-05	0.004901543478761487	84462.67844089963	12.84048321534561	47.15396734464384	1.414024746129941	298.58077799515826	9.14001422460213e-08	0.0007016249144988425	2.4992982836853592	1.3024163850278738e-08	0.0022621139950943013	0.00039075099148678155	0.0	0.0004322219982426074	0.000646564355962263	0.0010591280100255777	0.00020911622488237376	0.9992790515387602	1.6310838364397473e-06	0.00022430716943899705	0.0016523705420243122	0.6978171906186026	2.9340735525417177e-05	2.1544279953866067e-06	0.0002723662857998861	6.883433913912606e-10	8.73559177128902e-08	5.658110349262244e-05	0.1535902444305605	9.827740231444087	0.0006084328181261995	0.11321362642862841	9.443438621487974e-05	0.012845084736028014	0.06831500184341317	19.896721980714073	0.0015297234890791118	7.110149015551602e-05	0.020179686523659448	2.418196234559301e-08	6.886493519121162e-06	8.994281754983381e-05	29.999053129357907	0.00029040254871699186	0.0005665252758262394	31.214752205395474	138.76213165776394	0.0001377937129416966	0.00010563912566155802	0.0001088708560545027	1.6927631828041996e-05	0.000928378772147567	0.006911832672316384	1.0363466110368532e-05	6.991659611154131e-05	0.006240440600263041
