	species_10	species_11	species_13	species_14	species_15	species_17	species_18	species_2	species_20	species_21	species_22	species_23	species_24	species_25	species_27	species_28	species_29	species_30	species_31	species_33	species_34	species_4	species_5	species_6	species_7	species_8
82	3.666666666408224	68992.54375074912	9627.479139810624	100.0	100.0	22.906979496365278	103.95468190722532	3028.1534501123656	594.9242008238768	25.884272383660527	100.0	129.59858509296433	100.0	83.50765131239459	506.2765307731619	11231.31515648148	19376.479645737032	62.20640035628362	100.0	100.0	100.0	392.3038411428265	457.408253050334	224295.53800134762	57745.619953606656	417560.7778584053
83	3.666666666659024	68992.14455966915	9627.527621636016	100.0	100.0	22.907079248544363	103.95123539950306	3028.1705160371243	602.2009079296123	25.88438515068447	100.0	129.60422492895316	100.0	83.49805557426946	512.1217305141952	11231.250167924174	19617.952850280264	62.206040390377126	100.0	100.0	100.0	392.30484423852914	457.4094261411413	227036.33176820527	57745.91074006982	422685.9546962301
84	3.6666666666743293	68991.74832354527	9627.57108091284	100.0	100.0	22.907167861542217	103.94798843853478	3028.1858185273227	609.4773807639435	25.88448532580316	100.0	129.6094935434797	100.0	83.48914132975757	517.9662824058362	11231.1856559293	19859.424662825888	62.205683045086694	100.0	100.0	100.0	392.30574358897854	457.4104779491193	229777.1322008597	57746.171401987594	427811.17139204923
85	3.6666666666589833	68991.35696309926	9627.609987309703	100.0	100.0	22.907246423163155	103.94493101982381	3028.1995237101423	616.7536329449861	25.88457413883078	100.0	129.61441410880542	100.0	83.48086216396084	523.8102325281163	11231.121933742907	20100.895097077515	62.20533005818382	100.0	100.0	100.0	392.30654890025835	457.411419803351	232517.9386065261	57746.40475637235	432936.42380513984
86	3.666666666674369	68990.97208681816	9627.644770665021	100.0	100.0	22.90731592563583	103.94205349055147	3028.2117790965426	624.0296774028492	25.88465271114879	100.0	129.61900834476842	100.0	83.47317466086596	529.6536238169853	11231.059263993891	20342.36417291487	62.204982887107576	100.0	100.0	100.0	392.30726899295496	457.41226203159624	235258.7503573036	57746.61338134106	438061.70818280726
87	3.6666666666589487	68990.59503145465	9627.675822729223	100.0	100.0	22.90737727076741	103.93934655084315	3028.2227233099843	631.305526404298	25.88472206234967	100.0	129.62329664166845	100.0	83.46603822044044	535.496496267831	11230.997864703077	20583.831915371848	62.204642741571725	100.0	100.0	100.0	392.30791198826967	457.41301410689783	237999.56688461453	57746.799626557804	443187.02112540434
88	3.666666666674398	68990.22689309044	9627.703500697991	100.0	100.0	22.907431278031407	103.93680125642345	3028.232481335558	638.5811915775523	25.884783118543854	100.0	129.62729830666404	100.0	83.4594148891135	541.3388871266654	11230.937914933595	20825.298353739803	62.20431061550305	100.0	100.0	100.0	392.3084852371813	457.4136846437342	240740.38767407142	57746.965634438544	448312.35955767677
89	3.6666666666589243	68989.86855605393	9627.728129981355	100.0	100.0	22.90747869180111	103.93440901878895	3028.241167554476	645.8566839371847	25.884836721360173	100.0	129.63103144957464	100.0	83.45326919927258	547.1808310697589	11230.879558944875	21066.763520775807	62.20398730964464	100.0	100.0	100.0	392.30899547543595	457.41428149441896	243481.21226062134	57747.11335674556	453437.7206991728
90	3.666666666674419	68989.52071799967	9627.75000690149	100.0	100.0	22.907520187437488	103.93216160337168	3028.248885935561	653.1320139089603	25.884883634020138	100.0	129.63451319667257	100.0	83.44756801740951	553.0223603723427	11230.822910816287	21308.2274520054	62.20367345746076	100.0	100.0	100.0	392.3094488078429	457.4148118167005	246222.04022418146	57747.24457078323	458563.1020383008
91	3.6666666666589083	68989.1839133028	9627.769401144142	100.0	100.0	22.907556377701905	103.93005112594557	3028.2557311878254	660.4071913544864	25.884924549374322	100.0	129.63775959731075	100.0	83.44228040055737	558.8635050669716	11230.768057749923	21549.690185110183	62.20336954332266	100.0	100.0	100.0	392.3098508147464	457.41528211353864	248962.87118559645	57747.36089408658	463688.5013081252
92	3.66666666667443	68988.85853321121	9627.786558006152	100.0	100.0	22.90758781773636	103.92807004755952	3028.2617894313	667.6822255955591	25.884960094763485	100.0	129.6407858121502	100.0	83.43737746065815	564.7042930921141	11230.715063844194	21791.15175939158	62.20307592343459	100.0	100.0	100.0	392.310206551622	457.41569831467734	251703.7048029594	57747.463797916476	468813.9164643847
93	3.6666666666589007	68988.54484469365	9627.801700485268	100.0	100.0	22.907615010572812	103.92621116822893	3028.2671389754196	674.9571254381117	25.884990838994547	100.0	129.64360603609634	100.0	83.43283223651062	570.544750431515	11230.663972700291	22032.612215302914	62.20279284039331	100.0	100.0	100.0	392.3105206331807	457.4160657961117	254444.5407682353	57747.554619779294	473939.345665302
94	3.6666666666744314	68988.24300654732	9627.815031171727	100.0	100.0	22.90763841123755	103.92446761959982	3028.2718509685187	682.2318991956856	25.885017296250872	100.0	129.6462336640334	100.0	83.42861957295074	576.3849012448461	11230.614810493742	22274.071594042583	62.20252044001653	100.0	100.0	100.0	392.3107972352354	457.4163894576341	257185.3788041755	57747.634574787044	479064.78725314554
95	3.6666666666589043	68987.95308451244	9627.826734018166	100.0	100.0	22.907658431465215	103.92283285677203	3028.275990017668	689.5065547123586	25.8850399321305	100.0	129.6486812272709	100.0	83.42471600692814	582.2247679901418	11230.567588013166	22515.52993720194	62.20225878293421	100.0	100.0	100.0	392.3110401655264	457.4166737337428	259926.21866149688	57747.70476625865	484190.23973736
96	3.6666666666744243	68987.67506406955	9627.836975936321	100.0	100.0	22.90767544308043	103.92130064944607	3028.279614755899	696.7810993850762	25.88505916677761	100.0	129.65096053931498	100.0	83.42109966014725	588.0643715384895	11230.522303153131	22756.987286461957	62.20200785805265	100.0	100.0	100.0	392.3112528645386	457.4169226630196	262667.0601163016	57747.766195311015	489315.70177915157
97	3.6666666666589167	68987.40886249625	9627.845908289646	100.0	100.0	22.907689782024335	103.91986507254079	3028.282778355382	704.0555401853458	25.885075380106425	100.0	129.65308264354204	100.0	83.41775013795396	593.903731281423	11230.47894249178	22998.443683333448	62.2017675917242	100.0	100.0	100.0	392.31143846654487	457.4171398943836	265407.90296772355	57747.81976979737	494441.1721774104
