[Glucose in]	[MgATP]	[Glucose 6-phosphate]	[MgADP]	[Fructose 6-phosphate]	[Fructose 1,6-phosphate]	[Glyceraldehyde 3-phosphate]	[Dihydroxyacetone phosphate]	[Phosphate]	[NAD]	[1,3-Bisphospho-D-glycerate]	[NADH]	[3-Phospho-D-glycerate]	[2,3-Bisphospho-D-glycerate]	[2-Phospho-D-glycerate]	[Phosphoenolpyruvate]	[Pyruvate]	[Lactate]	[NADPH]	[NADP]	[AMP]	[ADP]	[Phospho-D-glucono-1,5-lactone]	[Ribulose 5-phosphate]	[Oxidized Glutathione]	[Reduced Glutathione]	[Xylulose 5-phosphate]	[Ribose 5-phosphate]	[Sedoheptulose 7-phosphate]	[Erythrose 4-phosphate]	[MgAMP]	[ATP]	[Mg]	[MgGri23P2]	[Protein1 bound NADP]	[Protein1]	[Protein1 bound NADPH]	[Protein2 bound NADP]	[Protein2]	[Protein2 bound NADPH]
4.5663	1.4	0.0394	0.1	0.0153	0.0097	0.0061	0.1492	0.9992	0.0653	0.0005	0.0002	0.0658	2.0601	0.0084	0.0109	0.084	1.6803	0.004	0.0	0.0	0.25	0.025	0.0047	0.0004	3.1136	0.0127	0.014	0.0154	0.0063	0.0	0.25	0.8	0.5	0.0	0.0	0.024	0.0	0.0	0.024
4.566299986602411	1.4607449350443442	0.039400017538670534	0.1470441323355463	0.015300308063332052	0.009699716143662983	0.006111995708736622	0.14920120257808722	0.9992132292133616	0.06531488983290591	0.0004866687135444293	0.00018511016709410485	0.06580008143488748	1.9227695240834743	0.008400031019180042	0.010900001082677824	0.08399829847371704	1.6803016856570885	0.0049755682751401326	1.1127170663558244e-09	0.00019145985513582982	0.2025653276242979	0.02500000635993058	0.004700003281472694	0.0003999781489658841	3.1136000437020677	0.012699973983709995	0.013999996365625416	0.015399998737545231	0.006300001678906832	3.62936971680744e-06	0.18945051577095826	0.5548768163335662	0.6373304869168255	3.2972221214704048e-09	4.8138945175354906e-05	0.023951857757602522	6.549853145639652e-08	0.0009274304426818409	0.02307250405878671
4.5662999766512975	1.4605489766653903	0.03940003220496459	0.14719125849551554	0.015300615692193044	0.009699434312183898	0.006118295402907845	0.14920263908081408	0.999220999111876	0.06532377641430526	0.00047800113669984186	0.00017622358569475147	0.06580095916925272	1.9216689757770908	0.008400062075442319	0.010899974329377393	0.08399717326737637	1.680302822829015	0.004975565396492028	1.858665160694789e-09	0.00038384381409715674	0.20202022197313713	0.025000012745861784	0.004700006455482072	0.0003999562124747578	3.11360008757505	0.012699948264822918	0.013999992745195115	0.015399997110893614	0.006300003934478105	9.63972018632768e-06	0.18984605933167312	0.5538190814880769	0.6384310436308301	7.2958983521418e-10	4.813897213868097e-05	0.023951860298271482	1.374494834240481e-07	0.0009274282830185041	0.023072434267498075
4.566299966707329	1.4606675276267578	0.03940004741549784	0.14702575054421158	0.015300922772175745	0.009699153611301501	0.006121229669452159	0.14920419549146496	0.9992255258381363	0.06532908745402989	0.0004728790959538308	0.0001709125459701121	0.06580153599996666	1.9217022721898915	0.00840009315796205	0.010899948015697459	0.08399638201451395	1.6803036255979786	0.0049755625195399	2.60533729470659e-09	0.0005747017722379439	0.2017904624305173	0.02500001913136403	0.004700009571141518	0.0003999342782244194	3.1136001314435506	0.012699922729146558	0.013999989132166636	0.015399995298624465	0.006300006486981992	1.5970753260245094e-05	0.18992558687301464	0.5538929970518295	0.6383977540239401	6.83306685646214e-10	4.813899990555799e-05	0.023951860316787758	2.0687400723823967e-07	0.0009274261249716335	0.023072367001021134
4.566299956735494	1.460851596505027	0.039400063203776814	0.14687607602592986	0.015301229262563233	0.009698873446285713	0.006122249899935192	0.1492057998934404	0.999228187575796	0.06533233697844562	0.0004698134326960881	0.00016766302155438	0.06580192233226292	1.9216576518751398	0.008400124246941656	0.010899922320145451	0.08399578806898893	1.6803042304327458	0.004975559642644537	3.3515327943349737e-09	0.0007643513907189966	0.20154751422427222	0.025000025516439178	0.0047000126289975614	0.00039991234621463144	3.11360017530757	0.01269989730455781	0.013999985522632439	0.015399993413318968	0.00630000916003243	2.2283350794729114e-05	0.18993817850325662	0.5538076639048588	0.6384423802133887	7.904292896594369e-10	4.8139027487584035e-05	0.023951860182083128	2.761413182884651e-07	0.0009274239666897439	0.023072299891991974
4.566299946725218	1.4610500046706452	0.03940007957860682	0.14669969332511265	0.015301535139999446	0.009698593456930533	0.006122217301527975	0.14920740883019804	0.9992298012965927	0.06533442565467416	0.0004679117915900257	0.0001655743453258469	0.06580219319897057	1.9216757139508984	0.008400155329234356	0.01089989722587036	0.08399530735795159	1.68030472142432	0.004975556765836146	4.097384090586492e-09	0.0009528712432335402	0.2013336977498586	0.02500003190108876	0.004700015629541042	0.0003998904164451277	3.1136002191671093	0.012699871947310143	0.013999981914229147	0.015399991522999501	0.006300011847033084	2.8572046031424725e-05	0.18993516096511787	0.5537974064618513	0.6384243234963584	9.100505282842911e-10	4.8139054727785374e-05	0.02395186003522169	3.453922355999975e-07	0.0009274218084924492	0.02307223279927196
4.566299936669456	1.4612081669136703	0.03940009669970698	0.14653364727077475	0.015301840218298642	0.00969831349727298	0.0061213391741222	0.1492089998799568	0.9992305515072102	0.06533555362932629	0.0004669830669473531	0.00016444637067371671	0.06580235512641873	1.9216824059537607	0.008400186394389556	0.010899872933186311	0.08399492411720512	1.6803051141359207	0.004975553889266705	4.843368879445928e-09	0.0011399235835695787	0.20111266726931534	0.02500003828519429	0.004700018557056598	0.0003998684895476191	3.1136002630209045	0.012699846652313723	0.013999978305981067	0.015399989663419466	0.006300014493676043	3.4821893699489695e-05	0.18997077306896976	0.5538057274932027	0.6384176364286516	1.0794644772588413e-09	4.813908214327345e-05	0.02395185983839225	4.145878178699923e-07	0.0009274196504923092	0.023072165761689828
4.566299926581677	1.4613777880743004	0.03940011438807173	0.14637084534949069	0.015302144675787827	0.009698033416945247	0.006120159894595782	0.1492105599807931	0.999230969227095	0.06533631029063355	0.0004664358426476162	0.00016368970936646334	0.06580246824255716	1.9216881284256921	0.00840021743952948	0.010899849239145271	0.0839945797604454	1.6803054673602131	0.004975551012852359	5.589314662709386e-09	0.001325874977265586	0.2008907306850193	0.025000044668884263	0.004700021429032607	0.0003998465648520664	3.1136003068702958	0.012699821387402287	0.013999974696906685	0.015399987854430761	0.006300017067012204	4.102844954365982e-05	0.18999373246437953	0.5537984193793869	0.6384119187472772	1.2564279405148861e-09	4.813910955678689e-05	0.023951859634015277	4.837717652830872e-07	0.0009274174926102325	0.023072098735624495
4.566299916453677	1.4615448876892128	0.03940013278642328	0.14620902963168306	0.01530244835093976	0.009697753123661022	0.006118791978965615	0.14921207384638174	0.9992311514483685	0.06533680063025234	0.00046616985201796427	0.00016319936974768326	0.06580253578955204	1.921693524980364	0.008400248454929744	0.01089982629065138	0.08399426621861991	1.6803057890198903	0.004975548136645005	6.335208773360418e-09	0.0015104541691056995	0.20067069392108217	0.025000051052054207	0.004700024231748047	0.0003998246429217162	3.1136003507141568	0.012699796152380495	0.013999971086375036	0.015399986120613496	0.00630001953003836	4.718744436562106e-05	0.19001774714454972	0.5537923683398587	0.6384065268948785	1.4353785852020842e-09	4.813913696823149e-05	0.02395185942765319	5.529486086396473e-07	0.0009274153348855447	0.023072031716505827
4.566299906293366	1.4617110915746656	0.039400151757638405	0.1460481645280982	0.015302751392112776	0.009697472635144472	0.00611734573436615	0.14921354755132876	0.9992312146208299	0.0653371551268231	0.00046605104772681424	0.0001628448731769176	0.06580257529504883	1.9216988565583675	0.008400279443679081	0.010899803942166704	0.0839939694230995	1.6803060933312064	0.004975545260604567	7.0810622267011294e-09	0.0016939312222751318	0.20045201071524585	0.025000057434804355	0.004700026978733064	0.0003998027232305472	3.113600394553539	0.012699770938447307	0.013999967474501227	0.01539998445199733	0.006300021896939685	5.331088816617933e-05	0.19004149107154808	0.5537862330177015	0.6384011999913674	1.6147119902978012e-09	4.813916437844611e-05	0.023951859220909567	6.221209338203964e-07	0.0009274131772883455	0.023071964701777845
