	atp	fbp	phos
0	1.0	2.0	9.4
1	0.8141818879513603	2.4820028499408955	8.702895948382256
2	0.8785585316501644	2.9028950829600593	7.94878293413858
3	0.9279844571800412	3.2738280012490226	7.369324027784635
4	0.9588999576091126	3.6134079493973785	6.917138356312845
5	0.9786343899429601	3.933033549330641	6.552564246410722
6	0.9915931461184542	4.239589039022265	6.250746901271807
7	1.0002110496351255	4.537448111721394	5.995627858013813
8	1.005899062966619	4.829539195115999	5.776258246428073
9	1.00950761940149	5.117920172752878	5.584824557509286
10	1.0115651474497673	5.404110842277365	5.415517845237356
11	1.0123965023715518	5.689296370581469	5.263861224973309
12	1.0121922075708847	5.974462291645025	5.12627168556688
13	1.011044235750712	6.260490911794593	4.999764165467847
14	1.00896286116616	6.548238687640503	4.881737787573723
15	1.0058836875647044	6.838605064629007	4.769801849206845
16	1.0016614277773206	7.1326041752531415	4.661630819950122
17	0.9960564961330146	7.431449829175035	4.554805525368295
18	0.9887060041898343	7.73665707291975	4.446654944692691
19	0.9790770036970649	8.050189218023256	4.334041658800829
20	0.9663876007022264	8.374661417445072	4.213086423715675
21	0.9494848105645739	8.713645729073402	4.078764699712901
22	0.9266224574352477	9.072146211612017	3.9243059797865287
23	0.8950738539009064	9.457364434589547	3.7402474880282157
24	0.8504166128365696	9.879980282287697	3.5128920070686993
25	0.7851236444854901	10.356374780372422	3.221759338031521
26	0.6858604714072597	10.912353950533928	2.8356190369220835
27	0.5298247394395529	11.587197356341651	2.3092044843088675
28	0.30121324734726684	12.412881605506247	1.6089374720970968
29	0.1177585498958521	13.246866304860342	0.9126727617395684
30	0.061590024991966585	13.864961907386352	0.5687351749430269
31	0.048700346548413806	14.347482938242326	0.4708084614723765
32	0.045910623515312644	14.789856538307404	0.4477591303225497
33	0.04531976439010334	15.222992165615885	0.4420889563818402
34	0.04519698082992731	15.65415207527652	0.4402005127148863
35	0.04517302343258102	16.08490605542407	0.4391485218369073
36	0.04516980776476692	16.51558616387278	0.4383068515834513
37	0.04517090068791192	16.946261998594576	0.43754132445799554
38	0.04517286662173061	17.376947925064922	0.4368214290427318
39	0.04517498747731218	17.807646707228123	0.4361386994106167
40	0.04517710606458654	18.238358765611515	0.43548929926722596
41	0.04517919598073233	18.669083999392978	0.43487068501236303
42	0.04518123948399721	19.099822163062846	0.4342806050545071
43	0.045183241983216556	19.53057299067117	0.4337171663418315
44	0.045185198170872305	19.961336200924322	0.4331785682655802
45	0.04518711181596831	20.392111521390586	0.43266322897826603
46	0.04518898025198717	20.82289867230266	0.4321696507587998
47	0.04519080657686901	21.25369738473102	0.4316965022459756
48	0.04519258886247677	21.684507384205805	0.4312425206935088
49	0.045194330511281744	22.115328410652726	0.4308065842826776
50	0.045196029212160906	22.546160195941603	0.4303876130124653
51	0.04519768978190085	22.977002494572854	0.42998466622952447
52	0.045199307882189656	23.407855039261417	0.42959679308305293
53	0.04520088859545053	23.838717590452426	0.429223209855534
54	0.04520243314719363	24.269589917671823	0.4288631257621935
55	0.04520393973751299	24.700471789517252	0.42851582279590367
56	0.045205412272174596	25.131362979725928	0.4281806294909755
57	0.04520684880322144	25.562263269625344	0.42785692328612035
58	0.0452082528613475	25.993172444148346	0.42754412309484047
59	0.04520962313236155	26.42409029636412	0.4272416869406755
60	0.045210962548960155	26.855016623367284	0.42694910775638617
61	0.045212270274758604	27.285951229742796	0.42666591141677024
62	0.04521354875257068	27.71689392430256	0.4263916534025516
63	0.045214797502044796	28.14784452271891	0.42612591714571396
64	0.045216018572414106	28.57880284495819	0.42586831131600783
65	0.04521721174572279	29.0097687172735	0.4256184684237904
66	0.04521837875404403	29.44074197018277	0.42537604260082074
67	0.04521951957064583	29.871722439970494	0.4251407084131346
68	0.04522063647255535	30.302709979778758	0.42491218374553213
69	0.04522172834373567	30.733704430625483	0.4246901359398838
70	0.045222799486457306	31.16470564326971	0.4244742865769817
71	0.0452238405971873	31.59571345715912	0.4242644202790842
72	0.04522486459001969	32.02672773216412	0.42406027804352747
73	0.04522586662061058	32.45774833887757	0.42386161834392266
74	0.04522684522239053	32.888775140080426	0.42366823356253597
75	0.04522780794213758	33.319808005764706	0.4234799109378915
76	0.04522874372890268	33.75084681416958	0.42329645825237605
77	0.045229671580917195	34.18189143614125	0.423117685102552
78	0.04523056318217025	34.61294176583477	0.422943418260225
79	0.0452314635108876	35.043997668724806	0.4227734840424973
80	0.04523230495155963	35.475059062586055	0.4226077315409353
81	0.045233193291415875	35.906125791046506	0.42244599857160064
82	0.04523403333087456	36.33719779225396	0.42228814787002517
83	0.045234819947481575	36.76827496686166	0.42213404099635526
84	0.04523562009897556	37.19935718250868	0.4219835412115297
85	0.045236405094268475	37.630444348070675	0.4218365222370637
86	0.04523717571637754	38.061536376022936	0.4216928729280194
87	0.04523793197825955	38.49263317655674	0.42155247494426823
88	0.04523867386847914	38.92373466790798	0.42141522769748907
89	0.04523940369974549	39.35484075777547	0.42128101069962076
90	0.045240119216560855	39.78595136352006	0.42114972252185967
91	0.04524081861925822	40.217066395924014	0.42102128421360524
92	0.045241508935739236	40.64818576624245	0.4208955938075042
93	0.0452421860197836	41.0793094064879	0.42077256891025366
94	0.0452428508212458	41.5104372406436	0.4206521245898885
95	0.04524350422668566	41.94156919449085	0.42053417979272584
96	0.045244145934209445	42.37270519593878	0.4204186575106976
97	0.04524477675140536	42.803845174200944	0.42030548380974597
98	0.045245396498856644	43.23498906070066	0.4201945878386794
99	0.045246005849934066	43.6661367881937	0.4200859014821024
