time	A1	A2	C1	C2	IPTG
0.0.	0.1	0.1	20.0	20.0	1000
3.0.	1.583894803580868	2.766634723716045	1.9736829001704161	28.749592191391802	1000
6.0.	1.409900408093768	5.124385425327864	1.118764242048114	37.98789975958235	1000
9.0.	1.238870588068995	7.328382900289149	1.21169538571976	46.69501180442426	1000
12.0.	1.183673827485294	9.290547542033702	1.561242704793569	53.20099207335662	1000
15.0.	1.2566455664478942	10.828159900982056	2.087888932262354	56.68882115060561	1000
18.0.	1.464877036302719	11.814446309240756	2.8414524249022133	57.1741891034551	1000
21.0.	1.8417348585278621	12.198456918580604	4.002478749314756	54.77567390879246	1000
24.0.	2.482664850865044	11.94932883269092	5.988793384361836	49.3066792160679	1000
27.0.	3.611734548441215	11.024369069089655	9.675450138712455	40.5944602168578	1000
30.0.	5.6615403141344	9.444202982546958	16.29722440737455	29.689510686204866	1000
33.0.	9.042176307073458	7.446829253375384	24.943964077737107	19.350757196157836	1000
36.0.	13.030427158814852	5.455706669974349	28.76540021433846	11.933114040446718	1000
39.0.	15.313022641055351	3.8268703949843523	22.18440581676204	7.788534889321175	1000
42.0.	14.383457215031925	2.686033222004234	10.82589272114182	5.899863732901004	1000
45.0.	11.333552984869373	1.9726926352339662	3.344827368200375	5.175237276202807	1000
48.0.	8.098249167609618	1.564930905443298	0.7118791425955061	5.020527048474601	1000
51.0.	5.570313704970057	1.366629467845607	0.119341694339576	5.340094458159133	1000
54.0.	3.789680112820191	1.341549142372652	0.017970318263048003	6.413697079553883	1000
57.0.	2.5715729994792653	1.524157879524064	0.0027715565041170004	8.904155366727482	1000
60.0.	1.7440258204612782	2.032874930131477	0.000529447900407	13.938918329231099	1000
63.0.	1.182648658847364	3.066657663434178	0.000167711702529	22.763421204276813	1000
66.0.	0.8019536469571921	4.799410758974795	0.000106558404885	35.261259508645004	1000
69.0.	0.543809651809133	7.140603502020878	0.000110602848994	48.55412590477429	1000
72.0.	0.368773219213791	9.648272051146435	0.00013459207654300002	59.009107952395006	1000
75.0.	0.25009262412477	11.832368879729582	0.00016472392185900003	65.44941515551076	1000
78.0.	0.169626361683015	13.45974312049733	0.00019769472815100002	68.84058656172951	1000
81.0.	0.115073010829045	14.549214377960624	0.000234509485573	70.48078654886558	1000
84.0.	0.078091724516974	15.228472039227839	0.00027713914603100004	71.24207317770704	1000
87.0.	0.053027287238890004	15.632216036457029	0.00032750303838700005	71.58892508115898	1000
90.0.	0.03604551128516	15.864413831806457	0.00038743187754200004	71.74573306403744	1000
93.0.	0.024546998443605	15.994848705583602	0.00045883439279400005	71.81641525641717	1000
96.0.	0.016769669085305	16.066859644025644	0.0005438530839560001	71.8482377064727	1000
99.0.	0.011519281530251	16.106094828055046	0.000644986192469	71.8625430035748	1000
102.0.	0.007986732265628	16.127251547929735	0.0007651910164810001	71.86894376567744	1000
105.0.	0.005624196926738	16.138562730481212	0.0009079842527180001	71.87176700340521	1000
108.0.	0.004061170694395	16.14456388602699	0.0010775504598530001	71.87296034821692	1000
111.0.	0.003047566462694	16.147722128625677	0.0012788663341870002	71.87339975555699	1000
114.0.	0.0024151648884250003	16.149366139182373	0.0015178467305840002	71.87347775780884	1000
117.0.	0.002051514476974	16.150205651165976	0.0018015177820150002	71.87336819924892	1000
120.0.	0.0018822811628400001	16.150617038419078	0.002138222642626	71.87314542729091	1000
123.0.	0.0018593361766110002	16.15079841593949	0.0025378660356210002	71.87283793153513	1000
126.0.	0.0019527454635550002	16.15085306930631	0.0030122047886730003	71.8724524062668	1000
129.0.	0.002145417163478	16.150833979273408	0.0035751928281690004	71.8719844292832	1000
132.0.	0.0024295662818070002	16.15076741862912	0.004243390671384	71.87142304885839	1000
135.0.	0.0028044291167740004	16.150665369311334	0.0050364513250330005	71.8707525595041	1000
138.0.	0.00327484592578	16.150531996578522	0.005977696712205	71.8699529354071	1000
141.0.	0.0038504569821930005	16.1503669717255	0.007094801365321	71.86899956844023	1000
144.0.	0.004545343775579001	16.150167120667334	0.008420603212556001	71.86786258078203	1000
147.0.	0.005378006670975001	16.1499271738548	0.009994064936294001	71.86650580453133	1000
150.0.	0.006371611724182	16.149640019473	0.011861413699843	71.86488543066125	1000
153.0.	0.0075544685850870005	16.14929666292213	0.014077492150684	71.86294827588016	1000
156.0.	0.008960722637837001	16.148885988499487	0.016707359673444	71.86062957395032	1000
159.0.	0.010631260568794001	16.148394359692457	0.019828190084146	71.85785015486547	1000
162.0.	0.012614841406524	16.14780505873193	0.023531520591671	71.85451282265177	1000
165.0.	0.014969476165775002	16.147097540998455	0.027925917258374	71.85049767313237	1000
168.0.	0.017764089620943002	16.14624645798459	0.033140134870637	71.84565599854207	1000
171.0.	0.021080508313365002	16.145220378893125	0.039326864815912	71.83980229572026	1000
174.0.	0.025015830486276	16.143980111687192	0.046667184368724	71.83270371413604	1000
177.0.	0.029685247153753	16.14247648556225	0.05537584645289301	71.8240660287297	1000
180.0.	0.035225400123257006	16.14064740363375	0.06570758324925001	71.81351487151314	1000
183.0.	0.041798384205845	16.138413900809088	0.077964644472912	71.80057046370227	1000
186.0.	0.04959652969380501	16.1356748385326	0.09250585917958501	71.78461339733963	1000
189.0.	0.058848141687217005	16.1322997227817	0.10975761090053901	71.7648380353067	1000
192.0.	0.06982443194047501	16.1281189260818	0.130227270329728	71.74018870357516	1000
195.0.	0.082847968089785	16.122910301416333	0.15451987225031402	71.70927184767662	1000
198.0.	0.09830310369698501	16.116380755124393	0.18335921225715401	71.67023442237331	1000
201.0.	0.116649073044225	16.10814073468219	0.217615173418671	71.62059451615174	1000
204.0.	0.138436792404652	16.09766868687198	0.258340144003745	71.55700383028262	1000
207.0.	0.164330999812648	16.08426119157676	0.306819152221635	71.47491188353759	1000
210.0.	0.195140354294175	16.066962406886994	0.364641350849331	71.3680865433176	1000
213.0.	0.23185979866795903	16.044463206623284	0.433805695600991	71.22792087381443	1000
216.0.	0.27573240688501405	16.014955123079563	0.5168828837949131	71.04241539528418	1000
219.0.	0.328343104418066	15.975915412047136	0.6172723826230371	70.79465472914067	1000
222.0.	0.391766061483842	15.923784406266046	0.739624872956262	70.46047371298447	1000
225.0.	0.468805299120892	15.853469441764746	0.8905620585286371	70.00478323864206	1000
228.0.	0.563402919329975	15.757560719249316	1.079952233609009	69.37560966264064	1000
231.0.	0.6813613823468331	15.625053904466471	1.3232738241633402	68.49412455015923	1000
234.0.	0.8316835526571721	15.439206766623201	1.6462280546232622	67.23752217518734	1000
237.0.	1.029199207259877	15.173861274773063	2.094296048962835	65.40926985166806	1000
