	T
0	120.0
1	120.5414513747251
2	121.08521643867637
3	121.63136555666344
4	122.17995512804326
5	122.73101135256088
6	123.28455041196933
7	123.84058518733416
8	124.39912749494059
9	124.96018883063464
10	125.52377947538886
11	126.08991039436937
12	126.65859389679214
13	127.2298418981909
14	127.8036662559683
15	128.38007866131252
16	128.95909080425926
17	129.5407143950674
18	130.12496120040893
19	130.71184304356632
20	131.3013718021055
21	131.8935594062499
22	132.48841785136014
23	133.0859591895807
24	133.6861955241157
25	134.2891390154307
26	134.89480186878728
27	135.50319634603088
28	136.11433476686796
29	136.7282295073857
30	137.3448929993053
31	137.96433772679242
32	138.58657623380952
33	139.2116211226272
34	139.83948505170068
35	140.4701807354938
36	141.10372094536538
37	141.74011851034598
38	142.3793863174959
39	143.02153731206252
40	143.66658449765848
41	144.31454093651297
42	144.96541974975668
43	145.6192341177023
44	146.2759972801131
45	146.93572253646735
46	147.59842324622497
47	148.2641128290979
48	148.93280476532266
49	149.60451259593364
50	150.27924992303738
51	150.95703041008787
52	151.6378677821505
53	152.32177582619227
54	153.00876839138127
55	153.6988593893547
56	154.39206279448734
57	155.08839264417097
58	155.78786303913228
59	156.49048814366742
60	157.19628218594357
61	157.90525945830464
62	158.61743431756338
63	159.33282118528703
64	160.0514345480854
65	160.77328895790376
66	161.4983990323181
67	162.22677945481843
68	162.95844497511922
69	163.6934104094797
70	164.43169064099038
71	165.1733006198602
72	165.91825536371564
73	166.66656995794077
74	167.41825955592824
75	168.1733393794018
76	168.93182471874348
77	169.69373093330603
78	170.45907345171844
79	171.22786777219426
80	172.00012946284482
81	172.7758741619953
82	173.55511757847427
83	174.33787549198203
84	175.12416375341448
85	175.91399828515378
86	176.70739508137623
87	177.50437020838638
88	178.30493980498278
89	179.10912008271902
90	179.91692732625523
91	180.72837789371076
92	181.54348821699227
93	182.36227480211582
94	183.18475422953767
95	184.01094315449274
96	184.84085830733434
97	185.67451649385828
98	186.51193459566875
99	187.35312957052227
100	188.19811845265522
