time	EC	Fraction_Inactive_Channels	Rho	Y	Z
0.0.	0.0	0.0	0.0	0.36	0.0
0.0.12.0	-0.178298428638301	-0.44954522210781606	0.44954522210781606	0.47395408369829506	0.064344344940006
0.0.24.0	-0.33719122253989403	-0.692094862776756	0.692094862776756	0.6263049419875031	0.070886280552391
0.0.36.0	-0.48764841390336205	-0.8199119528754991	0.8199119528754991	0.768938756427271	0.078709657476091
0.0.48.0	-0.6265762908893681	-0.880830843178371	0.880830843178371	0.8952748306564831	0.091301460232884
0.0.6.0	-0.670042243541441	-0.07439262780257101	0.07439262780257101	0.6122733508738031	0.41776889266763906
0.0.72.0	-0.61958982487831	-0.29882029308961905	0.29882029308961905	0.8046304394318	0.17495938544651002
0.0.84.0	-0.556984430646784	-0.14106726145694	0.14106726145694	0.662201799464887	0.25478263118189703
0.0.96.0	-0.514644332650806	-0.20772440613349702	0.20772440613349702	0.6004466548011971	0.274197677849609
1.0.08.0	-0.45251411550825005	-0.22689387187150703	0.22689387187150703	0.57836202836987	0.234152087138381
1.0.2.0	-0.39238381013606505	-0.202965392271335	0.202965392271334	0.509921384185413	0.242462425950652
1.0.3199999999999998.0	-0.345556045974167	-0.224391981797704	0.224391981797704	0.45775748643045605	0.24779855954371102
1.0.44.0	-0.300125998793464	-0.24891720054899602	0.24891720054899502	0.43092598815555105	0.229200010637913
1.0.56.0	-0.257805420640062	-0.243997873238767	0.243997873238767	0.38535678051509603	0.23244864012496602
1.0.68.0	-0.229560521546419	-0.283328062392849	0.283328062392849	0.363485385643709	0.22607513590271003
1.0.7999999999999998.0	-0.19741266674385702	-0.283827856890824	0.283827856890824	0.34364500790420505	0.213767658839652
1.0.92.0	-0.18470920311906802	-0.318519869053902	0.318519869053902	0.317374229696439	0.227334973422629
2.0.04.0	-0.161141138515865	-0.32433602399412004	0.32433602399412004	0.33282543815193605	0.188315700363928
2.0.16.0	-0.23131209507160702	-0.5497784243610501	0.54977842436105	0.504146864661142	0.087165230410464
2.0.28.0	-0.38191339531755103	-0.743878023928317	0.743878023928317	0.668518596194399	0.073394799123152
2.0.4.0	-0.5292765213617531	-0.8461128897190131	0.8461128897190121	0.8076070014839141	0.081669519877839
2.0.52.0	-0.662910946409978	-0.8897465119152611	0.8897465119152611	0.923929681249376	0.098981265160602
2.0.6399999999999997.0	-0.62000575449615	-0.09209446168045	0.092094461680449	0.71537050375748	0.264635250738669
2.0.76.0	-0.62445993731825	-0.35271136177101603	0.35271136177101503	0.781447458392994	0.203012478925255
2.0.88.0	-0.543480417450071	-0.19816075995086502	0.19816075995086402	0.683030937728157	0.220449479721915
3.0.	-0.487384283952136	-0.168588462757497	0.168588462757497	0.580659286950801	0.266724997001335
3.0.12.0	-0.43706707610459306	-0.22563191852736902	0.22563191852736902	0.546747728652488	0.25031934745210405
3.0.2399999999999998.0	-0.37837978246798	-0.22289673954982	0.22289673954982	0.504516446218793	0.233863336249187
3.0.36.0	-0.328376201177702	-0.21811025585748703	0.21811025585748603	0.44444345155706705	0.24393274962063502
3.0.48.0	-0.28857716902484304	-0.25401598961966504	0.25401598961966404	0.41463004769509204	0.233947121329751
3.0.5999999999999996.0	-0.24736042041935702	-0.257148161636907	0.257148161636906	0.383543313845331	0.223817106574026
3.0.7199999999999998.0	-0.21883663464451703	-0.274152188525489	0.274152188525489	0.34662900970709404	0.23220762493742203
3.0.84.0	-0.193828389178743	-0.30839977978393	0.308399779783929	0.348575959999932	0.205252429178811
3.0.96.0	-0.17320951964855802	-0.285560057674344	0.285560057674343	0.298006703511533	0.235202816137026
4.0.08.0	-0.16917975066277102	-0.37829529168046905	0.37829529168046805	0.36524043878406404	0.163939311878708
4.0.2.0	-0.27655591641363303	-0.621679225179774	0.621679225179773	0.5629444737390541	0.073611442674579
4.0.32.0	-0.42896230166251503	-0.783042644043018	0.783042644043017	0.7134288890757391	0.07553341258677501
4.0.4399999999999995.0	-0.572982228629836	-0.865001692571663	0.865001692571663	0.8477258271538001	0.08525640147603601
4.0.56.0	-0.697850183176525	-0.8880441129118861	0.8880441129118861	0.9385055873815321	0.11934459579499401
4.0.68.0	-0.610332021570942	-0.18657977921726202	0.18657977921726202	0.7713099990812841	0.19902202248965803
4.0.8.0	-0.600003043300502	-0.194739441110926	0.194739441110925	0.6400164231387641	0.319986620161737
4.0.92.0	-0.5368216643136401	-0.24723591695637803	0.24723591695637803	0.6737468823989421	0.223074781914697
5.0.04.0	-0.46777518747779	-0.18867871579117002	0.18867871579116902	0.587478474115103	0.24029671336268402
5.0.16.0	-0.41597085386959104	-0.20035852150384	0.200358521503839	0.5172952936470331	0.258675560222555
5.0.279999999999999.0	-0.36551854513463206	-0.235802812767296	0.235802812767296	0.48804501906576403	0.23747352606886402
5.0.3999999999999995.0	-0.313911708331715	-0.228368521211842	0.228368521211841	0.44000186110778605	0.23390984722392502
5.0.52.0	-0.274774730381438	-0.24608936398316703	0.24608936398316703	0.395716636419473	0.23905809396196
5.0.64.0	-0.23955879716197	-0.275421984965987	0.275421984965987	0.380052799727476	0.21950599743449
5.0.76.0	-0.207136462896222	-0.266549991316325	0.266549991316324	0.33862292173302	0.22851354116319803
5.0.88.0	-0.19213613793962903	-0.330364104767553	0.330364104767552	0.34596039998896705	0.20617573795065802
6.0.	-0.16254524121857802	-0.278368547969329	0.27836854796932803	0.303644516552924	0.21890072466565003
6.0.12.0	-0.18856353550850602	-0.45029822944297204	0.45029822944297104	0.41846325515646904	0.130100280352033
6.0.24.0	-0.324025865984206	-0.6829157185319421	0.6829157185319411	0.6122218230198431	0.07180404296435901
6.0.359999999999999.0	-0.47475489671351	-0.8151599895108791	0.8151599895108781	0.7566950157225041	0.078059880991003
6.0.4799999999999995.0	-0.6148057293986341	-0.879226220348967	0.879226220348967	0.884940529329243	0.089865200069386
6.0.6.0	-0.690209676715765	-0.274671918938154	0.274671918938153	0.6156916139147111	0.43451806280105004
6.0.72.0	-0.6158859897909821	-0.27863128377281005	0.27863128377281005	0.8001287087820611	0.17575728100891602
6.0.84.0	-0.562136199688924	-0.129608571837416	0.129608571837415	0.6513732137389571	0.270762985949962
6.0.96.0	-0.5209603134237091	-0.227455888679285	0.227455888679284	0.6154675303671191	0.265492783056584
7.0.08.0	-0.45505280177793705	-0.221409952450795	0.221409952450794	0.583082192839404	0.23197060893852703
7.0.199999999999999.0	-0.39612090047325205	-0.198637800433437	0.198637800433436	0.509726985363664	0.24639391510958103
7.0.319999999999999.0	-0.34976458855150905	-0.22843759731253202	0.22843759731253102	0.46304409274122305	0.24672049581027802
7.0.4399999999999995.0	-0.30250362071693904	-0.24548983552887202	0.24548983552887102	0.433697417871205	0.22880620284572703
7.0.56.0	-0.260731064722597	-0.24233492541490803	0.24233492541490703	0.385819735890286	0.234911328832304
7.0.68.0	-0.23178901762493903	-0.284523334990102	0.284523334990101	0.368156985169003	0.22363203245592903
7.0.8.0	-0.198587332802894	-0.277713689087701	0.2777136890877	0.34163553532266805	0.216951797480218
7.0.92.0	-0.187375603178824	-0.327649494798444	0.327649494798443	0.32570963633625905	0.22166596684255802
8.0.04.0	-0.159972321228971	-0.310285497813296	0.310285497813295	0.325248227216596	0.194724094012368
8.0.16.0	-0.22198969082737402	-0.5310425400892991	0.5310425400892981	0.489860870785331	0.09212882004203601
8.0.28.0	-0.37153971842147604	-0.73342910421074	0.733429104210739	0.6585746579943761	0.07296506042709401
8.0.4.0	-0.5195880054475931	-0.8408942410935341	0.8408942410935341	0.7986309183649121	0.080957087082674
8.0.52.0	-0.6545984943699901	-0.8883956698491041	0.8883956698491031	0.9178221040105391	0.096776390359444
8.0.64.0	-0.626617106914901	-0.07425795627947701	0.07425795627947701	0.695948778947439	0.290668327967455
8.0.76.0	-0.624195127549647	-0.34675789061807305	0.34675789061807205	0.795459709398419	0.18873541815122102
8.0.879999999999999.0	-0.545481043446105	-0.184211670959768	0.184211670959767	0.680137872876387	0.22534317056971
9.0.	-0.49321764391152706	-0.171345996490983	0.171345996490982	0.580908201868745	0.272309442042774
9.0.12.0	-0.44111163369985	-0.22929068085130902	0.22929068085130802	0.555192153766648	0.24591947993319302
9.0.24.0	-0.381290628373505	-0.21817573187739403	0.218175731877393	0.506388247285501	0.23490238108799602
9.0.36.0	-0.33214140182338603	-0.21820104961260503	0.218201049612604	0.446394176209841	0.245747225613537
9.0.48.0	-0.291362043417488	-0.254176525791841	0.25417652579184	0.418965712846094	0.232396330571385
9.0.6.0	-0.249452733636594	-0.25328335984231004	0.25328335984230904	0.383792219316448	0.225660514320138
9.0.719999999999999.0	-0.221483825490593	-0.27703298613418503	0.27703298613418403	0.350146776740814	0.23133704874977
9.0.84.0	-0.19435342703298303	-0.302401434638898	0.302401434638897	0.34768039881656804	0.206673028216406
