time	EC	Fraction_Inactive_Channels	Rho	Y	Z
9.0.959999999999999.0	-0.17611416437999702	-0.292844248916362	0.292844248916361	0.300564622757568	0.23554954162242
10.0.08.0	-0.16648152679955902	-0.364339482522949	0.364339482522948	0.35646280971847505	0.17001871708107502
10.0.2.0	-0.26594647222634704	-0.6062873519102581	0.6062873519102571	0.550860952337338	0.075085519888999
10.0.32.0	-0.418423709637442	-0.7748238554810211	0.7748238554810201	0.7034143860247281	0.075009323612705
10.0.44.0	-0.5632478627665221	-0.8611368111876421	0.8611368111876411	0.838870497293807	0.08437736547270601
10.0.559999999999999.0	-0.690687573226307	-0.8900262523615641	0.8900262523615631	0.9388497522011211	0.111837821025178
10.0.68.0	-0.6106244706300511	-0.16456807326931602	0.16456807326931602	0.7618328641967611	0.208791606433281
10.0.799999999999999.0	-0.6096301686863871	-0.25358539338630004	0.25358539338629904	0.664146634743762	0.305483533942617
10.0.92.0	-0.5385486320397841	-0.23970252055874602	0.23970252055874602	0.679975355426643	0.21857327661313203
11.0.04.0	-0.47136502970456806	-0.181345750797401	0.181345750797401	0.5861514849292471	0.245213544775313
11.0.16.0	-0.42094312484695	-0.20521032323835603	0.205210323238355	0.521811228705651	0.259131896141291
11.0.28.0	-0.36859169209235504	-0.23460936185362402	0.23460936185362302	0.49297036444625103	0.23562132764609703
11.0.4.0	-0.31685398422813504	-0.22486842141600402	0.22486842141600302	0.44081006276683005	0.23604392146129702
11.0.52.0	-0.27804941227685304	-0.24828152084107402	0.24828152084107302	0.399470037172491	0.238579375104355
11.0.639999999999999.0	-0.241207722558878	-0.271616428428967	0.271616428428966	0.38143168461980204	0.21977603793906803
11.0.76.0	-0.209620941444283	-0.266799033638736	0.26679903363873503	0.33925117253945103	0.23036976890482602
11.0.879999999999999.0	-0.19258999264797202	-0.326729389217408	0.326729389217408	0.347840651805053	0.20474934084291102
12.0.	-0.16435316398045402	-0.27594963319770505	0.27594963319770505	0.30044150504314804	0.22391165893729903
