observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution
task0_model0_perelson1_V		condition1	1029000	0		sigma_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	1087000	0.105		sigma_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	2158000	0.169		sigma_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	1860000	0.282		sigma_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	2195000	0.492		sigma_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	1567000	0.757		sigma_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	3208000	1.029		sigma_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	2293000	1.253		sigma_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	1342000	1.533		sigma_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	1197000	1.75		sigma_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	987100	2.038		sigma_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	697300	3.013		sigma_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	503800	3.987		sigma_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	282200	4.968		sigma_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	172700	5.972		sigma_task0_model0_perelson1_V	log10	normal
task0_model0_perelson1_V		condition1	91618.242	6.973		sigma_task0_model0_perelson1_V	log10	normal
