	ATP	Fru16P2	HMP
0	4.0	1.0	0.1
1	0.16964619265315342	1.112742861084039	4.854461624043191
2	0.40801503906243386	2.10955756666293	6.265207240166485
3	0.7656008184534935	3.060127927150754	7.44614078833961
4	1.1419893781261772	3.813998345424995	8.333374932888272
5	1.473715818186815	4.388393000814527	8.982058211489258
6	1.7457729901583492	4.829887322705635	9.457553917611515
7	1.9626932627005502	5.176484529867522	9.80924162035459
8	2.133982138087307	5.454635729773961	10.07194473685254
9	2.269150920621416	5.682242323296184	10.27013876705043
10	2.376287000639652	5.871512573642307	10.421183669445853
11	2.4618311234579022	6.030944372025156	10.537509264686234
12	2.530750602570832	6.166608936761444	10.628080588533125
13	2.586815018336256	6.2829674915334826	10.699399144088604
14	2.6328659306688222	6.383390410184644	10.756201694376696
15	2.6710444980209793	6.470489763700814	10.801955567486983
16	2.70297053922216	6.546335419766909	10.839212766763408
17	2.7298780443496184	6.6125983591957995	10.869864006287308
18	2.7527155065628444	6.670648144299632	10.895321049060229
19	2.7722193621760836	6.721621091130907	10.916647519868054
20	2.788967507807269	6.766469337024271	10.934652734123896
21	2.8034183146367724	6.805997131859946	10.949959055526076
22	2.8159391780690295	6.840888342420636	10.963050359369683
23	2.826827538935824	6.871727738252451	10.974307033008634
24	2.836326482599027	6.899017755496161	10.98403138595903
25	2.844636417580656	6.9231918912193	10.992466218795343
26	2.851923902611454	6.944625533829059	10.999808497303869
27	2.8583283843576086	6.963644807993217	11.006219508894898
28	2.8639673916504216	6.980533859464696	11.011832476265429
29	2.868940579361822	6.995540899215322	11.016758320461781
30	2.8733329070284523	7.008883250813195	11.021090066599635
31	2.8772171606151624	7.020751590065856	11.024906245650344
32	2.8806559709781223	7.031313525107325	11.028273547065396
33	2.8837034431560333	7.040716634252171	11.03124890721295
34	2.8864064820507633	7.049091055302098	11.033881168968417
35	2.888805879201455	7.056551701680203	11.036212412302241
36	2.8909372099932162	7.063200166424577	11.03827903013185
37	2.8928315792625496	7.069126363801495	11.040112605185632
38	2.8945162447230137	7.074409949300708	11.041740630057298
39	2.8960151412154445	7.0791215516191635	11.043187102661182
40	2.8973493239000603	7.083323844475183	11.044473021886729
41	2.898537344761918	7.087072481429124	11.045616802698701
42	2.899595573913825	7.090416913100367	11.046634625744074
43	2.9005384749407206	7.093401103090376	11.047540733348105
44	2.90137884176078	7.096064156356516	11.048347681327149
45	2.902128003106471	7.098440871716495	11.049066554175536
46	2.9027959996201966	7.100562228405628	11.049707149705046
47	2.903391737687032	7.102455815174452	11.050278138071338
48	2.903923123420378	7.1041462092009375	11.05078719921219
49	2.904397179649897	7.105655311081187	11.05124114200458
50	2.9048201482956393	7.107002641300349	11.051646007868788
51	2.9051975801372034	7.1082056028644285	11.052007161087053
52	2.905534413673716	7.109279714150848	11.052329367727147
53	2.905835044518577	7.110238815520573	11.052616864760838
54	2.9061033865557064	7.111095252770368	11.052873420712732
55	2.9063429259096085	7.111860040124336	11.053102388973087
56	2.906556768632286	7.112543005126785	11.053306754737374
57	2.90674768288617	7.113152917513185	11.053489176395704
58	2.906918136294621	7.113697603880223	11.053652022076042
59	2.907070329045094	7.114184049761334	11.053797401946248
60	2.9072062232498954	7.114618490526032	11.053927196800299
61	2.9073275690080136	7.115006492348585	11.054043083376857
62	2.907435927552618	7.115353024353779	11.054146556805968
63	2.9075326918253728	7.115662522924991	11.0542389505261
64	2.90761910476699	7.115938949020784	11.054321453963698
65	2.9076962755934774	7.116185839295916	11.054395128244227
66	2.9077651942796683	7.116406351685245	11.054460920155769
67	2.9078267444541517	7.116603306062397	11.054519674567413
68	2.907881714885427	7.116779220515969	11.054572145480117
69	2.9079308097141063	7.116936343713404	11.054619005862493
70	2.9079746575718137	7.117076683780599	11.054660856409443
71	2.9080138197099417	7.117202034076862	11.054698233344402
72	2.908048797245979	7.117313996195878	11.054731615370185
73	2.9080800376273572	7.117414000502024	11.054761429865685
74	2.9081079403946095	7.1175033244561465	11.054788058408134
75	2.908132862323142	7.117583108978303	11.054811841697889
76	2.9081551220118143	7.117654373056797	11.054833083950603
77	2.908175003974293	7.117718026788756	11.054852056814326
78	2.908192762293252	7.117774883025916	11.054869002864141
79	2.90820862388022	7.11782566777321	11.054884138720627
80	2.9082227913849312	7.117871029472089	11.054897657831718
81	2.9082354457929895	7.117911547292499	11.054909732956016
82	2.908246748744269	7.11794773853596	11.05492051837867
83	2.9082568446030805	7.1179800652480525	11.054930151889632
84	2.9082658623058038	7.118008940121681	11.054938756548985
85	2.9082739170115186	7.118034731772205	11.054946442263802
86	2.9082811115745155	7.118057769444337	11.054953307194662
87	2.9082875378602475	7.118078347219497	11.054959439012475
88	2.908293277920429	7.118096727773478	11.054964916020726
89	2.908298405041445	7.118113145729023	11.05496980815632
90	2.908302984681196	7.1181278106533314	11.054974177884546
91	2.908307075305563	7.118140909733808	11.054978080997422
92	2.90831072913663	7.118152610169638	11.05498156732754
93	2.9083139928175266	7.118163061303603	11.05498468138385
94	2.908316908011059	7.118172396533704	11.054987462921911
95	2.9083195119296428	7.118180735010875	11.054989947450466
96	2.908321837812007	7.118188183164297	11.05499216668611
97	2.9083239153470015	7.118194836057907	11.054994148957904
98	2.9083257710532076	7.118200778605481	11.054995919569649
99	2.908327428617249	7.11820608665358	11.054997501122763
100	2.908328909196439	7.11821082795041	11.054998913805123
