RCC1	RCC1_Ran	RCC1_RanGDP	RCC1_RanGTP	RanBP1	RanGAP	RanGDP_cy	RanGDP_nuc	RanGTP_RanBP1	RanGTP_cy	RanGTP_nuc
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0
0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0
1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0
1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0
1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
