	C1	C2	C2a	C2b	C3	C3a	C3b	C4	C4BP	C4BP_C4b	C4BP_GlcNac_LF_CRP	C4BP_PC_CRP	C4BP_PC_CRP_LF	C4a	C4b	C4b_C2a	C4b_C2a_C4BP	CRP	GlcNac	GlcNac_HF	GlcNac_HF_MASP	GlcNac_LF	GlcNac_LF_C1_MASP	GlcNac_LF_CRP	GlcNac_LF_CRP_C1	GlcNac_LF_CRP_MASP	GlcNac_LF_MASP	HF	LF	MASP	PC	PC_CRP	PC_CRP_C1	PC_CRP_LF	PC_CRP_LF_C1	PC_CRP_LF_C1_MASP	PC_CRP_LF_MASP	X	dC3b	dC4b_C2a	dC4b_C2a_C4BP	iC4b_C2a
33	2469.9711470717416	198.07505191731744	0.21091352717203835	111.92494808268316	4543.028029431258	106.97197056874202	0.13026039573811285	631.056339753039	14.530442976557723	24.522424222660362	0.0	0.003903887939804908	0.0	138.94366024695645	2.707201468784961	0.0239602639985574	0.2171153977391219	1.9672241901660312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.99987838004085	6.799913158895378	3.7901660284260183e-06	1.8905876416894725e-05	0.02873139605865928	3.384714599285824e-08	3.474500731518756e-05	8.678719576578346e-05	5.390886364735152e-08	0.0005	0.05407709306074292	0.117456014246114	1.0643240403899172	108.43721989676374
34	2469.9705672515634	193.62033544179025	0.16554305373732303	116.37966455821041	4529.085223161112	120.91477683888668	0.15276563599519927	624.4072814904241	12.193170929363378	25.963038543275218	0.0	0.0033237595932460594	0.0	145.5927185095711	3.415558461822858	0.02818987367495673	0.21435770477840896	1.967224241990324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.999872996851295	6.799909313434238	3.841990321781763e-06	1.915878826242734e-05	0.029305836479526524	3.4945073190052336e-08	3.628163780170243e-05	9.063032153339848e-05	5.624423503996275e-08	0.0005	0.06341732649102617	0.13821466939789684	1.0509927737539135	112.68355130425607
35	2469.970028640121	189.1756056374987	0.1286906031843241	120.82439436250212	4512.66691056207	137.33308943792525	0.18045572336407179	617.6595705133922	10.10641775936855	27.310256371319387	0.0	0.002784918795118841	0.0	152.3404294866028	4.334469355965819	0.0334233068851907	0.21066245905458467	1.9672242808608527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.999867551137683	6.799905423112683	3.880860849759837e-06	1.9345854202557312e-05	0.029839005627576427	3.600861317517872e-08	3.7835966319001345e-05	9.451828656840538e-05	5.8600751958437566e-08	0.0005	0.0749101988233613	0.16390170589381137	1.0330487989638466	116.86655426551035
36	2469.969546520184	184.75160775691097	0.09943637153058461	125.24839224308992	4493.233427331616	156.76657266838143	0.21380120313297846	610.8260997356517	8.301363614967734	28.51535007315113	0.0	0.0023026590182377	0.0	159.17390026434316	5.509594319633173	0.039770782682346247	0.20590496797489077	1.9672243048245663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.999862063031646	6.799901502288781	3.904824564181199e-06	1.945834197401596e-05	0.03031564084693683	3.7028301582092456e-08	3.9402228761633246e-05	9.84367422260777e-05	6.096899811045942e-08	0.0005	0.08875238985288018	0.19506168636050805	1.0098904812723146	120.96642469458327
37	2469.969133576878	180.36041711716652	0.07679709427992258	129.6395828828345	4470.234586864302	179.76541313569126	0.2525058213750342	603.9227858497032	6.794983801577179	29.541473356620063	0.0	0.0018896577357080853	0.0	166.077214150291	6.97295500511655	0.047207739427009086	0.2000636095847318	1.967224314893799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.999856553103875	6.799897565678374	3.914893796624944e-06	1.9502901723246108e-05	0.030723077572691243	3.800513568178111e-08	4.097456930980916e-05	0.00010237098093120663	6.334070421982045e-08	0.0005	0.10482275219962671	0.2315784839410526	0.9814150240122351	124.96182799757744
38	2469.9687949856516	176.0145002315141	0.05966847895427458	133.98549976848693	4443.198516011734	206.80148398826242	0.2953059436021811	596.9673520909273	5.57947636170474	30.37537994056428	0.0	0.0015510639862675087	0.0	173.032647909067	8.731436678970196	0.055535303812785874	0.19325971044869308	1.9672243152946203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.999851037693645	6.799893625019106	3.915294617686158e-06	1.950170779983556e-05	0.03105615670500526	3.895149474234006e-08	4.2548373909044494e-05	0.00010630927013326193	6.571077276504014e-08	0.0005	0.12259820889431623	0.2724791228468948	0.9482110344972017	128.83240637364995
39	2469.9685265584676	171.72538503215225	0.04689092880983862	138.27461496784878	4411.818202907302	238.1817970926936	0.34021913992955355	589.9773379925463	4.62242275136684	31.02917262171557	0.0	0.0012826584165569223	0.0	180.02266200744822	10.765765346693833	0.06442130300045054	0.1857326086869713	1.9672243112932437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.999845525974763	6.7998896869406975	3.911293241604738e-06	1.9480795850037137e-05	0.03131907546915986	3.988366069011411e-08	4.412108221956252e-05	0.00011024498178366521	6.80775277528414e-08	0.0005	0.1412560879738291	0.31613331229500075	0.911440954890184	132.56145880835584
40	2469.968317568436	167.50258181649235	0.03738896512929107	142.49741818350864	4375.995159610857	274.0048403891368	0.3850988416550512	582.9682910072186	3.8777357126979872	31.531136891481232	0.0	0.0010736924744464292	0.0	187.03170899277623	13.04054288291585	0.07349718400074398	0.17776482457729081	1.9672243066747823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.9998400207335	6.799885753485878	3.906674780452862e-06	1.945803057304568e-05	0.031522563553756947	4.081342286046237e-08	4.569193889204757e-05	0.0001141760727976109	7.044133070524468e-08	0.0005	0.15990432424700918	0.3607294777749249	0.8724818998405229	136.13755766125095
41	2469.968155383492	163.35318776156825	0.030277197631147786	146.64681223843274	4335.829518898551	314.1704811014422	0.4281105825543203	575.9528935969449	3.2984233047062124	31.913860686450043	0.0	0.0009115250115512692	0.0	194.04710640304967	15.516710675798333	0.08244213338771564	0.16961269040155527	1.9672243030992025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.99983452123662	6.799881824152512	3.903099201552942e-06	1.944083277143362e-05	0.03167925229314705	4.174601034989166e-08	4.726116982342613e-05	0.0001181030443487985	7.280314622140019e-08	0.0005	0.17777979911148634	0.4046892749447563	0.8325887266112696	139.5546601603756
42	2469.9680286439743	159.2820800736636	0.02488686377725295	150.7179199263374	4291.576779112189	358.4232208878051	0.46793373055384796	568.9409951931256	2.8442223430118885	32.206554290353175	0.0	0.0007847950073306607	0.0	201.05900480686856	18.159417453955783	0.09101909875773903	0.16147411534790632	1.967224300860757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.999829025665775	6.799877897644653	3.90086075727823e-06	1.9430259082796563e-05	0.03180049953865742	4.2682466893679615e-08	4.8829296350107976e-05	0.00012202719150543479	7.516384954411988e-08	0.0005	0.19433272204630567	0.44684571594144207	0.7927344570067815	142.8112092255265
