time	CaER	CaM	CaPr	Ca_cyt	Pr
24.0.5.0	0.74103013206638	0.33045946491190903	85.5065663970211	0.207475215065746	34.493433602979
25.0.	0.819605557832567	0.32548618613655	85.3380301521881	0.081602871935343	34.661969847811896
25.0.5.0	0.9061382612629251	0.324446125099744	85.01986272934178	0.05779972520742901	34.98013727065818
26.0.	0.9852233414959801	0.32345485127363005	84.70163192662658	0.06365530229492701	35.298368073373446
26.0.5.0	1.058270848551748	0.322237631095428	84.40132821997037	0.07663786144091	35.598671780029676
27.0.	0.9987989808136721	0.328838952074789	84.20921184130415	0.48023642714205406	35.790788158696024
27.0.5.0	0.713699846302227	0.565583273178064	84.53130795240875	0.351559569670156	35.46869204759154
28.0.	0.7061449593525151	0.5546314078559981	84.66854701323206	0.288347517933904	35.331452986768156
28.0.5.0	0.72009745292337	0.535927487047228	84.72072840591002	0.25517183420758704	35.27927159409016
29.0.	0.7278660759533641	0.518163600683575	84.74760339053911	0.268277902913138	35.25239660946108
29.0.5.0	0.710744010257221	0.503215155991122	84.84046283635497	0.30370049865165	35.159537163645155
30.0.	0.71239276558536	0.48821485255240005	84.92416579663237	0.27340373081650604	35.07583420336768
30.0.5.0	0.7248057612744151	0.47231166776509204	84.95759379294013	0.25393649090180204	35.04240620705996
31.0.	0.723684804741315	0.45719513619462504	84.99369952651803	0.28278070973807	35.00630047348198
31.0.5.0	0.7107801090042091	0.44524624206398206	85.08387512321455	0.29201947251257504	34.91612487678547
32.0.	0.71774041353507	0.43184026981976303	85.14057275090033	0.261104515680239	34.85942724909971
32.0.5.0	0.7315690779910421	0.41835010250299703	85.15275337111332	0.247569906910432	34.84724662888675
33.0.	0.7223027473652931	0.40598797415316	85.1914017021376	0.29543541178851	34.80859829786248
33.0.5.0	0.710508911747701	0.39742997588969303	85.28300010197677	0.28524434747361305	34.716999898023374
34.0.	0.7237330122028861	0.385668561462055	85.31650762603206	0.24588607930807202	34.68349237396802
34.0.5.0	0.7486270791463011	0.37461855992791504	85.289225524147	0.21779191955603802	34.710774475853086
35.0.	0.7518940844784121	0.36418571975132	85.26042980479122	0.275250978289839	34.73957019520901
35.0.5.0	0.7074498394555531	0.36735679677201005	85.3911415205514	0.309631934538288	34.608858479448806
36.0.	0.718304957087849	0.35840740111664304	85.44498205363536	0.24816851354669503	34.555017946364934
36.0.5.0	0.7631440349735361	0.34927220005285703	85.38534577479969	0.164989285094783	34.614654225200624
37.0.	0.8561713988628361	0.346674105785835	85.1295188692649	0.05909911214043401	34.87048113073539
37.0.5.0	0.9379377222185741	0.345678909853088	84.80606374405251	0.059469727660855	35.19393625594779
38.0.	1.015145240277172	0.344554953757699	84.49401545996291	0.06718376389760801	35.50598454003738
38.0.5.0	1.082938918337514	0.343056191436019	84.20678470493887	0.08923485596701301	35.79321529506142
39.0.	0.7757391557491451	0.5463957186507901	84.28341194503585	0.428048557364191	35.7165880549642
39.0.5.0	0.705506270408778	0.5850259797103591	84.51443706532443	0.32343393419882505	35.48556293467566
40.0.	0.709860531463896	0.56713859945924	84.61713852288439	0.27486495342285905	35.38286147711569
40.0.5.0	0.7234474530903511	0.547846323968895	84.6581747869205	0.25665010484232204	35.34182521307959
41.0.	0.7193119885551961	0.5295676872889571	84.71214634787117	0.292334948752042	35.28785365212892
41.0.5.0	0.7093781628410151	0.514275034065355	84.8138152295651	0.29157198280924	35.18618477043501
42.0.	0.7165381484018021	0.49761417524045803	84.87779264655079	0.265598058879959	35.12220735344931
42.0.5.0	0.724401580172486	0.48126241823861804	84.91262972499224	0.26471428136311004	35.08737027500786
43.0.	0.715363843707403	0.466465816613773	84.97922653131589	0.293454827399215	35.020773468684276
43.0.5.0	0.7127822107447661	0.45306157123760404	85.05867505536591	0.27794981670436003	34.941324944634204
44.0.	0.7223971644577181	0.43872543295332006	85.0982230443375	0.257286566018022	34.901776955662534
44.0.5.0	0.726093171458683	0.42489698621377103	85.12548619948686	0.27055316982300903	34.87451380051319
45.0.	0.713391996762852	0.41352343357111904	85.199417718421	0.29292056024282004	34.80058228157906
45.0.5.0	0.716170543890558	0.40197206575368605	85.26132191826008	0.266107643162647	34.738678081740005
46.0.	0.730424916531467	0.38967254401442303	85.27506972204547	0.24454043577067602	34.72493027795463
46.0.5.0	0.730593706089747	0.377972288706419	85.28849298269543	0.27724303811962003	34.71150701730466
47.0.	0.7106749802894581	0.371013351189088	85.3777714855077	0.29547518857779004	34.62222851449241
47.0.5.0	0.7196155095640431	0.36108611104700505	85.42501229434107	0.252181223214397	34.57498770565903
48.0.	0.7486523506616111	0.350932190401387	85.39553551850912	0.206126317238624	34.60446448149105
48.0.5.0	0.815094459221508	0.34480461573785404	85.25440766474594	0.105996035416381	34.74559233525425
49.0.	0.9042672800031861	0.343444604405975	84.95085263444312	0.058299827920016006	35.049147365557126
49.0.5.0	0.9834926749331591	0.34239693278784705	84.63306753960455	0.063374029511223	35.36693246039572
50.0.	1.056772660286111	0.341121948322886	84.3325361475343	0.07588541802953601	35.66746385246601
