time	CaER	CaM	CaPr	Ca_cyt	Pr
0.0.	0.76	0.29	85.45	0.35000000000000003	34.55
0.0.5.0	0.706633946496103	0.31446803608511603	85.61266466474949	0.302927404925593	34.38733533525049
1.0.	0.7238645030850841	0.307065896505792	85.6440919532934	0.23218644834304003	34.35590804670657
1.0.5.0	0.791356656002674	0.301023160595115	85.52362262296622	0.10685811064256201	34.47637737703374
2.0.	0.882173288976391	0.299877835535379	85.21486497535139	0.056930526601516006	34.785135024648625
2.0.5.0	0.9624802251750951	0.298995118513917	84.89247040719691	0.061628218046963	35.10752959280305
3.0.	1.037880636781601	0.29794920074756	84.58508408365167	0.07159656623164501	35.41491591634834
3.0.5.0	1.093398346254396	0.29628974154355203	84.31709723946503	0.12415040934320001	35.682902760535065
4.0.	0.729237493546053	0.534430425258524	84.56624166653354	0.37908665824820703	35.433758333466685
4.0.5.0	0.7047982885641241	0.536268196504314	84.7350540281096	0.30068003161670104	35.264945971890626
5.0.	0.716850293338677	0.518764012667537	84.79962843291484	0.25791434306029704	35.20037156708534
5.0.5.0	0.7326776525891201	0.501973378086078	84.81313524344533	0.24826063385388902	35.18686475655487
6.0.	0.716827744384896	0.48681289040473	84.87635686145073	0.30908059939077104	35.12364313854945
6.0.5.0	0.7091820655558251	0.47472220033300006	84.98014734158626	0.28423559485846	35.019852658413924
7.0.	0.722346012515654	0.459535739551898	85.02122739896537	0.25124559276445	34.97877260103481
7.0.5.0	0.7343108638915701	0.445077954842765	85.02830003938097	0.25414468568173704	34.971699960619205
8.0.	0.7137551934828571	0.433459483756414	85.10301501458191	0.308126276461035	34.89698498541826
8.0.5.0	0.7119173145470421	0.422765802853165	85.187956177191	0.273311353208164	34.81204382280912
9.0.	0.7297649329168031	0.409717315116965	85.20452533074378	0.23754567712115301	34.79547466925636
9.0.5.0	0.749216788462389	0.39784576347910505	85.17857686968404	0.23317292255003702	34.82142313031615
10.0.	0.7163014003940751	0.390628424911781	85.24603228178088	0.326248416995777	34.75396771821937
10.0.5.0	0.710017983116742	0.38500340055818105	85.34481097097945	0.275103494321055	34.65518902902093
11.0.	0.734268861057911	0.373648304560712	85.34799400252811	0.220337334997592	34.652005997472266
11.0.5.0	0.7991836280460021	0.366399809824902	85.22587697774036	0.11178927077624101	34.774123022260056
12.0.	0.88978046700555	0.36491720082815304	84.92388177126298	0.057327557402461	35.07611822873743
12.0.5.0	0.9696354554463581	0.363836359598649	84.60422643029388	0.06188630952631401	35.395773569706506
13.0.	1.044380018643334	0.36255081771506203	84.29996852387521	0.072308130691435	35.700031476125176
13.0.5.0	1.094499921573053	0.360382381122678	84.04043208420049	0.14003870501686802	35.959567915799894
14.0.	0.7249513027174881	0.600593848812455	84.32352018951161	0.37429920436886205	35.67647981048867
14.0.5.0	0.7043432674756	0.596377209439775	84.49506076649236	0.302057325846466	35.50493923350802
15.0.	0.7144402862689381	0.5760850814200741	84.57189331020228	0.266005219042005	35.428106689798106
15.0.5.0	0.723334731117611	0.5563766496104731	84.61345999644419	0.267694480643735	35.38654000355611
16.0.	0.7125622138769231	0.538454176961606	84.69647534834046	0.29945908830566403	35.3035246516598
16.0.5.0	0.7111254511755271	0.521808875417987	84.78759814318751	0.280664550438658	35.21240185681273
17.0.	0.7195530394719281	0.5044659471925921	84.8397133358489	0.264210717493212	35.16028666415134
17.0.5.0	0.7203845114817711	0.48788535590608206	84.88767187878307	0.279248651665683	35.11232812121718
18.0.	0.7126173918793131	0.47327897283020404	84.96774965991303	0.288664881249024	35.03225034008716
18.0.5.0	0.716105244596554	0.458629054677373	85.03166786993648	0.269394932967956	34.96833213006376
19.0.	0.723670390925354	0.443951537674013	85.06706516731577	0.26244711828690603	34.93293483268447
19.0.5.0	0.718928637242621	0.43032454573933804	85.11765521748666	0.28533205058563404	34.88234478251359
20.0.	0.7135674561791211	0.418468993164027	85.19127099082658	0.280583211800952	34.808729009173646
20.0.5.0	0.721263268200318	0.405775274154589	85.23324268666344	0.25860314391711303	34.76675731333686
21.0.	0.7287682822664091	0.39327029709876105	85.25155126564918	0.26029441689029104	34.74844873435109
21.0.5.0	0.7166844093497661	0.38266273075858903	85.30910825170174	0.29350318786497803	34.690891748298505
22.0.	0.7144838292261031	0.373207279302085	85.3775076247899	0.271727941097443	34.62249237521028
22.0.5.0	0.72936597258902	0.36213239415590404	85.39287716035709	0.241129372663299	34.60712283964307
23.0.	0.7438528751793401	0.35160602593551304	85.37498767135578	0.24317672418484101	34.62501232864433
23.0.5.0	0.7151170190159211	0.345552465126785	85.44199551590376	0.315326547525384	34.55800448409627
24.0.	0.712655293723075	0.34001530727344803	85.52166851933221	0.267649076681689	34.478331480667876
