time	species_1	species_10	species_11	species_12	species_13	species_14	species_15	species_16	species_17	species_18	species_19	species_2	species_20	species_21	species_22	species_23	species_24	species_25	species_26	species_27	species_3	species_4	species_5	species_6	species_7	species_8	species_9
0.0.	1200.0	0.0	0.0	0.0	200.0	0.0	0	300.0	0.0	10.0	0.0	0.0	100.0	0.0	0.0	0	0.0	0.0	0	0	-2.9673649205499368e-67	0.0	0.0	0.0	1200.0	0.0	0.0
40.0.	1190.8825928157894	3.9892947769923732	0.07939146561122801	2.837960806752927	189.9178978369063	6.861174671504927	0	79.60612065292439	4.458884655942314	5.54111534405769	14.707862246561854	0.383377478005035	81.13941117571524	0.009151145250431	0.37381553958509706	0	1.21499869121758	2.937727886505498	0	0	8.502455373334115	0.230458394619547	0.000175101743506	0.0013516296804	982.0193533264043	9.973650557030947	191.17409042193003
80.0.	1159.033596512912	6.203896824860894	0.17127249531138802	11.45532410189004	175.5340402416543	9.978969502151632	0	24.120276721339852	1.9524518460348892	8.047548153965112	18.464871123159767	1.611166283964025	72.66389752407004	0.49126516860974706	2.540400985693909	0	4.741139359431761	4.1300919933385	0	0	36.24839026676958	1.609691114873643	0.005171284967024001	0.07148466617521801	883.9758350483178	13.8123849751563	241.47874283899844
120.0.	1124.0581738384612	7.815845907642224	0.231612427419832	19.2747120383602	161.4722186786334	11.593990617308485	0	19.444414550908835	1.6286068878183921	8.371393112181604	18.646636474386376	2.920584806803557	68.30417011516788	2.464661857035257	5.194416808662267	0	8.148063497711677	4.901129912734	0	0	64.34895077029589	3.533056642576844	0.02060473204138	0.38013535093031003	835.5180402318861	14.822264601669309	245.22646505779787
160.0.	1089.6774038753738	9.097218591377835	0.28236346248070504	25.509559214622506	148.32092261834515	12.413069030848645	0	19.04598021188848	1.600017200361743	8.399982799638256	18.549498526479635	4.194578558748381	64.87708924764942	6.165414304040578	7.591034832142482	0	11.148530726214853	5.424881499655897	0	0	89.89740196129478	5.595905218511069	0.046894762850015	1.025945045791141	796.9867054489838	15.52334385586623	244.99879674292353
200.0.	1054.1644844662305	10.145582867058186	0.32870081288346104	30.596952880044267	135.30098026138833	12.640747471097974	0	18.903986811659923	1.589946896582586	8.410053103417416	18.448507087630777	5.506603665239747	61.81866807030339	11.783189617982224	9.678129769486329	0	13.963881079349042	5.768943762716466	0	0	114.3434656404705	7.803854945303548	0.085872583836159	2.141002976694612	762.0930690438994	16.20267819783795	244.52618019340548
240.0.	1014.9647570587405	11.031950427601029	0.37322378795396804	34.77419906001905	121.51816663841787	12.356729331778029	0	18.777631012555446	1.581004007554354	8.418995992445648	18.342952910764307	6.961354532692651	58.86262497841101	19.923622237624333	11.427282732159599	0	16.818269508409763	5.976152602414466	0	0	139.27430279005668	10.244274549590136	0.142521374100525	4.02323925773184	728.2848303006804	16.91872199687878	244.00646628429323
280.0.	968.3282736263809	11.78539009357702	0.417835356272713	38.01310835786359	105.93313823923313	11.522457676646606	0	18.63244123049474	1.570725633827414	8.429274366172598	18.21289399960574	8.72187902083789	55.768717392544104	31.848644961602105	12.682650764653053	0	19.96635593114027	6.052032676709333	0	0	166.51864962366486	13.023100711826832	0.22700957109748202	7.371670740778135	693.3390051916847	17.729827279294643	243.4362765005049
320.0.	907.975625490925	12.379107556307499	0.463590836457677	39.8784740040827	87.25983053121905	9.991404589392475	0	18.431405488765698	1.556479957588978	8.443520042411034	18.021156255660284	11.095615770722771	52.23529729530407	49.86567949001502	13.004611385288888	0	23.78462357252207	5.9589228765128555	0	0	198.61364291380022	16.173312291141897	0.35864828545480104	14.008480143377481	654.6762470826053	18.72764494938714	242.79972251214016
360.0.	823.0163032344684	12.681996044526374	0.509181834087562	39.2432539027272	64.4888934618792	7.595540102948129	0	18.099444915897017	1.532891968857267	8.467108031142747	17.687050014858055	14.746094875262058	47.806375466219336	77.1837302038158	11.488582328627368	0	28.911233307782833	5.595341211138861	0	0	239.18110042382858	19.238671588983987	0.566992892232906	29.324619328045248	608.8755315883799	20.077697449215844	242.09373381708397
400.0.	698.9387447958329	12.465780548585936	0.550349971132944	34.97754667652479	40.045236232009216	4.660958951938641	0	17.4797587122616	1.488539141464172	8.511460858535825	17.046567766691005	21.117963579379854	41.87824162468828	112.7703152848147	7.545942854709804	0	36.24590581732561	4.829284791294061	0	0	290.8881512972789	20.174079987078823	0.8516154198769441	68.83115036040944	552.0545727949749	22.076914256764237	241.35787015168557
440.0.	533.4018328021418	11.88944370695921	0.598081188986737	30.110078665350255	22.093403726601377	2.454813444904746	0	16.328655265599544	1.404856463237001	8.595143536763002	15.864701944302599	32.994738047417314	34.167873686040444	141.8900107210876	3.451693442052667	0	46.20126814646348	3.7661562231922323	0	0	347.1791427410436	16.61107825423663	1.09587233523633	156.37036970420345	483.06256308992397	25.155862727353746	240.64784241051976
480.0.	347.6330060845146	11.428707386385181	0.68364906918818	30.063049237063005	12.815595452195211	1.365459379128733	0	14.351751026793968	1.257130785482832	8.742869214517167	13.835918066897479	57.06940461130601	25.005378736971753	154.4697154625121	1.286180469097021	0	58.50171657604597	2.656986620083273	0	0	392.04907274501306	10.633479913880986	1.213602524037913	292.7149428009452	405.0136881542409	29.916887354132154	239.9546636975045
520.0.	179.72742831775173	10.948913941702756	0.8198904747287311	37.447169451902255	8.109120845922742	0.8267610726986431	0	11.334650023486565	1.021145476116077	8.978854523883921	10.805149229108732	112.8539759551889	15.555943304438507	153.20414265488253	0.41280597458928303	0	72.04811573325276	1.5907917331981691	0	0	402.09765188840805	5.375106628561168	1.213296207276804	457.9695683285304	321.58707277854285	37.45280403346272	238.56636076309604
560.0.	77.47924164996908	9.897906527301409	0.9733067746966251	51.601229808227544	5.518031897077091	0.508637841286933	0	8.16498751891931	0.757430213353925	9.242569786646085	7.992698415556848	228.44323447724327	8.773211253924652	142.24548623659197	0.126614216811263	0	82.4215638416968	0.8125264888196471	0	0	352.34493393341876	2.429216637330384	1.11008101257347	624.2644263133045	238.95306569008673	49.17806347282776	232.9335136046444
