[Cdiff]	[Commensal_Beneficial]	[Commensal_Dead]	[tDC_LP]	[tDC_MLN]	[Commensal_Harmful]	[N_Lum]	[E]	[E_d]	[E_i]	[M_LP]	[eDC_LP]	[Th17_LP]	[Th1_LP]	[iTreg_LP]	[eDC_MLN]	[iTreg_MLN]	[Th17_MLN]	[Th1_MLN]
6.849010595737653e-108	26509830969.557564	328482087.72943854	1.880483815482527e-17	1.3655429304257507e-18	1215144266.9526045	-0.011311193325206016	1052500.0346655245	-0.03466552255100545	6.892957437931316e-10	-1.3160213390719668	3.82975678969008e-109	8.082483184026482e-11	5.460658396327981e-06	14.410002056717696	5.089388840242128e-74	3.979491547836984e-17	2.63407145118683e-12	1.6812607098992135e-10
-2.0649234298635277e-115	26570489043.962543	231601759.02842283	1.1287316878196086e-19	8.196462867478018e-21	1086956077.1175015	-0.005549526774765448	1052500.0170465282	-0.017046525798423674	2.0777607620367765e-11	-0.6471442064708716	-1.1197514384455013e-116	2.4208378294707e-12	1.3566751995620872e-06	7.08601682068843	-1.4050616836569524e-74	2.3886290208318835e-19	7.889478282985625e-14	2.1796659499836964e-11
-5.450097350376744e-122	26613256835.166016	163294980.24833208	6.849336786610337e-22	4.973753748931256e-23	972290815.64312	-0.0027245863766136246	1052500.0083826391	-0.008382637299938907	6.280254046355442e-13	-0.3182334789164767	-5.186724263489943e-123	7.27087854799939e-14	3.3699532456022637e-07	3.4845522249024956	-1.6374925668074192e-95	1.449460912581388e-21	2.369569483569088e-15	2.82705154802347e-12
-8.677303011691521e-134	26643411076.10777	115133992.56743886	4.138721062740997e-24	3.0053974629821165e-25	869721796.2861067	-0.0013382904259381012	1052500.0041221522	-0.004122149823743428	1.8965420790963442e-14	-0.15649085572955548	4.704871110982828e-134	2.1817717536112033e-15	8.369247007130632e-08	1.7135235468175825	-3.3431475459532847e-100	8.758387264988312e-24	7.110364536296488e-17	3.6662747281294383e-13
-7.748355728603748e-139	26664671951.849792	81177084.92467049	2.479269438027162e-26	1.8003605379873437e-27	777972951.9925884	-0.0006575698824122458	1052500.0020270303	-0.0020270273352758577	5.713128086516077e-16	-0.0769528659752494	-5.154531859447651e-140	6.530580735719468e-17	2.078039253127459e-08	0.8426086446326453	4.661753737908829e-101	5.246645411304409e-26	2.1283073935091703e-18	4.752531060544267e-14
4.174539046524673e-139	26679662331.967503	57235128.84705034	1.4779943901383684e-28	1.073268897102678e-29	695902857.8369312	-0.00032331432419327975	1052500.0009967617	-0.0009967581560692796	1.718339674518268e-17	-0.03784033670097979	-6.04891826836556e-140	1.9517055238698866e-18	5.158922032702029e-09	0.4143392765944626	5.396840467458428e-100	3.1277409248120475e-28	6.36058179564795e-20	6.158721432794967e-15
3.831901514296793e-138	26690231585.96981	40354395.12920345	8.73050930710534e-31	6.339796793345332e-32	622490472.3698801	-0.00015883640949266112	1052500.0004901343	-0.0004901298936197583	5.154164172132286e-19	-0.018607001204641715	1.1587462019441231e-138	5.816800741603975e-20	1.2805178958823352e-09	0.2037405607578518	-7.491706147713146e-101	1.8475558118816308e-30	1.895687461543561e-21	7.976914454243193e-16
4.322402967083601e-138	26697683497.262505	28452539.97524368	5.241822074403796e-33	3.8064316306891695e-34	556822611.3198134	-7.808493537448657e-05	1052500.0002410228	-0.0002410180968776409	1.5537647758952622e-20	-0.009149868388736205	1.5039347036983194e-139	1.742385122774713e-21	3.179346426056419e-10	0.10018805802606236	-5.023463247486373e-102	1.1092776489605667e-32	5.678409450638658e-23	1.0341834025176508e-16
-8.882096768703567e-135	26702937609.107235	20060910.54187574	3.133526408286798e-35	2.2754595380766204e-36	498082172.0312654	-3.8393790376028084e-05	1052500.000118522	-0.00011851766259832304	4.677422469047158e-22	-0.004499334401401946	-2.6653738941933147e-136	5.211888541846708e-23	7.893128704064412e-11	0.04926623607408839	1.9149876900391079e-103	6.631188082696573e-35	1.6985473971711298e-24	1.3404173704063848e-17
-5.530507791018355e-131	26706642137.8008	14144205.123267623	1.8502319109798224e-37	1.3435750336613838e-38	445538334.1684209	-1.8874387719592762e-05	1052500.0000582826	-5.827768659396692e-05	1.4025444934786334e-23	-0.0022124196039036907	1.0398560846025928e-131	1.5528354394088992e-24	1.959077645555159e-11	0.02422526906799767	-6.983170345071077e-104	3.9154722825592206e-37	5.06066960692639e-26	1.735975481895755e-18
2.423490302705946e-120	26709254071.876102	9972542.335707173	1.0880145982369463e-39	7.90078931065536e-41	398537450.2862015	-9.281572369506015e-06	1052500.000028661	-2.865608252913857e-05	4.200084733333973e-25	-0.0010878825579003551	2.8681526790353004e-121	4.620446804621707e-26	4.862030908345603e-12	0.011911957222317617	3.9530829942538826e-104	2.302463262651526e-39	1.5057973382850347e-27	2.247680776571726e-19
-1.3256673753989148e-115	26711095660.471863	7031240.452328375	6.337946825525164e-42	4.602399876964341e-43	356494765.74347335	-4.5638344531025585e-06	1052500.0000140953	-1.4090311550784429e-05	1.2540044179010096e-26	-0.0005349162487967326	-3.423324097778971e-117	1.370676553581678e-27	1.2064299116531117e-12	0.005857157490866696	2.6075846893193493e-104	1.3412402508254334e-41	4.467016272037622e-29	2.9084992040907354e-20
8.518145406087066e-107	26712394094.31528	4957440.735108364	3.6797257707610246e-44	2.6720908049287347e-45	318887254.7246377	-2.153614834070899e-06	1052500.0000069332	-6.928199133987694e-06	3.7399899644625196e-28	-0.0002630180516622663	3.61516903752765e-108	4.0617557788539343e-29	2.9933406767467457e-13	0.0028799614051586027	-7.39233785897135e-103	7.787058572135275e-44	1.3237206917833287e-30	3.762780256793577e-21
-7.899678748784045e-98	26713309538.567295	3495334.6443132195	2.4292434303931444e-46	1.7640333648952022e-47	285247165.77312416	-1.1727228763939586e-06	1052500.0000034121	-3.406999759902707e-06	1.1474790819900713e-29	-0.000129341322571594	-3.5516536746247815e-99	1.2384104199305417e-30	7.434926497029803e-14	0.0014162450628167284	-1.4783686315602653e-101	5.140780062676781e-46	4.035962738864339e-32	4.887340226554999e-22
