	Ln_	NRLn	NRn	RE	REL
0	0.0	0.0	370.0	3.7	0.0
1	8.11978209184789e-05	0.02413546124104679	369.8931581754175	3.617293636658085	0.08270636334191668
2	0.0001450291273590624	0.0478076036974616	369.787662623886	3.535470227582834	0.1645297724171684
3	0.00021031165117960985	0.07200480115671806	369.6835629978282	3.455567798984254	0.24443220101574825
4	0.0002770172538369343	0.09671644879805008	369.58089032307754	3.377606771875078	0.32239322812492366
5	0.000345111271800632	0.12192955488334305	369.4796749410063	3.301604495889147	0.3983955041108559
6	0.0004145523709409392	0.14762868978775878	369.3799463657423	3.227575055529544	0.47242494447045946
7	0.0004852924690010155	0.1737959600992552	369.28173313904296	3.155529099141706	0.5444709008582971
8	0.0005572767324395539	0.20041101005454579	369.1850626843598	3.085473694413934	0.6145263055860688
9	0.0006304436525729456	0.22745105207623462	369.08996116176246	3.0174122138384005	0.6825877861616012
10	0.0007047252042813231	0.25489092756118453	368.9964533254783	2.951344253039191	0.7486557469608114
11	0.0007800470886982544	0.28270319839071856	368.9045623858488	2.8872655842393287	0.8127344157606744
12	0.0008563290593004462	0.31085826889715495	368.81430987751065	2.825168146407675	0.8748318535923286
13	0.0009334853286245156	0.33932453721851646	368.7257155356073	2.7650400728257605	0.9349599271742424
14	0.0010114250509011904	0.3680685742652593	368.6387971816352	2.706865755900425	0.9931342440995783
15	0.0010900528737112483	0.39705532772459223	368.55357062060597	2.650625948330531	1.0493740516694732
16	0.0011692695501036897	0.42624834792386734	368.47004955079984	2.5962978987237775	1.1037021012762263
17	0.0012489726009830907	0.45561003178193116	368.38824548739893	2.543855519180914	1.1561444808190902
18	0.001329057016382409	0.48510188064938825	368.30816770088353	2.493269581533122	1.2067304184668832
19	0.0014094159834143842	0.5146847675457166	368.2298231709136	2.4445079384595982	1.2554920615404064
20	0.0014899416282376393	0.5443192091431992	368.1532165561339	2.3975357652773797	1.3024642347226252
21	0.0015705257593356492	0.5739656378437143	368.078350180031	2.352315817875007	1.3476841821249987
22	0.0016510605998752946	0.6035846694750597	368.0052240327475	2.3088087022229633	1.391191297777043
23	0.001731439497513134	0.6331373623634139	367.93383578846215	2.266973150826007	1.4330268491739981
24	0.0018115576011903229	0.6625854639756414	367.8641808377415	2.226766301717593	1.473233698282412
