	Ib	It	Iv	Sb	St	Sv
0	39455.0	36931.0	234800.0	2590800.0	2425100.0	15418000.0
1	41310.326713557835	37488.389130965195	242219.2078090993	2589903.607309805	2428479.686765066	15434533.781961067
2	43208.46505639969	38071.787381947244	249856.54415477952	2588946.736722411	2431819.983679973	15450734.384734709
3	45150.71894032066	38681.81093661387	257718.32718383236	2587927.762815643	2435120.0857853885	15466593.908440832
4	47138.4209823136	39319.09459281235	265811.03718374076	2586845.0212392495	2438379.1647369363	15482104.241480771
5	49172.93294018797	39984.29213746688	274141.31970283244	2585696.808062015	2441596.3682849575	15497257.056169305
6	51255.646134829425	40678.07672387892	282715.9886563382	2584481.3791292505	2444770.81974911	15512043.804358078
7	53387.98185923729	41401.14125182075	291542.0294208592	2583196.949430208	2447901.6174871693	15526455.713046055
8	55571.39177104513	42154.19874899449	300626.60190191923	2581841.692479385	2450987.83435976	15540483.77999519
9	57807.35826705977	42937.982753713266	309977.04357064934	2580413.739713081	2454028.5171910035	15554118.769354306
10	60097.39483823233	43753.24769827481	319600.87246312754	2578911.1799029876	2457022.686225633	15567351.20729819
11	62443.04640255059	44600.76929215161	329505.7901319094	2577332.058589638	2459969.3345835595	15580171.377693553
12	64845.88961484021	45481.344905226506	339699.6845489068	2575674.3775364337	2462867.4277113196	15592569.317790307
13	67307.53314881673	46395.79394859003	350190.6329351581	2573936.0942101185	2465715.9028335833	15604534.813968955
14	69829.61795197336	47344.958254564066	360986.9045284296	2572115.1212859876	2468513.6684021633	15616057.397525763
15	72413.81746875044	48329.70245352379	372096.9632647011	2570209.3261835393	2471259.603545569	15627126.34052575
16	75061.83782916126	49350.914345524536	383529.4703557946	2568216.5306364815	2473952.557521758	15637730.651746903
17	77775.41800212278	50409.50526938771	395293.28677701653	2566134.510295825	2476591.3491698066	15647859.072688714
18	80556.32990899078	51506.41046669886	407397.47564021643	2563960.9943718337	2479174.7663637083	15657500.073675975
19	83406.37849333163	52642.58943569657	419851.3044143162	2561693.66532185	2481701.565475457	15666641.850113936
20	86327.40174652942	53819.02628067253	432664.24702524155	2559330.158580331	2484170.4708385696	15675272.318836661
21	89321.27068285423	55036.73005235594	445845.9857950504	2556868.062339896	2486580.174218081	15683379.11460213
22	92389.88926299731	56296.73507551249	459406.4131958417	2554304.917386877	2488929.3342925473	15690949.586773744
23	95535.19426024477	57600.101269279934	473355.6334382502	2551638.216992567	2491216.576138666	15697970.796137098
24	98759.1550673617	58947.91444978624	487703.96382892766	2548865.406869198	2493440.490734216	15704429.511961909
25	102063.77343881184	60341.28662255664	502461.9359293216	2545983.885190032	2495599.6344668996	15710312.209236814
26	105451.08316536715	61781.35625691095	517640.29646350676	2542991.0026816004	2497692.528660534	15715605.066160467
27	108923.14967426099	63269.288544539	533250.0079729691	2539884.0627925205	2499717.6591141173	15720293.961873205
28	112482.0695550814	64806.27563694709	549302.2491874199	2536660.3219423825	2501673.4756618505	15724364.474483535
29	116129.97000225222	66393.5368627112	565808.4150971656	2533316.9898580257	2503558.3917512186	15727801.879389191
30	119869.00817189772	68032.31892213195	582780.1167078874	2529851.2300007534	2505370.7840423305	15730591.1479193
31	123701.37044690555	69723.8960568111	600229.1804496407	2526260.1600915855	2507108.9920312925	15732716.946329486
32	127629.27160618074	71469.57019202888	618167.6472186436	2522540.8527394664	2508771.3177001253	15734163.6351755
33	131654.95389202517	73270.67105022757	636607.7710284366	2518690.336178844	2510356.0251947446	15734915.2690888
34	135780.68597125763	75128.55623273767	655562.017243736	2514705.595122374	2511861.3405345944	15734955.596987654
35	140008.76178273204	77044.61126753611	675043.0603676599	2510583.571736627	2513285.451356006	15734268.06275372
