	II	IIa	IIa_ATIII	IIa_alpha2M	PL	PT	RVV	V	Va	X	Xa	Xa_ATIII
0	1.4	0.0	0.0	0.0	0.04999999	0.0	0.03	0.02999999	0.0	0.1999999	0.0	0.0
1	1.3865092476538985	0.01234488539487916	0.0009360116796243513	0.0002098552715991992	0.049999989899985046	1.0001495526912245e-10	0.03	0.02999811823938972	1.871660595331361e-06	0.18550930681646166	0.007071555106543953	0.007419037976979308
2	1.3636551511876285	0.03006105252023716	0.005132975268671907	0.0011508210234635321	0.04999998937841212	6.215878515601578e-10	0.03	0.029989726925746106	1.0262452666056612e-05	0.17206101736487064	0.007944546899803418	0.01999433511373791
3	1.3404423774065855	0.04424959291326467	0.01250450111800287	0.0028035285621479896	0.04999998853993571	1.4600642392617528e-09	0.03	0.029974994144886115	2.499439504965674e-05	0.15958111217807	0.007642481301300115	0.03277630506056556
4	1.3185234962849282	0.054245092234580086	0.022244222307993024	0.004987189172500788	0.04999998756997673	2.43002325078943e-09	0.03	0.02995553936908714	4.4448200889633906e-05	0.14800076816998037	0.007144419107686996	0.0448547102923093
5	1.2981226515913542	0.06075422827628231	0.03359178891178265	0.0075313312205829005	0.04999998658889265	3.411107320091514e-09	0.03	0.029932888896223867	6.709769266885183e-05	0.1372559275007631	0.006639332818247286	0.0561046362698823
6	1.2791920771805574	0.06456652256213927	0.045941291406523664	0.010300108850781867	0.049999985670310346	4.329689632294554e-09	0.03	0.02990825795248841	9.172771782198832e-05	0.1272869851265553	0.006161971173771498	0.06655093936998355
7	1.2616374326266293	0.06634259827923344	0.05883015664804595	0.013189812446094533	0.04999998485668674	5.143313233522541e-09	0.03	0.029882572866513496	0.00011741199017330857	0.1180384943891241	0.0057170928516945664	0.0762443076158681
8	1.2453613531171743	0.06660424894008407	0.07191168625215977	0.016122711690584744	0.04999998416894627	5.8310536969813276e-09	0.03	0.029856526387382846	0.00014345778156349013	0.10945888995495733	0.005303732203363352	0.08523727201062563
9	1.2302715347640534	0.06575716938215233	0.08492988401569379	0.01904141183810314	0.049999983613490506	6.386509462576284e-09	0.03	0.02983062854130569	0.00016935507218488016	0.10150022738760352	0.00491993236486725	0.09357973386101978
10	1.21628192193394	0.06411476655309252	0.09769903598175143	0.021904275531218494	0.04999998318737259	6.812627390906151e-09	0.03	0.029805247955599735	0.0001947352317729088	0.09411793861541715	0.004563662316659109	0.10131829225529637
11	1.203312572499399	0.06191801763293566	0.11008759922565234	0.02468181064201547	0.04999998288199265	7.118007321064349e-09	0.03	0.029780644481101785	0.00021933840089092806	0.08727060255080525	0.0042329886410975735	0.10849630169008984
12	1.19128928858105	0.05935128386487937	0.12200558581721876	0.027353841736854515	0.04999998268565518	7.314344807562158e-09	0.03	0.02975699472718454	0.00024298795847067613	0.08091973011730022	0.003926102028047187	0.11515406054030776
13	1.1801432239235505	0.05655476306301807	0.13339471159677568	0.029907301416658483	0.04999998258529064	7.414709331198924e-09	0.03	0.029734411977529455	0.0002655706077612358	0.07502956294638881	0.0036413157648036818	0.12132901387409813
14	1.1698105079429955	0.053634264764257054	0.144220718355028	0.032334508937722314	0.04999998256758114	7.432418838320442e-09	0.03	0.029712961684715284	0.00028702088286589224	0.06956688502267687	0.0033770591071520238	0.12705594843775223
15	1.1602318930777893	0.05066887505868266	0.15446740081233615	0.03463183105119438	0.0499999826196675	7.380332478043011e-09	0.03	0.029692673497554504	0.00030730912211302696	0.06450084656241474	0.003131869997960175	0.13236717605929257
16	1.1513524256083394	0.047716961784708516	0.16413197011517067	0.03679864249178407	0.04999998272956756	7.27043243368388e-09	0.03	0.0296735505729965	0.00032643215657107277	0.05980279944543583	0.0029043879960546286	0.13729270528807705
17	1.1431211388504818	0.04482087610417951	0.17322146393008386	0.038836521115257434	0.04999998288639751	7.113602477360288e-09	0.03	0.029655576765147216	0.00034440612125031297	0.05544614353128781	0.002693347572358256	0.14186040178275144
18	1.1354907674335055	0.042010630192967496	0.1817499756837718	0.04074862668975775	0.049999983080462204	6.919537779599117e-09	0.03	0.029638722156283808	0.00036126092417841616	0.051406183220000255	0.0024975717917557374	0.1460961380687062
19	1.1284174813718146	0.03930677119264186	0.18973652417586065	0.04253922325968529	0.04999998330326007	6.6967399311139696e-09	0.03	0.029622947294919863	0.0003770360083402112	0.04765999364241098	0.0023159663713738735	0.1500239332894752
20	1.1218606386848222	0.0367226242478446	0.19720342340839744	0.04421331365893836	0.0499999835474349	6.452565102901847e-09	0.03	0.029608206426671776	0.00039177712076312574	0.04418629589226167	0.0021475141001886066	0.15366608355498457
21	1.115782555393005	0.0342660405176676	0.20417504258788544	0.045776361501444755	0.049999983806696756	6.1933032473919205e-09	0.03	0.029594449941826088	0.00040553386487066404	0.040965340749119984	0.00199126960400413	0.15704328345357255
22	1.1101482917058145	0.031940757316951146	0.21067686973600536	0.0472340812412319	0.049999984075726686	5.924273328162964e-09	0.03	0.029581626215288547	0.00041835786043812896	0.037978800333204686	0.0018463544379382574	0.16017473930458362
23	1.104925453396811	0.029747453793503204	0.21673481159872576	0.048592281210962575	0.04999998435007541	5.649924613863213e-09	0.03	0.029569682975185384	0.0004303013748900017	0.035209667221714494	0.001711952491386314	0.16307827463697447
