time	species_1	species_10	species_11	species_2	species_3	species_4	species_5	species_6	species_7	species_8	species_9
0.0.	300.0	200	20	0.0	1199.99994221	0.0	0.0	1199.99994221	0.0	0.0	100
40.0.	69.50411716505945	200	20	230.49588283494026	1181.3538558342038	13.086314938745208	5.559771437050453	1199.6885173066953	0.303436689160186	0.0079882141448	100
80.0.	47.14917311131589	200	20	252.85082688868374	1166.5103565201387	20.689887689741433	12.799698000120431	1198.813649340353	1.090289869233903	0.096003000412111	100
120.0.	44.18824369089837	200	20	255.8117563091013	1157.7082602734954	24.5990927885456	17.692589147959357	1197.9079630260128	1.84245537892477	0.24952380506056301	100
160.0.	42.38509098431808	200	20	257.6149090156816	1150.601677681393	27.407741609064193	21.990522919543334	1196.9688253661532	2.580609993538121	0.450506850307394	100
200.0.	40.71046019138749	200	20	259.28953980861223	1143.3047041642194	29.987501663300158	26.707736382480675	1195.8275064911104	3.434086562459708	0.738349156428862	100
240.0.	38.83581285325583	200	20	261.1641871467439	1134.4096227777006	32.751814687706805	32.83850474459249	1194.2010948251657	4.582722105712463	1.216125279120871	100
280.0.	36.45583249092806	200	20	263.54416750907177	1122.0065418996694	35.986499231375376	42.006901078954854	1191.5050637547579	6.343566027299124	2.151312427941683	100
320.0.	33.21429629674026	200	20	266.78570370325946	1102.9289144171908	39.776339360823826	57.29468843198497	1186.3762694850782	9.305558051278595	4.318114673641726	100
360.0.	28.86249904556403	200	20	271.1375009544359	1072.3661171329345	43.56209766144977	84.07172741561544	1175.6148202847664	14.321985458155348	10.063136467076585	100
400.0.	23.720268411859042	200	20	276.2797315881409	1025.3141693112389	45.78605218785313	128.89972071090804	1152.6586639095344	21.53203538019185	25.809242920272702	100
440.0.	18.774000569339332	200	20	281.22599943066075	960.131536165173	45.02818553317164	194.84022051165547	1107.4707594835936	28.148911701162916	64.38027102524178	100
480.0.	14.815398273810795	200	20	285.1846017261895	879.8700548232184	41.644202148942746	278.485685237839	1030.0526724670208	29.84688525749613	140.10038448548167	100
520.0.	11.93569288952409	200	20	288.0643071104763	789.4588536681609	37.002734943827946	373.5383535980113	914.6485471883547	26.48878578112336	258.8626092405203	100
560.0.	9.879333017643486	200	20	290.1206669823569	692.9715397160726	32.021757118477915	475.0066453754499	759.8440465875443	20.775841292605577	419.3800543298482	100
600.0.	8.38528261600584	200	20	291.6147173839945	593.1355944802762	27.073389625784316	579.7909581039398	567.0101363532739	14.484466163043418	618.5053396936805	100
640.0.	7.27093590895159	200	20	292.7290640910488	491.8252834911824	22.304719190239595	685.8699395285789	341.4828190215696	8.32885601579102	850.1882671726372	100
680.0.	6.419456494858167	200	20	293.5805435051422	390.58126820454646	17.823300569559837	791.5953734358949	106.15414466177891	2.868499299754336	1090.9772982484646	100
