time	y	z
0.0.	12.0	5.0
0.0.2.0	10.284607066642511	5.6526659201103335
0.0.4.0	8.72528322203089	6.183446470507537
0.0.6000000000000001.0	7.407425831509838	6.571630272800924
0.0.8.0	6.357819472778362	6.820758675343174
1.0.	5.560747092336876	6.950147994501334
1.0.2000000000000002.0	4.978746273471442	6.985492399541793
1.0.4000000000000001.0	4.568590040317351	6.952195987283201
1.0.6.0	4.290254306572175	6.872007728901856
1.0.8.0	4.110471440506621	6.7620299473812615
2.0.	4.003195891869432	6.634989826159245
2.0.2.0	3.948712564247986	6.499997523928489
2.0.4000000000000004.0	3.932362502569174	6.363375724355477
2.0.6.0	3.943329869736882	6.229386086819214
2.0.8000000000000003.0	3.973642826271692	6.100804940105825
3.0.	4.017406697183021	5.979355825590853
3.0.2.0	4.070237451030363	5.86602476325169
3.0.4000000000000004.0	4.128851815420042	5.761286030032888
3.0.6.0	4.190773850169418	5.6652622385389595
3.0.8000000000000003.0	4.254125718866894	5.577837221092742
4.0.	4.31747838608376	5.498735426235483
4.0.2.0	4.379744599603036	5.4275777108623995
4.0.4.0	4.440101580701106	5.363920547947103
4.0.6000000000000005.0	4.497934549286487	5.307283595765316
4.0.800000000000001.0	4.552794858299945	5.257169098928813
5.0.	4.604368382194975	5.213075551399906
5.0.2.0	4.652451118949255	5.174507321451345
5.0.4.0	4.696929888066526	5.140981426451527
5.0.6000000000000005.0	4.7377666557739335	5.112032286089671
5.0.800000000000001.0	4.774985475343206	5.087215030456761
6.0.	4.808661352203525	5.066107762431502
6.0.2.0	4.83891056970229	5.048313049963111
6.0.4.0	4.865882169336593	5.033458837668777
6.0.6000000000000005.0	4.889750388119071	5.02119890783948
6.0.800000000000001.0	4.910707928977962	5.011212980786099
7.0.	4.928959987470259	5.003206517934018
7.0.2.0	4.944718986781581	4.996910274167636
7.0.4.0	4.958199988382647	4.992079635675285
7.0.6000000000000005.0	4.969616751921018	4.988493773755722
7.0.800000000000001.0	4.979178418111771	4.985954642092963
8.0.	4.987086784982473	4.984285843694201
8.0.200000000000001.0	4.9935341426656175	4.983331393160866
8.0.4.0	4.998701626365257	4.982954399638593
8.0.6.0	5.002758042094538	4.983035695291635
8.0.8.0	5.005859115887071	4.98347243326086
9.0.	5.008147114751066	4.984176677706049
9.0.200000000000001.0	5.009750786765893	4.98507400670838
9.0.4.0	5.01078556836067	4.986102146583758
9.0.600000000000001.0	5.011354008794996	4.987209653634514
9.0.8.0	5.011546364947138	4.98835465666432
10.0.	5.011441323436892	4.989503670818073
10.0.200000000000001.0	5.011106811597338	4.990630490593969
10.0.4.0	5.010600863607489	4.9917151673015105
10.0.600000000000001.0	5.00997251298261	4.992743073877777
10.0.8.0	5.009262687405206	4.993704057876027
11.0.	5.008505086422923	4.994591681634634
11.0.200000000000001.0	5.007727026734967	4.9954025471331525
11.0.4.0	5.006950243568257	4.996135701842188
11.0.600000000000001.0	5.006191639971464	4.99679212096029
11.0.8.0	5.005463978719009	4.997374260780791
12.0.	5.004776513927118	4.997885677515852
12.0.200000000000001.0	5.00413556146489	4.998330705692052
12.0.4.0	5.003545008828921	4.998714190189619
12.0.600000000000001.0	5.003006766381391	4.999041266093872
12.0.8.0	5.002521162771195	4.99931718073319
13.0.	5.002087288009869	4.999547152565699
13.0.200000000000001.0	5.001703288100227	4.999736261923325
13.0.4.0	5.001366615355428	4.99988936900602
13.0.600000000000001.0	5.001074238635048	5.000011054924057
13.0.8.0	5.000822817694709	5.000105581997928
14.0.	5.000608845724302	5.000176869932553
14.0.200000000000001.0	5.000428763961	5.000228484876612
14.0.4.0	5.000279052026689	5.000263638752322
14.0.600000000000001.0	5.000156297372055	5.000285196591806
14.0.8.0	5.000057246924612	5.000295689940025
15.0.	4.9999788437462485	5.000297334679932
15.0.200000000000001.0	4.999918251215992	5.000292051902362
15.0.4.0	4.9998728669716765	5.000281490681512
15.0.600000000000001.0	4.999840328575117	5.000267051827683
15.0.8.0	4.9998185126123555	5.000249911873545
16.0.	4.999805528705657	5.000231046710319
16.0.2.0	4.999799709698625	5.000211254427698
16.0.400000000000002.0	4.999799599080316	5.000191177028189
16.0.6.0	4.999803936538671	5.000171320784518
16.0.8.0	4.999811642377338	5.000152075090349
17.0.	4.999821801392219	5.000133729721097
17.0.2.0	4.999833646683696	5.000116490475292
17.0.400000000000002.0	4.999846543776413	5.000100493209368
17.0.6.0	4.9998599753293	5.000085816311435
17.0.8.0	4.999873526642768	5.000072491684017
18.0.	4.999886872106626	5.000060514323165
18.0.2.0	4.999899762679717	5.000049850593104
18.0.400000000000002.0	4.999912014449321	5.000040445302318
18.0.6.0	4.999923498283911	5.000032227690057
18.0.8.0	4.999934130565758	5.000025116432205
19.0.	4.999943864969003	5.000019023772963
19.0.200000000000003.0	4.999952685233345	5.000013858884524
19.0.400000000000002.0	4.999960598872616	5.000009530551399
19.0.6.0	4.99996763175025	5.000005949269508
19.0.8.0	4.999973823449646	5.000003028843196
20.0.	4.999979223365724	5.000000687555969
