	E	E_M	E_M1	E_P1	E_P2	E_P21	E_P_1	E_P_2	M	M1	P	P2	P21	T
0	0.00015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
1	7.88176492496115e-05	2.442846145671989e-06	4.816739244957051e-13	0.0	1.8501258270593543e-08	1.1102794975427764e-22	5.951247179725494e-05	7.156556102340809e-06	0.043000963621445405	6.145992668564859e-09	0.9524159929706025	0.0021330594111352583	6.998411505925925e-12	0.00238084746804046
2	7.834557540160871e-05	4.482002387364585e-06	1.804571793966326e-12	0.0	3.5802547418075357e-08	8.608276200082468e-22	5.636262379233698e-05	6.777759093564063e-06	0.07934831429260197	2.3096457049743152e-08	0.9074447647497639	0.004147090035950349	2.749405499766435e-11	0.008992149608107599
3	7.800925738350492e-05	6.183918022608398e-06	3.804190712088388e-12	0.0	5.2025021480806415e-08	2.816515822033314e-21	5.348381492676741e-05	6.431560471344698e-06	0.10993947531363461	4.8850921594028365e-08	0.8648112107972187	0.006049455445152413	6.072630639010678e-11	0.019133658210099897
4	7.77898021391766e-05	7.6046978883126434e-06	6.347261830704081e-12	0.0	6.732973228693007e-08	6.478434573842265e-21	5.083508843671278e-05	6.113135099924101e-06	0.1355437543087324	8.169607004793559e-08	0.8243208755725889	0.007849293525442775	1.0599914852880971e-10	0.03222137453366239
5	7.767326956250414e-05	8.783407510935414e-06	9.324188189981538e-12	0.0	8.18438717241917e-08	1.2291367092703168e-20	4.838773181583524e-05	5.818733331295863e-06	0.15681178917867944	1.2015857025503592e-07	0.7858070349312466	0.009554438008074168	1.626715583665884e-10	0.047763545834904164
6	7.764583716683745e-05	9.75911380129635e-06	1.264373422990275e-11	0.0	9.566779021581543e-08	2.065339675585939e-20	4.611330316441191e-05	5.5452143605508555e-06	0.1742986506174802	1.6296773544220152e-07	0.7491254334367723	0.011171666503492935	2.3014976629579106e-10	0.06534257293260945
7	7.769800001227345e-05	1.0560367547746296e-05	1.623011720128591e-11	0.0	1.0889349371609306e-07	3.192255265607246e-20	4.3989933302338884e-05	5.289869143664183e-06	0.18848128428440133	2.0902636881051968e-07	0.7141502584848293	0.01270689010003546	3.078813408125365e-10	0.08460140871676651
8	7.782089763430818e-05	1.1210824453072736e-05	2.001877211440067e-11	0.0	1.2158911217906427e-07	4.642268938301771e-20	4.200009431381926e-05	5.050584289838865e-06	0.19977214452631012	2.573860076830955e-07	0.6807710126230456	0.014165300351613985	3.953499606515072e-10	0.10523290160548503
9	7.800701301820963e-05	1.1730334229615734e-05	2.395417797861182e-11	0.0	1.3381095361878268e-07	6.444790572148499e-20	4.0128957717204234e-05	4.8255728702557955e-06	0.20853007813262034	3.0722693918180963e-07	0.6488899522071012	0.01555149018328451	4.92071216029385e-10	0.1269713530582588
