	ASL_b	ASL_c	ASL_m	ASLoOH_b	ASLoOH_c	ASLoOH_m	ASLpOH_b	ASLpOH_c	ASLpOH_m	AS_b	AS_c	AS_m	ASoOH_b	ASoOH_c	ASoOH_m	ASpOH_b	ASpOH_c	ASpOH_m
0	0.0	0.0	30.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8797.15	0.0	0.0	0.0	0.0	0.0	0.0
1	1128.4197033939404	318.3103246192259	23.098071158285332	288.4449653046766	81.37832580709245	0.29158857192867926	378.2753760743923	106.72358647132397	0.15852293042662477	48153.96607033849	13585.026522858936	8322.843277336919	1966.8896699065597	554.9935258446793	1.0367388901766328	821.3969346969639	231.77624735878518	0.21103221827346
2	1479.6726894940273	417.3650826317046	26.76351728771579	496.66091766845926	140.0953410078875	1.1398827302373085	684.6898207547079	193.1358606372076	0.6365879894245605	82500.33895900301	23271.62450667881	7948.7210375065315	5192.504190577459	1464.8168374914676	5.8356603738830755	2296.315927976216	647.8049358067565	1.2396361171440846
3	1717.135414230247	484.3365875053595	31.77294150503761	604.6675407059655	170.55340415833777	2.2401327412105383	865.9882436991303	244.26404433190987	1.2770222123986108	107830.91338954016	30415.550965003924	7649.343387462211	8559.233923480293	2414.402164469311	15.154073146187763	3967.2498390855926	1119.1016748098245	3.329322876714963
4	1906.0997593569514	537.6312963937232	36.53169387089398	665.1016303224143	187.596499268347	3.416654660310894	977.6507154299215	275.7546749488669	1.9760409985623224	126618.31211011381	35714.12094221591	7406.652818362007	11761.858274696635	3317.6880514430122	28.936583590312974	5682.398943716213	1602.8618567903297	6.541977759572365
5	2061.697612936794	581.5155530391147	40.6890982901173	704.8065376798304	198.79424481066252	4.591631652637528	1052.479728191853	296.85818270470895	2.6800958072391476	140531.02655647628	39637.88879773218	7207.17243322222	14693.362038117895	4144.49970110964	46.87526497981494	7373.748549774257	2079.905874811662	10.869734068539827
6	2191.267869244017	618.0590994863072	44.2353429102271	735.4841778932376	207.44642083086026	5.735168344497167	1107.603969007469	312.40485969066214	3.363666480151989	150803.7327180191	42535.066562401706	7040.37848179435	17328.376026183698	4887.685413266081	68.54946984618891	9010.250582660532	2541.478439056281	16.267992046631935
7	2299.536936080642	648.5950376042523	47.22641963039974	761.8888211933132	214.89368192667072	6.837930990305755	1151.2446261901518	324.7131163264954	4.016612919312488	158246.10696437254	44634.00545208045	6899.198398393248	19672.400119833626	5548.798180635297	93.57990412962661	10579.377952911074	2984.0472186232787	22.684916371886313
8	2388.846793684021	673.7836754316551	49.729407379741325	786.4721778821464	221.8273690334672	7.8972974154179045	1188.4658578242465	335.21105394889094	4.634424932799511	163535.29303086127	46125.68089786574	6777.703504243387	21739.802697353498	6131.890878433172	121.57684150160549	12073.964373754277	3405.591273120846	30.060030964777145
9	2463.0582789022556	694.7140052560655	51.81261691935447	810.1376817443241	228.5021963326408	8.914189323586472	1221.8217933430049	344.61890065792016	5.216340728853675	167168.4967923421	47150.31917431725	6671.447987698087	23553.51494223226	6643.431801212304	152.1874100117297	13492.85921194125	3805.786435665324	38.33290069936834
10	2523.4728608747596	711.7531196288613	53.53464406723647	833.187432585759	235.003370814954	9.890658782438665	1252.6560624294764	353.3155951510919	5.7633638670517815	169535.94777862303	47817.97689062036	6576.9790589253935	25135.296402337975	7089.558248992275	185.08519931434304	14836.205207209094	4184.673090456763	47.4428480194935
11	2574.266922563954	726.0790438417962	54.95999894940203	855.4049515064534	241.26976011002236	10.828852131379394	1281.3769447621632	361.4161723697601	6.277215723590394	170956.4818996837	48218.574657365294	6491.380642324026	26513.187765091472	7478.17939232216	219.95266914544226	16107.418119554352	4543.214871208893	57.3268411734628
12	2615.9172711476626	737.825764240532	56.14334857878679	877.2991802984	247.44506107859848	11.730909865718395	1308.954516106985	369.1944231955529	6.760108434890169	171642.1126611245	48411.90777818495	6412.704374342873	27711.31890158722	7816.100414973238	256.53152258651687	17310.504656589976	4882.541717317526	67.92876753571495
13	2650.249227471113	747.5086418568911	57.12094465059917	898.596834614281	253.45202506199763	12.599096551552908	1335.3051074035811	376.62652623539	7.21439191376395	171765.43903788988	48446.653638614145	6339.3857755971985	28750.558782781525	8109.207677839778	294.59047169657083	18449.172426153287	5203.699524835084	79.19538648994067
14	2678.431445623212	755.4570102663184	57.926068373444025	919.1731870503435	259.25556354164115	13.435025014798759	1360.4020896878806	383.7050776442812	7.642098559895915	171457.29073289584	48359.710491514496	6270.233914271996	29649.885093915203	8362.853557770815	333.9259963244338	19527.23275946329	5507.763227057317	91.07665977677375
15	2701.4283475708316	761.9429574739723	58.58746856776237	939.0260666836531	264.85503311919007	14.239978479403039	1384.3165593412493	390.4500893385785	8.045027883273901	170818.27651856194	48179.453055884216	6204.325268720214	30426.617647674335	8581.922994400333	374.35872722781204	20548.545383733945	5795.821465946078	103.5256706714635
