	IKK	IkBaIKK	IkBaIKKNFkB	IkBaNFkB_cytoplasm	IkBaNFkB_nucleus	IkBa_cytoplasm	IkBa_mRNA	IkBa_nucleus	IkBbIKK	IkBbIKKNFkB	IkBbNFkB_cytoplasm	IkBbNFkB_nucleus	IkBb_cytoplasm	IkBb_mRNA	IkBb_nucleus	IkBeIKK	IkBeIKKNFkB	IkBeNFkB_cytoplasm	IkBeNFkB_nucleus	IkBe_cytoplasm	IkBe_mRNA	IkBe_nucleus	NFkB_cytoplasm	NFkB_nucleus
20	0.00031710141651349933	6.068048863388085e-05	0.00043624717052725086	0.05389841355778407	0.00016848675597877537	0.020918350383325932	0.011793959777112594	0.001795485553640673	2.822521842737455e-06	0.00012346050736290778	0.030428217806645477	3.944609518362201e-05	0.0031496370353384017	0.002542853440929019	0.00021020474878324317	2.7299035595309874e-06	5.695799156019298e-05	0.012197107056408956	2.8104676053622982e-05	0.002244065833118481	0.0018142830730223903	0.0001497674011550585	3.3299783642392345e-05	0.0025902585988528443
21	0.00031723626146384166	6.0695960195271466e-05	0.0004354632333947801	0.053778915364403476	0.00016832665704695092	0.020914741821395896	0.011791857208388318	0.0017960007271796562	2.8238580540568968e-06	0.00012367272697427943	0.03046728920803939	3.94117822402628e-05	0.0031496708119419935	0.0025428552522762152	0.0002102821863699762	2.731310434014751e-06	5.7376649483756294e-05	0.012281136949787348	2.8080443558315147e-05	0.002244106953888224	0.0018142843653880865	0.00014982371759976064	3.326863436648999e-05	0.0025870583507050645
22	0.0003173650230784669	6.071074382798783e-05	0.0004347145442184724	0.053664888844578804	0.00016817377983444656	0.020911302067027054	0.011789852765310584	0.0017964935176942535	2.8251328539242903e-06	0.00012387519258940017	0.030504522265653443	3.93789830560425e-05	0.0031497019603618005	0.002542856177362982	0.0002103560933037027	2.732652984177642e-06	5.777671044757163e-05	0.012361370568680011	2.8057279719463527e-05	0.002244145446785541	0.0018142850254219025	0.00014987746863715962	3.3238886585628564e-05	0.0025840029446368273
23	0.00031748796583702085	6.072486692370871e-05	0.0004339995783859796	0.053556088404028146	0.00016802780522259385	0.02090802273832527	0.01178794163703752	0.0017969647800517177	2.826349445519887e-06	0.0001240683316923926	0.03054000067657799	3.934764077718405e-05	0.003149731128894555	0.0025428566497926047	0.0002104266577668631	2.7339345159255594e-06	5.815897319945333e-05	0.01243797694067758	2.8035144501380285e-05	0.0022441818074104424	0.0018142853624924773	0.00014992879050451159	3.3210480337594016e-05	0.002581086024599806
24	0.0003176053436426698	6.0738356786392585e-05	0.00043331687095383146	0.05345227891962541	0.00016788842989707547	0.020904896124565066	0.01178611937539145	0.0017974153648303913	2.8275106401426434e-06	0.00012425255499503692	0.03057380458806135	3.931769713168396e-05	0.003149758676926516	0.002542856891055416	0.00021049404175459567	2.735157947786225e-06	5.852420503414074e-05	0.012511117874710915	2.8013996831676713e-05	0.002244216323834918	0.0018142855346294263	0.00014997780067725673	3.318335548240456e-05	0.002578301507276598
25	0.00031771740011359733	6.075124016286434e-05	0.0004326650154358371	0.05335323541537987	0.00016775536437923345	0.02090191501914217	0.011784381809667248	0.001797846106693955	2.828619000820913e-06	0.00012442825672681908	0.030606010686304877	3.928909424938853e-05	0.0031497848151909326	0.002542857014265284	0.00021055839134872568	2.7363259501641963e-06	5.8873142609897446e-05	0.012580948210407337	2.7993795900977077e-05	0.002244249176719692	0.0018142856225375904	0.0001500246052011066	3.315746161932847e-05	0.0025756435569865357
26	0.00031782436891240586	6.0763543003939516e-05	0.00043204266220822526	0.05325874269892636	0.00016762833161759486	0.020899072621805	0.011782724997717814	0.0017982578183623082	2.8296769171543677e-06	0.0001245958150640228	0.030636692310429977	3.9261775545084644e-05	0.0031498096771195596	0.0025428570771870436	0.00021061984204718173	2.737441018038487e-06	5.9206492876214385e-05	0.012647616081632075	2.7974501794103573e-05	0.002244280490272079	0.001814285667431205	0.0001500693024967118	3.31327386693929e-05	0.002573106591237054
27	0.00031792647408269384	6.077529036567825e-05	0.000431448516735181	0.053168594981702975	0.0001675070663768991	0.020896362484378483	0.011781145196731171	0.0017986512873319183	2.830686645683956e-06	0.00012475559261945898	0.030665919575455287	3.9235686171992625e-05	0.0031498333558426916	0.002542857109320247	0.000210678521520499	2.7385055102923305e-06	5.952493404101254e-05	0.012711263180466803	2.795607581468028e-05	0.002244310358695018	0.0018142856903577036	0.00015011198532882968	3.3109139620836625e-05	0.002570685250995001
28	0.0003180239303838172	6.078650636465577e-05	0.00043088133776054754	0.053082595507871866	0.00016739131446108068	0.020893778473195533	0.011779638844525923	0.0017990272746731518	2.83165033164635e-06	0.0001249079369517169	0.030693759497413195	3.9210773191763896e-05	0.003149855922623569	0.002542857125730216	0.00021073455112024272	2.7395216710185336e-06	5.9829116536598675e-05	0.01277202501507674	2.793848060745569e-05	0.0022443388593894518	0.001814285702065941	0.0001501527418849918	3.3086610394927163e-05	0.0025683744097342314
29	0.00031811694362293756	6.079721418005263e-05	0.0004303399354538548	0.05300055618329093	0.00016728083239389587	0.020891314746717404	0.011778202546473092	0.0017993865144821043	2.8325700220841054e-06	0.0001250531810871801	0.03072027611808398	3.918698565663056e-05	0.0031498774367755356	0.0025428571341106518	0.00021078804669578903	2.7404916424563943e-06	6.0119663991435644e-05	0.012830031162699774	2.7921680217874736e-05	0.0022443660600785288	0.0018142857080452413	0.00015019165636075425	3.306510894126976e-05	0.0025661691481832787
30	0.0003182057109819069	6.080743606224944e-05	0.0004298231695838326	0.05292229721936867	0.00016717538682142985	0.02088896573531902	0.011776833065415916	0.0017997297141687746	2.8334476736839138e-06	0.00012519164403885732	0.03074553062740738	3.916427459082994e-05	0.003149897950318606	0.0025428571383903672	0.0002108391191142123	2.7414174728208935e-06	6.039717418664986e-05	0.012885405514734515	2.790564007977857e-05	0.002244392022177578	0.0018142857110987455	0.00015022880933304063	3.304458661105378e-05	0.00256406476257711
