[EGFR]	[L_EGFR]	[L_EGFR_dimer]	[SOS]	[L_dpEGFR]	[pSOS]	[SOS_Grb2]	[Grb2]	[Dok]	[pDok]	[Crk]	[FRS2]	[Shc]	[pSOS_Grb2]	[Rap1_GDP]	[MEK]	[MKP3]	[pShc_dpEGFR]	[dpEGFR_c_Cbl]	[B_Raf_Rap1_GTP]	[pShc_dpEGFR_c_Cbl]	[pFRS2_dpEGFR_c_Cbl]	[Shc_dpEGFR]	[c_Cbl]	[RasGAP]	[c_Raf]	[B_Raf]	[ERK]	[PP2A]	[Ras_GDP]	[Rap1GAP]	[C3G]	[NGFR]	[pShc]	[pFRS2_dpEGFR]	[pTrkA_endo]	[MEK_ERK]	[pMEK_ERK]	[FRS2_dpEGFR_c_Cbl_ubiq]	[Crk_C3G_pFRS2_dpEGFR_c_Cbl]	[pShc_dpEGFR_c_Cbl_ubiq]	[Crk_C3G_pFRS2_dpEGFR]	[Grb2_SOS_pShc_dpEGFR_c_Cbl_ubiq]	[Grb2_SOS_pShc_dpEGFR_c_Cbl]	[Shc_dpEGFR_c_Cbl_ubiq]	[dpEGFR_c_Cbl_ubiq]	[proteasome]	[Grb2_SOS_pShc]	[Shc_dpEGFR_c_Cbl]	[Grb2_SOS_pShc_dpEGFR]	[pFRS2]	[FRS2_dpEGFR]	[pDok_RasGAP]	[pMEK]	[FRS2_dpEGFR_c_Cbl]	[pFRS2_dpEGFR_c_Cbl_ubiq]	[Ras_GTP]	[Crk_C3G_pFRS2_dpEGFR_c_Cbl_ubiq]	[c_Raf_Ras_GTP]	[B_Raf_Ras_GTP]	[ppMEK]	[ppERK]	[pTrkA]	[Crk_C3G]	[Rap1_GTP]	[L_NGFR]	[ppMEK_ERK]	[dppERK]	[Shc_pTrkA]	[Shc_pTrkA_endo]	[pShc_pTrkA]	[pFRS2_pTrkA]	[FRS2_pTrkA]	[pShc_pTrkA_endo]	[FRS2_pTrkA_endo]	[pFRS2_pTrkA_endo]	[Crk_C3G_pFRS2_pTrkA_endo]	[Grb2_SOS_pShc_pTrkA]	[Crk_C3G_pFRS2_pTrkA]	[Grb2_SOS_pShc_pTrkA_endo]	[c_Raf_Ras_GTP_MEK]	[c_Raf_Ras_GTP_pMEK]	[c_Raf_Ras_GTP_MEK_ERK]	[c_Raf_Ras_GTP_pMEK_ERK]	[B_Raf_Ras_GTP_MEK]	[B_Raf_Ras_GTP_pMEK]	[B_Raf_Ras_GTP_MEK_ERK]	[B_Raf_Ras_GTP_pMEK_ERK]	[B_Raf_Rap1_GTP_MEK]	[B_Raf_Rap1_GTP_pMEK]	[B_Raf_Rap1_GTP_MEK_ERK]	[B_Raf_Rap1_GTP_pMEK_ERK]	[ppERK_MKP3]	[dppERK_MKP3]
0.022226767543578305	0.0019825255275027227	9.78789173609128e-06	0.00992281938428368	2.1181072856455938e-05	0.007464757639423576	0.016751992404221205	0.917387577023706	0.08175957060819625	0.15291865857089001	0.5019410736543459	0.9718434666746651	0.8410136791441897	0.01226068292867087	0.19779971610266506	0.4114120604880284	0.015010077711039854	0.00047970637387112996	1.4634291391827037e-05	0.00041968066595440996	0.0004030732887605716	5.022950401203096e-05	0.00014179408467937415	0.4141024505457219	0.034678229179085966	0.4964545881642176	0.19641534129853244	0.019138657953393718	0.24	0.09502563843751856	0.012	0.00194107365434604	0.06189317361918068	0.049524106182551396	5.813906714026824e-05	0.0	0.21391959508761743	0.015567419533306197	0.0011750563763231728	0.00011289905720495974	0.04517500427272755	0.00012584710944347184	0.012275427653891672	0.00017893458613465392	0.009557603331795653	0.0014105773822477644	0.05212805517564838	0.04093944289955248	0.0001052856780251473	0.0002059425038219035	0.01117915009996533	1.6388079482725963e-05	0.06532177082091409	0.029963292161877306	1.2168678225972308e-05	0.0047698408595096674	2.633996258539996e-05	0.010656814494027564	0.0006826019759432574	0.00026996756269038823	0.00238048379915256	0.0030778856878668323	0.0	0.48716336568497776	1.823495998062882e-05	0.0	0.0009993285973558393	0.0008403713502655923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017556311832405648	0.00012791575999653373	0.0009128060420011864	6.645687460111716e-05	0.000694592051838501	5.063991168936991e-05	0.00036110271845021504	2.6307519444932404e-05	0.001080776817246684	7.876818977263926e-05	0.0005619018283528771	4.0921436027666017e-05	0.00233297055686948	0.000656951732090691
0.0175308336495817	0.001750974623054609	7.634495944165155e-06	0.012832003836604192	1.6054804602058186e-05	0.005939183724470274	0.021857219717645465	0.918771187561073	0.09809898751041045	0.13872384325710643	0.5019438684200124	0.974999713909061	0.8639631792560557	0.009758226506719555	0.19833191995113975	0.4135843199170498	0.015765049888389816	0.0003341944552655409	1.1166206990141067e-05	0.00031762940947583783	0.0002834871452802713	3.820499081167368e-05	0.00011025449608687833	0.4195902158394901	0.03682283076751658	0.49671945117786087	0.19704431971739647	0.01941251479798518	0.24	0.09539423059178614	0.012	0.0019438684200126146	0.06189307052931074	0.03463210248752468	4.367547522571826e-05	0.0	0.21814640102564078	0.014005056548306298	0.0011022968147417888	8.582466434676792e-05	0.04197766937566002	9.439115622048578e-05	0.011846704904333146	0.00016093109781658554	0.009003157305138721	0.001323226292789306	0.06077802455206624	0.037423025606087325	8.258926442910504e-05	0.00018270460632348974	0.009128922574475245	1.2444316945140133e-05	0.06317716923248351	0.026570368725150315	9.3218413285351e-06	0.004477763688040749	2.3864307045033984e-05	0.010007440568803204	0.0006305122617476156	0.0002500431295600292	0.001862602905748454	0.0023408088938029806	0.0	0.48786847519061666	1.375604528612624e-05	0.0	0.0007932065741448935	0.0004742881357297769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001630206108485524	0.00010477702206309731	0.0008598279844148173	5.522544542825045e-05	0.0006467174077580855	4.1591256437804905e-05	0.0003410838712307916	2.192061404283891e-05	0.0008222746770592414	5.286715218594733e-05	0.00043368813140184665	2.7864633451205426e-05	0.0018560750145298532	0.00037887509708036396
0.014490328706084897	0.001582787775490686	6.237137026581114e-06	0.01581260843932975	1.2737523405159873e-05	0.004710142186689431	0.026886594182189145	0.9205227506260176	0.1139360331210899	0.1252215814378671	0.5019467827454721	0.9777342606047797	0.882620973499148	0.007748925319240744	0.19872844078626412	0.4157945316204909	0.016243993869220655	0.00024585466398539937	8.91918703257882e-06	0.00024182189857968744	0.00021063107687977338	3.041840328506493e-05	8.92324262521031e-05	0.42534675599843036	0.03915761455895665	0.4969484565388211	0.19752597321958054	0.019573851424553406	0.24	0.09571382271127811	0.012	0.0019467827454723273	0.06189297081813339	0.02490598792765307	3.4330133539205896e-05	0.0	0.2211424802437028	0.012658411933806606	0.0010247638482359849	6.829128958379253e-05	0.03861174433485929	7.406876086639473e-05	0.011370288479742368	0.00014500747316153524	0.008406396001828896	0.0012299346185757334	0.06885087670456433	0.033164045656930166	6.745019684394757e-05	0.00016238826271690448	0.00754458210953292	9.885758636382372e-06	0.06084238544104344	0.023814840399382094	7.4726182865590535e-06	0.0041638853167360115	2.1709008292785514e-05	0.00930804115651823	0.0005857347320337763	0.00023275603071025097	0.0014862472604617856	0.0018560410354886065	0.0	0.488602816047559	1.045725256631643e-05	0.0	0.0006382309618808518	0.00029225206553315123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015224862584497377	8.722997259032459e-05	0.0008097275523291079	4.636494577616737e-05	0.0006051835023095437	3.4692231702678534e-05	0.00032185381708618895	1.8439237441351053e-05	0.0006293368750044032	3.606545353624389e-05	0.0003347081266054336	1.9169607443789048e-05	0.001515795278739378	0.00024021085204000144
0.012536590984809103	0.001463862538793263	5.335621009397869e-06	0.01855375465318213	1.0601195984540905e-05	0.003730768831627718	0.03137856137006303	0.9222845234848083	0.12872330952304728	0.11287554540419915	0.5019496553927836	0.9800644376844585	0.8975390767222369	0.006147638458084977	0.19901371379522204	0.4175669728024174	0.016569450939071702	0.0001921625717309732	7.473323071615079e-06	0.00018741640765220486	0.0001663158113041187	2.541094575632558e-05	7.54055100761964e-05	0.4310399467387982	0.04159885492724608	0.4971173404274135	0.19787447475421088	0.019676436596917556	0.24	0.09594994312788725	0.012	0.0019496553927836886	0.0618928743795053	0.01867831809991823	2.832195445256241e-05	0.0	0.22325426676817298	0.011620801067932012	0.0009473908976311689	5.7017680717551425e-05	0.03529588177942168	6.100862347213647e-05	0.010866090859272598	0.00013241948927290257	0.007806055022531162	0.001136740672596083	0.07633233948294586	0.02904434663003242	5.7507795740087684e-05	0.0001464197084642701	0.0063464280695263945	8.235160099074646e-06	0.058401145072754006	0.021747932078773756	6.280712138714396e-06	0.0038492853871338636	2.005312504222659e-05	0.008606182884613992	0.0005528425624021388	0.00022000289926302213	0.0012308199547566394	0.0015237444137397385	0.0	0.4893261354184124	8.105133472608889e-06	0.0	0.0005312843788887119	0.00019492220384390594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014429647421724577	7.522695751767862e-05	0.0007714321380875437	4.01931724068103e-05	0.0005743388788781211	2.9953438221019713e-05	0.00030704533336190165	1.6003624759847422e-05	0.0004897623177874776	2.553636078280256e-05	0.0002618225932914415	1.3643391791409806e-05	0.0012676160088943976	0.00016293305203393722
0.011264270635583704	0.0013811233230064677	4.748346883102388e-06	0.02088614303249896	9.20182461820791e-06	0.002952754641190963	0.035158690987934116	0.9238388976736884	0.14211896549896672	0.1019419837603924	0.5019523850020849	0.9820421473148766	0.9094319097828447	0.004873080612573251	0.19921529861495335	0.4188190489357939	0.016783045997456406	0.0001590342526666916	6.529250539945255e-06	0.00014903441512634507	0.00013893063664712816	2.214156973459446e-05	6.623474560952676e-05	0.4364596415063071	0.04406094925935878	0.4972278770454126	0.19811732503816235	0.019741322195769264	0.24	0.09610460590812155	0.012	0.0019523850020850232	0.06189278110170162	0.014636404806673445	2.438668905775858e-05	0.0	0.22466516682134458	0.010898213933367895	0.000873335806275919	4.965918745867603e-05	0.032159179371251935	5.2457007557326424e-05	0.010355997778396965	0.00012280636816482313	0.007228025595833997	0.001047498758468887	0.08323670395803344	0.025516463059861928	5.095008267129923e-05	0.00013406351937903538	0.005443415553494678	7.1527832958690385e-06	0.05593905074064131	0.02032676357375137	5.502182053749655e-06	0.003547452891663079	1.8844589468964378e-05	0.007932349014531943	0.000531337538398765	0.00021166835788184025	0.0010662034532323429	0.0013046450552040077	0.0	0.4900131497883668	6.4529710308681495e-06	0.0	0.00046184567749159945	0.00013993308915013057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001390934589017404	6.752302453354463e-05	0.0007461255550108054	3.6202247626987515e-05	0.0005541623371378913	2.6908225999712e-05	0.00029726094783622556	1.4426678966316997e-05	0.00039057006945461775	1.896691067986237e-05	0.00020950799214918168	1.016902660578537e-05	0.001098660314760149	0.00011829368778348262
0.010433728440750616	0.001324069077777321	4.363784644366652e-06	0.022792891736268833	8.276880184369883e-06	0.0023368146289878683	0.038223641212113225	0.9251297063652553	0.15401141680903097	0.09245920857690436	0.5019549245264149	0.9837243526688085	0.9189436285074052	0.003861798828010922	0.1993558255954763	0.4195643973800479	0.01690926636178837	0.0001375920477295299	5.9104560686175055e-06	0.0001223196219680099	0.00012134188182070154	1.9999096596512106e-05	6.012822216336775e-05	0.4415072095819891	0.046470625385934966	0.49727804369489875	0.19827599439460564	0.01977843175084942	0.24	0.0961748026047135	0.012	0.0019549245264150836	0.06189269088160046	0.011966023222634691	2.1785989644893702e-05	0.0	0.2254904872326319	0.01046767071973848	0.0008041155911846686	4.484091154623433e-05	0.029254364400892064	4.68103504677067e-05	0.00985865057702452	0.00011628736828528768	0.006685436331386301	0.00096405615983356	0.08959592793949268	0.02268435216966277	4.663179135038336e-05	0.0001255634796466033	0.004760502510901953	6.4370288275346625e-06	0.05352937461406512	0.019486359184993307	4.992185302321994e-06	0.003264889739839675	1.8102826454818637e-05	0.007301273926880205	0.0005215820233615259	0.00020793674285757014	0.0009741615510749659	0.0011751670586778837	0.0	0.4906521502846905	5.3070628595778235e-06	0.0	0.0004228004092047604	0.00011173878718668936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013676453488501385	6.358958006416187e-05	0.0007349836415835085	3.4155711242002354e-05	0.0005452272944496273	2.5347019323622492e-05	0.0002930122091192171	1.3614997980288495e-05	0.0003210651060145819	1.4917405359880163e-05	0.0001725522269646892	8.012981356999267e-06	0.0009958337901458307	9.489984806583235e-05
0.009891783660424416	0.0012854056532160092	4.112422132741025e-06	0.024312986851913847	7.659447681127687e-06	0.001850365132839798	0.04066635572254412	0.9261633519847522	0.16442318622583205	0.08434899387455164	0.5019572555523067	0.9851629296447676	0.9266150249721653	0.003061448070564043	0.1994529562747888	0.4199241967891833	0.01697346893524539	0.0001243677347118201	5.503422878470905e-06	0.00010386456712044435	0.00011054826057721	1.8589370966373764e-05	5.604927549153605e-05	0.44614269350265456	0.04877218010038335	0.49728683304199023	0.19837524102849338	0.019797027677721082	0.24	0.09618697390726993	0.012	0.0019572555523068532	0.0618926036180905	0.010158588522960112	2.0046841276671276e-05	0.0	0.22589682156031676	0.010259646074246663	0.0007403830973207101	4.167457798113735e-05	0.02659835677679481	4.3038114290519564e-05	0.009386916086495724	0.00011135970073282947	0.006184415131386452	0.0008872077292672221	0.09545086755619563	0.02049168546840062	4.380510377586683e-05	0.00011888296650904672	0.004238831807214049	5.95930701457702e-06	0.051227819899616736	0.019080119735014636	4.657483829223969e-06	0.0030044406386529107	1.7627005909002287e-05	0.006719449116686597	0.0005197856411441617	0.00020733522642675973	0.000928736832553864	0.001109350233157029	0.0	0.49123858263873454	4.516882515821087e-06	0.0	0.0004035385138596299	9.833404474241291e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001364270077947642	6.186031427144195e-05	0.0007339812670713764	3.326965757524503e-05	0.0005441826719322012	2.46707069853859e-05	0.00029277478713840083	1.3268736328449979e-05	0.0002728566167189876	1.2369289821231807e-05	0.00014678365681413194	6.65271222069177e-06	0.0009428450954435349	8.368596931110302e-05
0.009539322815386964	0.0012595390513215146	3.948417893683424e-06	0.025514271382921283	7.243496461224896e-06	0.0014674022166520965	0.04259176364897982	0.9269816735995721	0.17344316303189183	0.07748232949426871	0.501959374907404	0.9863996405962135	0.9328597229536648	0.002430184632713668	0.1995194748426588	0.4199573305439724	0.016999820979749596	0.00011471863023732344	5.235640556539425e-06	9.12464769936443e-05	0.00010285196898722682	1.7661498588081404e-05	5.3315954547824755e-05	0.4503578137862638	0.05092549252616021	0.4972476157865747	0.1984254103875156	0.01980442069136154	0.24	0.09613205626844633	0.012	0.001959374907403957	0.061892519216094524	0.008911771599354497	1.8871931228682835e-05	0.0	0.22600081520642284	0.01022153849580272	0.00068231832502808	3.9594978957838575e-05	0.024192171375979513	4.049372334260037e-05	0.008947038932299634	0.00010884631320469334	0.005727097600149148	0.0008171741553067113	0.10084359531478017	0.01882529570045347	4.197179834769747e-05	0.00011519717277538908	0.0038355575565916025	5.637763718805665e-06	0.04907450747383988	0.0190025254850228	4.438215432122451e-06	0.002766946733187324	1.7517029668815146e-05	0.006188838677711807	0.0005273098329034133	0.00021038232628103984	0.0009199125686440764	0.001083350060352618	0.0	0.4917716977125835	3.978033316398386e-06	0.0	0.00039984251040334765	9.331837496081736e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013839974801322476	6.258856887771272e-05	0.000744820323283018	3.366800822897361e-05	0.0005521249871607392	2.496987991571633e-05	0.00029713348103302655	1.3431814069000472e-05	0.0002396621767858139	1.083510124310499e-05	0.00012897522678489967	5.8281422174718095e-06	0.0009208187503819497	7.936026986848738e-05
0.00930907277904412	0.0012423717830931046	3.841148416622802e-06	0.026458860961760197	6.957925258995794e-06	0.0011662252595700735	0.04410889498327154	0.9276250862213289	0.18120248083468618	0.0717024743455175	0.5019612891102694	0.9874697350870887	0.9380088053033868	0.001933029358600437	0.19956503437379228	0.41975985481446004	0.016987296169107442	0.00010853570961337525	5.057677805627364e-06	8.260943938641903e-05	9.799706187168153e-05	1.7044223565573052e-05	5.145975811376631e-05	0.45416433737480855	0.05290495518020337	0.49719222467522683	0.1984482115978822	0.01980098740216951	0.24	0.0960542756204168	0.012	0.0019612891102692097	0.061892437579833946	0.008024338408281817	1.806130540113134e-05	0.0	0.22585600267629177	0.01032186065927953	0.0006298045063820286	3.8215646322707416e-05	0.022022009911477264	3.8741435558628566e-05	0.00854593327951977	0.0001070387057104933	0.0053130803995330355	0.0007538169287362651	0.10581797332339256	0.01756773544400705	4.078401092572756e-05	0.00011228200756049481	0.0035181002086486736	5.417313691527638e-06	0.04709504481979672	0.019192253070029395	4.293445019450506e-06	0.0025520002562725657	1.751676178212409e-05	0.0057085865720496055	0.0005379575781704957	0.00021468657291770027	0.0009380534607620577	0.001097603793350663	0.0	0.49225316723579965	3.6095171178796662e-06	0.0	0.000407665182760625	9.484413990359704e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014112645057233596	6.449604519151737e-05	0.0007593702611321473	3.468693455570134e-05	0.000563150400247934	2.5735592756904386e-05	0.0003030187077231193	1.3841019382227203e-05	0.00021682636409924868	9.911184698649733e-06	0.00011668164204614343	5.327478859514395e-06	0.0009321416991433305	8.056213174925848e-05
0.009157536296645384	0.0012309658056001108	3.770542383958521e-06	0.02720756752912656	6.7574135165565025e-06	0.000929336248555166	0.04531656843776237	0.9281369037776804	0.18785176571964862	0.06684857581305602	0.5019630107221577	0.9884015346849766	0.9423125972340901	0.0015415675929618855	0.19959639615736732	0.419451112871225	0.016962616544426143	0.00010394467691626559	4.937873663346064e-06	7.666967909158258e-05	9.453673495914707e-05	1.662803705003571e-05	5.017688151596103e-05	0.45758668395999197	0.054700341532704276	0.4971205157558941	0.19845058208515567	0.019793723600047497	0.24	0.09595369603096937	0.012	0.0019630107221575354	0.061892358614313775	0.007379597551066126	1.748850542324843e-05	0.0	0.22560774666195	0.010480093509393	0.0005825348339607957	3.728930924994654e-05	0.02007390626388248	3.75059565794234e-05	0.008181697506477365	0.00010612354573571064	0.004940267374521911	0.0006967682809193831	0.11041714566098883	0.01660660673753668	4.001309145523836e-05	0.00011053240184432406	0.00326314266006296	5.262824564475628e-06	0.04529965846729581	0.01949432946566686	4.1968607547554485e-06	0.0023583928948210297	1.764930114918194e-05	0.005276023432557268	0.0005517804962782116	0.00022023633945641758	0.0009666084370029062	0.001124590371385995	0.0	0.49268617057945563	3.356351563942381e-06	0.0	0.00041989341063797833	9.996574031289834e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014463903979016373	6.721688614888669e-05	0.0007779610557039839	3.6135408073265146e-05	0.0005772242852454774	2.682140279122133e-05	0.0003104692807366709	1.4419115545708262e-05	0.0002010665849761966	9.347242023213923e-06	0.0001081399692439067	5.024015733976075e-06	0.0009528947902255633	8.448866534832531e-05
