time	species_0000001	species_0000002	species_0000006	species_0000007	species_0000008	species_0000009	species_0000011	species_0000016	species_0000017
0.0.	0.0	4.9999999999999996e-06	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05
10.0.	4.122423374453863e-11	4.9999999999999996e-06	9.71194431291594e-10	4.111491099903873e-09	4.507336319838365e-23	5.632293403586953e-08	9.730865277679292e-13	1e-05	1e-05
20.0.	4.1224232701077336e-11	4.9999999999999996e-06	9.711944067098575e-10	8.163916617605784e-09	4.5073361896040847e-23	1.308602744828979e-07	1.918652549760323e-12	1e-05	1e-05
30.0.	4.122423168715186e-11	4.9999999999999996e-06	9.711943828227157e-10	1.210163567223999e-08	4.507336063050565e-23	2.0400278800472091e-07	2.8374537715088054e-12	1e-05	1e-05
40.0.	4.1224230715425125e-11	4.9999999999999996e-06	9.711943599296456e-10	1.587546994549923e-08	4.507335941763677e-23	2.743667478176019e-07	3.71801524622691e-12	1e-05	1e-05
50.0.	4.122422979642758e-11	4.9999999999999996e-06	9.711943382787492e-10	1.9444523018440063e-08	4.507335827057844e-23	3.4114554736333267e-07	4.550794468908616e-12	1e-05	1e-05
60.0.	4.122422893812906e-11	4.9999999999999996e-06	9.711943180578046e-10	2.2777842969917162e-08	4.5073357199279065e-23	4.0372019384473307e-07	5.328569316687404e-12	1e-05	1e-05
70.0.	4.122422814585924e-11	4.9999999999999996e-06	9.711942993923897e-10	2.585473141282246e-08	4.50733562103916e-23	4.616597718678983e-07	6.046510157988524e-12	1e-05	1e-05
80.0.	4.122422742241004e-11	4.9999999999999996e-06	9.711942823482966e-10	2.8664345422622823e-08	4.507335530740154e-23	5.147177062376283e-07	6.702086969758381e-12	1e-05	1e-05
90.0.	4.1224226768302204e-11	4.9999999999999996e-06	9.71194266937808e-10	3.120466277607634e-08	4.5073354490959576e-23	5.628154959674241e-07	7.294827893568312e-12	1e-05	1e-05
100.0.	4.12242261821553e-11	4.9999999999999996e-06	9.711942531284086e-10	3.3481046046853404e-08	4.507335375934323e-23	6.060179405229649e-07	7.825984191481751e-12	1e-05	1e-05
110.0.	4.1224225661101445e-11	4.9999999999999996e-06	9.71194240852561e-10	3.550462808163331e-08	4.5073353108973444e-23	6.445040312516937e-07	8.298153523871463e-12	1e-05	1e-05
120.0.	4.1224225201204017e-11	4.9999999999999996e-06	9.711942300175098e-10	3.729070261368788e-08	4.507335253493693e-23	6.785371019667012e-07	8.71490442586008e-12	1e-05	1e-05
130.0.	4.12242247978323e-11	4.9999999999999996e-06	9.711942205141726e-10	3.885725170121456e-08	4.507335203145418e-23	7.084369267986618e-07	9.080432709454802e-12	1e-05	1e-05
140.0.	4.122422444598792e-11	4.9999999999999996e-06	9.711942122247938e-10	4.0223687347436894e-08	4.50733515922865e-23	7.345554417045948e-07	9.39926784138622e-12	1e-05	1e-05
