	species_0000001	species_0000002	species_0000006	species_0000007	species_0000008	species_0000009	species_0000011	species_0000016	species_0000017
0	0.0	5e-06	0.0	0.0	0.0	0.0	0.0	1e-05	1e-05
1	4.122423374453228e-11	5e-06	9.711944312925842e-10	4.111515725456627e-09	4.507336319842863e-23	5.62946204567469e-08	9.730922737305194e-13	1e-05	1e-05
2	4.122423270106039e-11	5e-06	9.71194406709458e-10	8.163982461370231e-09	4.507336189601968e-23	1.3085996318424893e-07	1.918667913306627e-12	1e-05	1e-05
3	4.122423168710566e-11	5e-06	9.71194382821627e-10	1.2101815131081744e-08	4.5073360630447987e-23	2.0400686902439946e-07	2.8374956452438964e-12	1e-05	1e-05
4	4.122423071535567e-11	5e-06	9.711943599280088e-10	1.5875739713524037e-08	4.507335941755007e-23	2.7437157419356977e-07	3.718078192111432e-12	1e-05	1e-05
5	4.122422979633098e-11	5e-06	9.71194338276471e-10	1.9444898352342482e-08	4.50733582704578e-23	3.4115340930395294e-07	4.550882046809929e-12	1e-05	1e-05
6	4.1224228937991923e-11	5e-06	9.711943180545928e-10	2.2778374011503165e-08	4.5073357199108906e-23	4.037305797751887e-07	5.328693226741791e-12	1e-05	1e-05
7	4.122422814575223e-11	5e-06	9.711942993898695e-10	2.5855146984976907e-08	4.507335621025807e-23	4.6166746273783037e-07	6.046607124854341e-12	1e-05	1e-05
8	4.1224227422325383e-11	5e-06	9.711942823463022e-10	2.8664674200639726e-08	4.5073355307295875e-23	5.147237588604513e-07	6.702163684654756e-12	1e-05	1e-05
9	4.1224226768117614e-11	5e-06	9.711942669334591e-10	3.120537957940263e-08	4.507335449072916e-23	5.628280289260844e-07	7.294995147742588e-12	1e-05	1e-05
10	4.1224226181918056e-11	5e-06	9.711942531228251e-10	3.3481965676327824e-08	4.5073353759047105e-23	6.060351186496314e-07	7.8261987717728e-12	1e-05	1e-05
11	4.122422566085402e-11	5e-06	9.711942408467311e-10	3.5505589072222e-08	4.5073353108664583e-23	6.445222096630056e-07	8.29837775508658e-12	1e-05	1e-05
12	4.122422520097765e-11	5e-06	9.71194230012177e-10	3.729158172868391e-08	4.50733525346544e-23	6.785538882970787e-07	8.715109552782173e-12	1e-05	1e-05
13	4.1224224797637117e-11	5e-06	9.711942205095745e-10	3.8858009695254095e-08	4.5073352031210564e-23	7.084513915972232e-07	9.08060957483642e-12	1e-05	1e-05
14	4.1224224445822513e-11	5e-06	9.71194212220897e-10	4.022432974396532e-08	4.5073351592080046e-23	7.345677371630968e-07	9.399417733980476e-12	1e-05	1e-05
15	4.122422414043088e-11	5e-06	9.711942050259255e-10	4.141035978475465e-08	4.507335121089367e-23	7.572668665183735e-07	9.67615820927393e-12	1e-05	1e-05
16	4.122422387642572e-11	5e-06	9.711941988060044e-10	4.2435659846966353e-08	4.507335088136507e-23	7.769115631024396e-07	9.915395008052982e-12	1e-05	1e-05
17	4.122422364903493e-11	5e-06	9.711941934487071e-10	4.3318762968030653e-08	4.5073350597537916e-23	7.93848003129592e-07	1.0121452506562922e-11	1e-05	1e-05
18	4.122422345379635e-11	5e-06	9.71194188848908e-10	4.407699857123842e-08	4.5073350353842697e-23	8.084017160008828e-07	1.0298374237961657e-11	1e-05	1e-05
19	4.1224223286597424e-11	5e-06	9.71194184909719e-10	4.4726338303817213e-08	4.507335014514617e-23	8.208740821544528e-07	1.0449886921006972e-11	1e-05	1e-05
20	4.122422314375341e-11	5e-06	9.711941815443258e-10	4.528109248011122e-08	4.5073349966849226e-23	8.315361686558236e-07	1.0579329630449316e-11	1e-05	1e-05
21	4.122422302194988e-11	5e-06	9.711941786746373e-10	4.575413327952984e-08	4.5073349814814796e-23	8.406324759702941e-07	1.0689705876123458e-11	1e-05	1e-05
22	4.122422291825743e-11	5e-06	9.71194176231652e-10	4.615683694827319e-08	4.5073349685386455e-23	8.483796694235859e-07	1.0783670115998692e-11	1e-05	1e-05
23	4.1224222830107263e-11	5e-06	9.711941741548383e-10	4.649918013268629e-08	4.507334957535787e-23	8.549681195008369e-07	1.086355023575219e-11	1e-05	1e-05
24	4.1224222755263574e-11	5e-06	9.71194172391524e-10	4.678984578920245e-08	4.5073349481938335e-23	8.605638421839436e-07	1.0931372259370515e-11	1e-05	1e-05
25	4.1224222691784687e-11	5e-06	9.711941708959632e-10	4.703637470879955e-08	4.5073349402704255e-23	8.65311153392537e-07	1.0988895705581611e-11	1e-05	1e-05
26	4.122422263799191e-11	5e-06	9.711941696286067e-10	4.7245286277379576e-08	4.5073349335560336e-23	8.693350112289473e-07	1.1037641765196315e-11	1e-05	1e-05
27	4.1224222592440495e-11	5e-06	9.711941685554165e-10	4.742219138226951e-08	4.5073349278703243e-23	8.727430645002945e-07	1.1078919645914282e-11	1e-05	1e-05
28	4.1224222553891766e-11	5e-06	9.711941676472092e-10	4.757190062318661e-08	4.507334923058686e-23	8.756276724695889e-07	1.1113851821583425e-11	1e-05	1e-05
29	4.1224222521286594e-11	5e-06	9.711941668790318e-10	4.7698527272737185e-08	4.5073349189889196e-23	8.780678637553948e-07	1.1143398056315322e-11	1e-05	1e-05
30	4.122422249372114e-11	5e-06	9.711941662295902e-10	4.780558143948477e-08	4.5073349155482107e-23	8.801311233401407e-07	1.1168377375876643e-11	1e-05	1e-05
31	4.1224222470425416e-11	5e-06	9.71194165680743e-10	4.7896053548213264e-08	4.5073349126404455e-23	8.8187497259738e-07	1.1189487546424915e-11	1e-05	1e-05
32	4.122422245074443e-11	5e-06	9.711941652170593e-10	4.797248734302576e-08	4.507334910183871e-23	8.833483590196918e-07	1.1207322108572339e-11	1e-05	1e-05
33	4.122422243412181e-11	5e-06	9.711941648254302e-10	4.803704356262999e-08	4.50733490810904e-23	8.845928747549859e-07	1.1222385234959199e-11	1e-05	1e-05
34	4.122422242008552e-11	5e-06	9.711941644947354e-10	4.809155542173773e-08	4.5073349063570344e-23	8.856438186936473e-07	1.123510467591982e-11	1e-05	1e-05
35	4.1224222408235444e-11	5e-06	9.711941642155479e-10	4.8137576766221135e-08	4.507334904877913e-23	8.865311179812225e-07	1.1245842995691195e-11	1e-05	1e-05
