	MAPK	MAPKMEKpp	MAPKPH	MAPKp	MAPKpMAPKPH	MAPKpMEKpp	MAPKpp	MAPKppMAPKPH	MEK	MEKPH	MEKRAFp	MEKp	MEKpMEKPH	MEKpRAFp	MEKpp	MEKppMEKPH	RAF	RAFK	RAFPH	RAFRAFK	RAFp	RAFpRAFPH
10	0.3759479409082967	0.013719924759863231	0.29260290799303346	0.002825865699070066	0.007364036189989316	9.489180056168016e-05	1.4284825242111167e-05	3.3055816977357315e-05	0.07677841211892099	0.16497188658476206	0.044714904589881144	0.01789485011618953	0.03265781665991496	0.010409082272282235	0.001359820927062767	0.0023702967553232705	0.0991607150346004	0.1664147657005886	0.2791420985666116	0.03358523429941152	0.09127216237043592	0.020857901433388462
11	0.36943255487665366	0.016861885431173014	0.29018459029990595	0.003707088650010602	0.009754545938183359	0.0001573614498697401	2.569989219932311e-05	6.086376191076084e-05	0.071781680002173	0.16393590208491476	0.04398871255134736	0.018224479657779433	0.033127232461852764	0.01123859634993373	0.0016831866426380016	0.0029368654532327793	0.09473026640755614	0.16773945839565527	0.27810080163692197	0.03226054160434484	0.09588268472373958	0.02189919836307802
12	0.36256898089219813	0.02002305107076544	0.2875447372367439	0.0046681983547518695	0.012352654007674666	0.00024191450066568738	4.2592418363209833e-05	0.00010260875558149906	0.06748400716869563	0.1631624550049504	0.04312318521015604	0.018381836382994506	0.0333094543659771	0.011888859184204735	0.002019601487467901	0.0035280906290728014	0.09115017557561496	0.16882904217442524	0.2772053861039495	0.031170957825574934	0.09987220830839846	0.022794613896050475
13	0.35552844469863154	0.02312708492099418	0.2847569095428462	0.00568569123410237	0.015082116069016901	0.000349689747603954	6.599894151471977e-05	0.00016097438813690096	0.06375921586955804	0.16257786256909956	0.04217715547351744	0.01841622292069304	0.0332893034065427	0.012385831696918854	0.0023626619398135337	0.004132834024358083	0.08827664711880673	0.16971693710173552	0.27643697981071613	0.030283062898264712	0.10331428262320799	0.02356302018928389
14	0.34846075112619673	0.026115609049179048	0.28189046141749746	0.006736920398109639	0.017871598722375658	0.000480468308600835	9.671253541169769e-05	0.00023793986012690012	0.06051020251486405	0.16212762423185584	0.04119260240110033	0.018365887270528354	0.033131255984934264	0.012756087485974519	0.002706767201608161	0.004741119783210281	0.08598771688802131	0.17043352328701508	0.2757788241844346	0.029566476712985176	0.10627594069635286	0.024221175815565436
15	0.3414904357410559	0.028946922464234817	0.27900661033762025	0.007801242480479494	0.020658790705069846	0.0006327971081263925	0.00013521254372420767	0.00033459895730993534	0.05766158194861627	0.1617722644832529	0.04019987620558786	0.018259715645882593	0.03288348623404629	0.013024235208747953	0.0030471359020564494	0.005344249282701174	0.08418039828120337	0.17100590968716384	0.27521616265949445	0.02899409031283639	0.10881756265111853	0.024783837340505564
16	0.33471625216599815	0.031593781844351236	0.27615655901441133	0.008860675564115768	0.02339234645828902	0.0008042185003240051	0.00018163093962267026	0.0004510945272998059	0.05515406883219279	0.16148370147698354	0.03922101175755783	0.018119057603375986	0.03258145249144974	0.013211778009614877	0.0033797849295662706	0.005934846031567072	0.08276807087037642	0.17145792549647487	0.27473606069938145	0.028542074503525364	0.11099312555830661	0.025263939300618557
17	0.32821274866867534	0.03404085560272326	0.2733810952887296	0.009900185247578422	0.026032250113642602	0.0009915523071237148	0.00023575346262936042	0.0005866545976279522	0.05294030849627721	0.16124229085967648	0.03827188864257206	0.017959386357266863	0.03225086179252267	0.013336812071391368	0.0037014873823214577	0.006506847347801175	0.0816781447504338	0.17181025703302175	0.274327210893055	0.02818974296697851	0.1128506224616789	0.025672789106945017
18	0.3220329887518296	0.036282212780354234	0.27071114238620386	0.010907704173726034	0.02854915191543878	0.0011911868436853326	0.0002970498366091298	0.0007397056983575264	0.0509818331866465	0.16103451616541814	0.03736370121668578	0.017791691743959493	0.03191003010216603	0.013414172283179331	0.004009718110906965	0.0070554537324161335	0.08085000173501995	0.17208067275214461	0.27397974602845515	0.02791932724785564	0.11443254354571407	0.026020253971544886
19	0.31621175300205073	0.038319041846907605	0.2681688396932656	0.011873972677053028	0.03092312464623542	0.0013993469560072602	0.0003647252112474651	0.0009080356604991597	0.04924685819856986	0.16085123264901335	0.03650401217659428	0.017623597225751946	0.031571722355502915	0.013455785255740843	0.004302590989441003	0.007577044995484092	0.08023319788599592	0.17228429505896634	0.27368506844976387	0.02771570494103392	0.11577636819039856	0.02631493155023614
20	0.31076879009531666	0.04015768796699204	0.26576885234207176	0.012792270111121952	0.0331421680554224	0.0016123198101285487	0.00043778435851304226	0.001088979602506083	0.047708692450292724	0.16068636004715164	0.035697544993046226	0.017460230651012022	0.031244567964277065	0.013471093226061078	0.004578790949618449	0.008069071988571652	0.07978590572963365	0.17243388985545036	0.27343569763179915	0.027566110144549908	0.11691504353850801	0.026564302368200825
21	0.3057118572237897	0.04180803256327376	0.2635197100962413	0.013658090570109036	0.035200682854956325	0.0018266291713753193	0.0005151005676939765	0.0012796070488026062	0.046344591318783844	0.16053592634849345	0.03494680451182911	0.01730489063244913	0.0309341403977144	0.013467474678888711	0.004837503471893029	0.008529933253792506	0.07947357266384977	0.1725401540356205	0.27322513529954867	0.027459845964379823	0.11787743748060091	0.026774864700451362
22	0.30103942185798305	0.04328219809353313	0.26142506050104636	0.014468800559157564	0.03709804501689629	0.0020391572088958596	0.0005954827814771102	0.001476894482057673	0.04513492476145025	0.16039737846226904	0.03425257552811381	0.017159551216084784	0.030643777512087855	0.013450628090709058	0.005078343563481655	0.008958844025643434	0.07926776865021111	0.17261198928460575	0.27304774617284416	0.027388010715394644	0.11868876318841526	0.026952253827155784
23	0.29674297242514164	0.044593545254195066	0.2594847764391042	0.015223304853832994	0.03883735070142934	0.002247217868821455	0.0006777360371133474	0.0016778728594668208	0.04406257022120851	0.16026909401916023	0.03361432925474657	0.01702524023531213	0.03037520133189464	0.013424904714199198	0.005301286470676792	0.009355704648945471	0.07914520065198773	0.17265675492068686	0.2728986525039325	0.027343245079313527	0.11937097280368525	0.0271013474960674
