	T	V
0	1000.0	3.0
1	976.1687732936473	3.3894281363064107
2	953.0595945446615	3.495851167312624
3	930.6611981758545	3.6040441816489115
4	908.9462077287936	3.7140261882675265
5	887.8883077585261	3.825817510291917
6	867.4622023055774	3.939439902193242
7	847.643574837387	4.054916672091677
8	828.4090496552227	4.1722728091856265
9	809.7361546446325	4.291535117243997
10	791.6032853930553	4.412732353984535
11	773.9896705815949	4.535895377329156
12	756.8753386171142	4.661057298926761
13	740.2410854766155	4.788253645526147
14	724.0684437069345	4.917522529008822
15	708.3396525482049	5.048904825837514
16	693.0376291198384	5.182444366983925
17	678.1459406648364	5.318188139113096
18	663.6487777976283	5.45618649822953
19	649.5309287074621	5.596493397194814
20	635.777754299033	5.739166628353618
21	622.3751642344827	5.884268082856695
22	609.309593830195	6.031864028401932
23	596.567981788586	6.182025407580122
24	584.1377487248318	6.334828158481727
25	572.0067764584043	6.490353560522657
26	560.1633880444869	6.64868860776095
27	548.5963284955482	6.809926413083828
28	537.2947461877189	6.974166646320872
29	526.2481749046129	7.141516010275899
30	515.4465164986332	7.312088758807414
31	504.88002413077896	7.486007261967654
32	494.5392860722154	7.663402623125639
33	484.4152100297708	7.844415354943399
34	474.49900797203924	8.029196120155415
35	464.78218142423475	8.21790654577735
36	455.2565072060598	8.410720119172808
37	445.914023582445	8.607823176240174
38	436.74701680132654	8.809415993191614
39	427.7480079848212	9.015713995183367
40	418.9097403512702	9.226949096798714
41	410.2251667293342	9.443371191944427
42	401.68743734327694	9.665249812963317
43	393.28988783040836	9.892875982227881
44	385.02602746374765	10.126564282947628
45	376.8895275412539	10.36665518031218
46	368.87420991144137	10.613517629184589
47	360.97403559500145	10.867552010722939
48	353.18309346455163	11.129193447581747
49	345.4955889426771	11.398915555984338
50	337.9058326700741	11.67723470377453
51	330.40822910128344	11.96471485578739
52	322.9972649737827	12.261973103630469
53	315.66749759422316	12.569685995832227
54	308.4135428845921	12.888596806458908
55	301.2300631187177	13.219523909566751
56	294.11175427573977	13.563370460803439
57	287.05333293281257	13.921135630734943
58	280.04952260274393	14.293927688602725
59	273.0950394198891	14.682979302283412
60	266.1845770600023	15.089665505570855
61	259.31279076902985	15.515524891752023
62	252.4742803592696	15.962284730687374
63	245.66357201329396	16.43189088374152
64	238.87509871583487	16.926543621244285
65	232.10317911063416	17.44874074734008
66	225.34199455276445	18.0013298315265
67	218.5855640977454	18.58757187159521
68	211.8277171370686	19.21121941424007
69	205.06206335495688	19.876613109878054
70	198.28195964619442	20.58880197651984
71	191.48047360069043	21.353694441162
72	184.65034313259952	22.17824973567016
73	177.78393181897627	23.070722775891483
74	170.87317952538754	24.04098075290085
75	163.9095479618773	25.10091709646506
76	156.88396096843604	26.26499947408911
77	149.7867396452412	27.551005068422757
78	142.60753303744892	28.981021832466528
79	135.33524616682774	30.582834331120992
80	127.95796914517477	32.39187677660785
81	120.46291458344577	34.45404109296397
82	112.83637678941419	36.82980569117118
83	105.06373773477203	39.60046052491211
84	97.12956623276094	42.87776254358725
85	89.01789792747192	46.81940095952013
86	80.71286523421756	51.65469136715872
87	72.20001417020156	57.72908516810803
88	63.46900562047863	65.5850329421658
89	54.51921054937529	76.1170038070177
90	45.37162000088514	90.88663536029182
91	36.095107781150006	112.80193595503401
92	26.86573266045776	147.64088063698952
93	18.09451010927965	207.34164600133548
94	10.62063323885419	314.9468840043442
95	5.5647531020573044	500.1393560755388
96	3.09258104972304	764.9752529580749
97	2.0384582859406692	1074.2443270519175
98	1.5121925886415681	1401.1662862677556
99	1.2003644016598414	1735.8935795897485
100	0.9945317564108973	2074.7951303426476
