	C1	C2	C3	C4	C5	C6	C7	C8	C9	MAPK	MAPKMEKpp	MAPKPH	MAPKp	MAPKpMAPKPH	MAPKpMEKpp	MAPKpp	MAPKppMAPKPH	MEK	MEKPH	MEKRAFp	MEKp	MEKpMEKPH	MEKpRAFp	MEKpp	MEKppMEKPH	RAF	RAFK	RAFPH	RAFRAFK	RAFp	RAFpRAFPH
60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25910617517018625	0.053832427865638514	0.24168849634394646	0.022230362230759464	0.053717489515580204	0.004617376311858293	0.0019021547655039103	0.004594014140473138	0.03623627096810559	0.15899808790908035	0.028199465987357814	0.015942172839844043	0.028156400795113255	0.012898072594537669	0.007272301341738367	0.0128455112958065	0.08068872985119703	0.1722101739968083	0.27218872830349855	0.027789826003191825	0.12261263386721405	0.027811271696501612
61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2590413591781652	0.05384332696892856	0.241655678897674	0.02224319359385227	0.053742597764062774	0.004622355104586714	0.0019054440521412384	0.004601723338263022	0.036225895425380156	0.15899050116549393	0.028190845151850087	0.01593450711841156	0.028157924831161987	0.012898371067446273	0.007275200328890521	0.012851574003344189	0.08069646319692235	0.17220778161995198	0.27218872442293524	0.02779221838004815	0.12261082662666822	0.027811275577064917
62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2589845124678379	0.053852915108643845	0.24162687700237284	0.022254506270904587	0.053764610031061505	0.0046266072249665086	0.001908335930020016	0.004608512966565436	0.03621696216212658	0.15899272184802019	0.028183451024541253	0.01593857596634883	0.02815106178297973	0.01289587798758255	0.007278332373810553	0.01285621636900019	0.08070331593652944	0.17220566114056984	0.2721888254616298	0.02779433885943027	0.12261184165354613	0.02781117453837035
63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25893501191727547	0.053861041300432934	0.24160167154742582	0.022264323830018883	0.05378384894292205	0.004630417140462152	0.001910877359236351	0.004614479509651925	0.03620918790024211	0.15898703765928074	0.028176931233822172	0.015932890317627495	0.028152144264969484	0.012896051456967648	0.007280518309726168	0.012860818075749875	0.08070937661830183	0.17220378433675979	0.2721888700733701	0.027796215663240323	0.12261029510103798	0.027811129926630034
64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2588916648328732	0.053868206336233286	0.24157961167390865	0.022272984742199867	0.05380067049933632	0.004633649415564011	0.0019131063470382971	0.004619717826754831	0.03620249656057956	0.15898863871353885	0.028171349084527907	0.015935870529669834	0.028147042097553362	0.012894174682576613	0.007282892104387588	0.012864319188907873	0.08071473176809847	0.17220212564469217	0.27218898454062496	0.027797874355307912	0.12261085465011388	0.027811015459375178
65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25885400133790987	0.05387425897475662	0.2415603397977747	0.02228046820956462	0.053815351385893655	0.004636552179969973	0.0019150590955736048	0.00462430881633145	0.0361966828826848	0.15898438845332105	0.028166431156891977	0.01593165566525673	0.02814781172174376	0.012894270088917316	0.007284537504843582	0.012867799824935282	0.08071945537279539	0.17220066157688782	0.2721890519909501	0.027799338423112257	0.12260955694923299	0.02781094800905004
66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25882106694120094	0.05387960490213642	0.24154351258195084	0.022287070922040228	0.05382815861368279	0.004639001655373021	0.0019167681612002184	0.004628328804366178	0.036191681112230804	0.1589855446983604	0.028162226510638533	0.015933840995746643	0.028144020278956995	0.012892859046077417	0.0072863304761575315	0.01287043502268268	0.08072361850584299	0.17219937097635743	0.27218916562798334	0.027800629023642644	0.12260983254178154	0.027810834372016837
67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2587925047524041	0.05388410853287402	0.24152883549098378	0.022292755900639557	0.05383932058909084	0.004641204821323541	0.0019182614837425125	0.004631843919925184	0.03618734137255218	0.1589823718158189	0.028158525467675354	0.01593071788014447	0.02814456856878965	0.012892906841990357	0.007287566899258956	0.012873059615391523	0.08072728197227473	0.17219823457776312	0.27218924046603304	0.027801765422236977	0.12260876076185544	0.0278107595339671
68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2587675619236891	0.05388809130677733	0.24151604609554614	0.022297770914221998	0.05384903903131363	0.004643055930612366	0.0019195660202453433	0.004634914873140027	0.03618360948367804	0.15898320817553407	0.028155365007688088	0.01593232202992576	0.02814175251112818	0.012891847296333352	0.00728891712051912	0.012875039313337819	0.0807305034429742	0.17219723511981705	0.272189345516965	0.027802764880183052	0.12260886488978615	0.02781065448303511
69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25874596597144944	0.05389143896459593	0.2415049071683187	0.022302076423262065	0.05385749806237534	0.004644722490312003	0.0019207033186992976	0.004637594769305726	0.03618037538376932	0.1589808428559796	0.028152585610788473	0.015930008790753788	0.02814214412011504	0.012891866946843421	0.007289844668916641	0.012877013023905438	0.080733332243692	0.17219635699208383	0.27218941888113174	0.02780364300791627	0.1226079910718914	0.02781058111886836
70	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25872712981602425	0.053894402029353625	0.24149521799403123	0.022305873075554785	0.05386485056890423	0.004646117880937919	0.0019216951921606836	0.004639931437064311	0.03617759572026449	0.15898144881453993	0.02815021464087822	0.015931187451284613	0.0281400535978913	0.012891072286487311	0.007290858805333757	0.012878497587568835	0.0807358146864907	0.172195586273476	0.2721895117388021	0.027804413726524074	0.12260799639842158	0.02781048826119802
71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25871084474828704	0.05389688789849115	0.24148679047161792	0.02230912481192892	0.05387124256454189	0.004647374782013893	0.001922558230896931	0.0046419669638399505	0.03617518933688998	0.15897968763997383	0.028148131433539336	0.015929474664609686	0.028140334113672703	0.01289107602796239	0.007291553496467418	0.01287997824635352	0.08073799036117761	0.17219491044423835	0.272189578963214	0.02780508955576175	0.12260729158477265	0.02781042103678616
