	I	Ip	S	Sp
0	149400.0	16600.0	667200.0	166800.0
1	141108.25440031377	16173.42868894239	658245.0676850195	168983.4028963658
2	133413.29487251132	15750.996738873127	651563.3552106852	171184.68524402365
3	126283.44686648725	15328.356258674987	646899.3047104082	173406.68176885543
4	119684.04502213128	14903.863416679707	644021.9852752597	175650.34030357504
5	113579.1832239685	14477.668897514486	642724.5999552286	177915.036526979
6	107932.953414208	14050.904735274082	642820.9043328204	180198.99457542587
7	102710.24966789571	13625.258355685464	644143.6962870194	182499.5432382028
8	97877.22692534685	13202.686462677635	646542.8550569805	184813.3435330286
9	93401.87574206809	12785.138424224391	649884.1396432074	187136.61276730907
10	89254.17180819297	12374.44360672005	654047.3398319748	189465.2993518033
11	85406.21299272	11972.22017682509	658924.8620580592	191795.23053781904
12	81832.08829026672	11579.853001171565	664419.6731101837	194122.22719510892
13	78508.17100132794	11198.440472250075	670445.8221508196	196442.19591922473
14	75412.81050788349	10828.832108703718	676926.1667825201	198751.19881652945
15	72526.24816406232	10471.642259538196	683791.64421798	201045.49601565514
16	69830.55264725846	10127.265699588343	690980.6068561802	203321.59779722785
17	67309.41192259507	9795.915692029885	698437.8512917694	205576.266630184
18	64948.081698531794	9477.639251964069	706114.2186098789	207806.54705727787
19	62733.17412726622	9172.357114372151	713965.708108669	210009.75821771345
20	60652.562073796544	8879.881458652311	721953.0636823484	212183.4957013623
21	58695.319099123255	8599.930147642654	730041.4970545901	214325.63589441052
22	56851.50610183432	8332.164415526511	738199.8835024416	216434.30918462618
23	55112.12475251472	8076.19406578039	746400.5828668965	218507.89764858107
24	53469.061255868175	7831.58699954105	754619.2234788943	220545.02743245335
25	51914.898777048846	7597.900037593634	762834.0140844758	222544.53657264388
26	50442.932788158265	7374.669851617784	771025.8063608162	224505.47561688675
27	49047.09932896759	7161.4238230903975	779177.8308202234	226427.09246623123
28	47721.83969354374	6957.700478011185	787275.1942764674	228308.8027990824
29	46462.07224374568	6763.045900667576	795304.7870827405	230150.1833852453
30	45263.24240037517	6577.002138244988	803255.4685381334	231950.96968364445
31	44121.12063521813	6399.139594793843	811117.3056455477	233711.02090784255
32	43031.843521208946	6229.0414528586125	818881.736544687	235430.31798611168
33	41991.91264895992	6066.299677540093	826541.5630368316	237108.9571997263
34	40998.10518121408	5910.52821272509	834090.6069512449	238747.1299428099
35	40047.4487472447	5761.362140854533	841523.6146053484	240345.11212239927
36	39137.22868026794	5618.450227243518	848836.2822961229	241903.25988350064
37	38264.93489329581	5481.462379975039	856025.0490407866	243421.995823967
38	37428.26280910996	5350.083667606492	863087.0971070598	244901.8034308319
39	36625.07851473215	5224.018567818201	870020.2137624412	246343.21739005396
40	35853.417975142765	5102.985817971287	876822.7850736328	247746.81833178637
41	35111.457274221684	4986.72229933945	883493.6761744436	249113.22461061974
42	34397.51417352584	4874.977858237891	890032.2344807816	250443.08808557765
43	33710.02221900062	4767.518952565115	896438.1843249202	251737.08715667663
44	33047.53347572722	4664.123559544053	902711.6355465135	252995.92350021756
45	32408.69640158605	4564.584795816841	908852.9923262479	254220.3160278799
46	31792.258873144543	4468.705838669975	914862.9637043629	255410.99853573903
47	31197.049581050742	4376.303542582733	920742.4863225132	256568.71451350133
48	30621.98089720523	4287.20347826307	926492.7348015287	257694.21544862553
49	30066.033351882645	4201.243508696668	932115.057153507	258788.25647276398
50	29528.258183896214	4118.2689924076085	937610.9841710095	259851.5951288373
51	29007.764431054944	4038.1363039032876	942982.1759550541	260884.98779688895
52	28503.721114853797	3960.7082259581434	948230.4299721356	261889.18879346037
53	28015.34651753404	3885.8573999396303	953357.637151483	262864.94749446854
54	27541.910014189005	3813.4619187633407	958365.7885697582	263813.00768090977
