	Pfr	Pi	Pr	S	V	Xa	Xi	Ya	Yi	preS	prepreS
0	10.0	0.0	0.0	0.0	30.0	0.0	6.0	0.9	0.0	0.0	200.0
1	9.7530991201545	0.003073401379550767	0.24382747846595323	0.0032376939727001364	34.42398473199655	0.017239590302390365	5.982760409697611	0.9	0.0	0.055492620958432035	199.94131050217803
2	9.51229424488125	0.012091042422826959	0.4756147126959263	0.042390409405285066	37.8692284311458	0.06333566635447535	5.936664333645525	0.9	0.0	0.39383563530023563	199.55964465999722
3	9.27743486316428	0.026757521666907015	0.6958076151688177	0.18463380377513394	40.53308649613019	0.1307893952679311	5.86921060473207	0.9	0.0	1.177526073019153	198.60839527528407
4	9.048374180242462	0.04678840131919739	0.9048374184383446	0.5036362178049096	42.154569466018934	0.21330789367415423	5.786692106325845	0.9	0.0	2.468101655095383	196.9172848995625
5	8.824969025731598	0.07190984564728307	1.103121128621122	1.0609639523388246	40.42651476882171	0.3057195776556071	5.694280422344392	0.9	0.0	4.253216075263444	194.38484047449927
6	8.607079764139044	0.1018582708454105	1.2910619650155484	1.8964687646675975	34.33488971128992	0.4038635110152822	5.596136488984717	0.9	0.0	6.468981672564328	190.97007987967277
7	8.394570207583289	0.13638000570467404	1.4690497867120378	3.0247966151256023	27.500344988783585	0.5044660804290702	5.49553391957093	0.9	0.0	9.018735002488867	186.68318872446147
8	8.187307530682975	0.17523096286078332	1.6374615064562417	4.436166383298264	21.626256923164206	0.6050144818399116	5.394985518160087	0.9	0.0	11.788620087286498	181.57547748944944
9	7.985162187508101	0.2181763200437868	1.7966614924481128	6.0997690712089945	16.91158457674406	0.7036344115037494	5.29636558849625	0.9	0.0	14.660235441912604	175.7291694972403
10	7.788007830631623	0.2649902114649559	1.9470019579034217	7.968743243425472	13.201975916332529	0.7989768877950663	5.201023112204932	0.9	0.0	17.520258828325055	169.24762041121218
11	7.595721232177924	0.31545542878526595	2.0888233390368107	9.985784368824715	10.301692432930142	0.8901167189639752	5.109883281036023	0.9	0.0	20.267332485670632	162.24646779578816
12	7.408182206769079	0.3693631311491747	2.2224546620817462	12.089218201615983	8.030314666255084	0.9764637288204219	5.023536271179576	0.9	0.0	22.816422263517595	154.84604574711113
13	7.225273536405648	0.42651256440586344	2.3482138991884876	14.218615938939697	6.2604180356718375	1.057687202253809	4.9423127977461885	0.9	0.0	25.10102644491378	147.1652474681076
14	7.046880897207445	0.48671078912270943	2.466408313669845	16.320900824126273	4.877361285455364	1.1336526024775142	4.866347397522484	0.9	0.0	27.073570805665426	139.3168608024765
15	6.87289278796398	0.5497724171033941	2.577334794932626	18.36096650938233	3.801469920739236	1.2043703811391038	4.795629618860894	0.9	0.0	28.704494012749457	131.40431669297354
16	6.703200460442957	0.6155193561250321	2.68128018343201	20.3293860196259	2.9614961751286883	1.2699542918357083	4.7300457081642895	0.9	0.0	29.98043438102332	123.51962758033962
17	6.537697851415713	0.6837805626592885	2.778521585924998	22.26800452168769	2.3080742460797907	1.3305890323726366	4.6694109676273605	0.9	0.0	30.901890481457468	115.74234489650156
18	6.37628151636409	0.7543918023708956	2.869326681265014	24.2802097655867	1.798048316904164	1.3865045822739974	4.613495417726	0.9	0.0	31.48064386676126	108.13930571274021
19	6.218850564824161	0.8271954181462431	2.953954017029595	26.571287797571678	1.4012893775229156	1.4379573823847172	4.56204261761528	0.9	0.0	31.737174200292454	100.7649727279805
20	6.065306597326447	0.9020401054265461	3.0326532972470073	29.328504536771888	1.091632874885185	1.4852157100563306	4.514784289943666	0.9	0.0	31.6982175695289	93.66219667897008
21	5.915553643893017	0.9787806946253074	3.1056656614816753	32.66790886530566	0.8507071329043415	1.5285498428076523	4.471450157192344	0.9	0.0	31.394601730927988	86.86322414644472
22	5.7694981040531435	1.0572779404176602	3.1732239555291963	36.296066380406266	0.6626843684975328	1.5682243771182345	4.431775622881762	0.9	0.0	30.859360765878467	80.39087703544229
23	5.62704868833995	1.1373983176947238	3.235552993965326	39.891697196947845	0.516401125891453	1.6044939565785532	4.3955060434214435	0.9	0.0	30.126229414699765	74.25974338530187
24	5.488116361231531	1.2190138239823474	3.2928698147861217	43.01433037209196	0.40226007626882654	1.63759964085663	4.362400359143367	0.9	0.0	29.228388703844885	68.47741163320359
25	5.352614285500846	1.3020017881294002	3.3453839263697533	45.57604203993298	0.3134665487874348	1.6677679092203825	4.3322320907796135	0.9	0.0	28.19760673374017	63.04556997970752
26	5.2204577679396325	1.3862446850764678	3.3932975469838995	47.47551649607804	0.24419668828080374	1.6952091484298333	4.3047908515701625	0.9	0.0	27.0635117473902	57.961118441379504
27	5.091564206422388	1.471629956521326	3.436805837056286	48.81683020545871	0.19031423010284698	1.7201185065566744	4.2798814934433205	0.9	0.0	25.853260546526016	53.21704882796234
28	4.965853038277354	1.558049837302925	3.476097124419721	49.63277454748038	0.14828591958871687	1.7426752726230785	4.257324727376917	0.9	0.0	24.591169735004865	48.803379961258365
29	4.8432456899322265	1.6454011873308272	3.511353122736946	50.04306434403377	0.11559482182558517	1.7630447848496744	4.236955215150321	0.9	0.0	23.298777784255527	44.70777454053785
30	4.723665527803114	1.733585328892095	3.5427491433047917	50.101535776662814	0.09009973374621535	1.7813779350682166	4.218622064931778	0.9	0.0	21.99466062004251	40.91631405392312
31	4.607037810395575	1.8225078891700475	3.570454300434378	49.899255765752024	0.07027170325600021	1.7978138108868307	4.202186189113164	0.9	0.0	20.69479325918999	37.41383951282152
32	4.493289641588985	1.912078647822812	3.5946317105882026	49.480944149284646	0.05481255736051277	1.8124786835487374	4.1875213164512575	0.9	0.0	19.412365583795033	34.18464299163104
33	4.382349925076836	2.0022113894775444	3.615438685445619	48.9056584691955	0.042783402880665115	1.8254891419179238	4.174510858082071	0.9	0.0	18.158368298994333	31.212556792245287
34	4.274149319924201	2.0928237609367133	3.633026919139084	48.21132054123831	0.033415970268589196	1.836951397093549	4.1630486029064455	0.9	0.0	16.941497567683214	28.481456469109876
35	4.168620197230916	2.183837133038198	3.647542669730885	47.433167768139505	0.0261259164901609	1.8469630832679231	4.153036916732072	0.9	0.0	15.768561257117026	25.975387544275165
36	4.065696597860013	2.2751764669576513	3.6591269351823343	46.5986844590417	0.02045348209116467	1.8556137295157515	4.144386270484244	0.9	0.0	14.644634944487787	23.67878551974911
37	3.9653141912114647	2.366770184851137	3.6679156239373967	45.73049973657162	0.016041854392746385	1.862985665791451	4.137014334208544	0.9	0.0	13.57331377926243	21.57659871455303
38	3.8674102350134145	2.458550044694765	3.6740397202918182	44.8467622796618	0.012612706310064333	1.8691546767152019	4.130845323284793	0.9	0.0	12.556911694089823	19.654394252618225
39	3.771923536106218	2.55045101919521	3.67762544469857	43.96198272970646	0.009949352298155996	1.8741906561285608	4.125809343871433	0.9	0.0	11.596662297559174	17.89842458865682
40	3.678794412194724	2.6424111786461157	3.678794409159158	43.08761237510218	0.00788294979082575	1.8781581721473783	4.121841827852615	0.9	0.0	10.692895126049113	16.295673313204887
41	3.5879646545449004	2.734371577609372	3.677663767845725	42.23255903609513	0.006281966430829855	1.8811169849313545	4.118883015068638	0.9	0.0	9.845197592617522	14.833878447140656
42	3.4993774916014777	2.826276145303803	3.6743463630947173	41.40361477397899	0.005043907364432859	1.8831225065589812	4.116877493441011	0.9	0.0	9.05255745389769	13.50154041903679
43	3.4129775535038807	2.9180715795872625	3.6689508669088546	40.60581725722591	0.004088893850111219	1.8842262143182078	4.115773785681784	0.9	0.0	8.313488699270104	12.287916700542107
44	3.328710837478262	3.0097072444215294	3.6615819181002065	39.84275482649101	0.0033546553620913016	1.8844760195473036	4.115523980452688	0.9	0.0	7.626140632186991	11.183006715124924
45	3.246524674084011	3.1011350707126337	3.652340255203353	39.11682427722265	0.0027926320409213208	1.8839165976635404	4.116083402336451	0.9	0.0	6.988391820218156	10.17752911630824
46	3.1663676942936396	3.19230946042245	3.641322845283908	38.42944897848397	0.002364939439132611	1.8825896831094178	4.117410316890574	0.9	0.0	6.397929944610998	9.262893612053055
47	3.0881897973854664	3.2831871938504653	3.628623008764065	37.781263314437695	0.0020420058813556854	1.8805343332437088	4.119465666756283	0.9	0.0	5.852319015058185	8.431168917172618
